audit_id,manuscript_location,number_id,manuscript_value,source_artifact,evidence_id,resolution_type,notes
MNA-001,"Abstract",NUM29-017,0.9285,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Reference F1; permitted four decimals"
MNA-002,"Abstract",NUM29-020,0.9776,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Reference PR-AUC; permitted four decimals"
MNA-003,"Abstract",NUM29-137,0.2599,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Five-seed random-natural mean PR-AUC"
MNA-004,"Abstract",NUM29-141,0.6388,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Five-seed chronological-natural mean PR-AUC"
MNA-005,"Abstract",NUM29-143,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"PR-AUC directional seed count"
MNA-006,"Abstract",NUM29-144,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"ROC-AUC directional seed count"
MNA-007,"Abstract",NUM29-091,0.667483,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-024,EXACT,"Forward bridge62 PR-AUC"
MNA-008,"Abstract",NUM29-094,0.108176,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-025,EXACT,"Reverse bridge62 PR-AUC"
MNA-009,"Abstract",NUM29-100,0.1%,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Assumed attack prevalence; registry unit is percent"
MNA-010,"Abstract",NUM29-101,0.965572,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Projected PPV"
MNA-011,"Abstract",NUM29-102,33.5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Projected analyst-hours/day"
MNA-012,"Abstract",NUM29-104,0.0322,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-029,EXACT,"Projected true alerts/day"
MNA-013,"Datasets 3.1",NUM29-001,"192,593",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-001,FORMATTED,"Frozen reference training rows; thousands separator added"
MNA-014,"Datasets 3.1",NUM29-002,"48,149",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-001,FORMATTED,"Frozen reference validation rows; thousands separator added"
MNA-015,"Datasets 3.1",NUM29-003,"60,186",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-001,FORMATTED,"Frozen reference holdout rows; thousands separator added"
MNA-016,"Datasets 3.2",NUM29-090,"2,830,743",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-024,FORMATTED,"Forward effective target rows; thousands separator added"
MNA-017,"Datasets 3.2",NUM29-099,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-027,EXACT,"Cancelled GROUNDED_S4 cells"
MNA-018,"Datasets 3.3",NUM29-117,5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Eligible LOAO families"
MNA-019,"Datasets 3.3",NUM29-118,36,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-036,EXACT,"Infiltration held-out positives"
MNA-020,"Methods 4.1",NUM29-014,0.51,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-004,EXACT,"Balanced XGBoost validation-selected threshold"
MNA-021,"Methods 4.1",NUM29-021,0.26,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-005,EXACT,"Security LightGBM validation-selected threshold"
MNA-022,"Methods 4.2",NUM29-078,"1,374,133",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-020,FORMATTED,"Shared forward target rows; thousands separator added"
