citation_key,action,old_metadata,new_metadata,verification_source,reason
cse_cic_ids2018_official,ADD,NONE,"Canadian Institute for Cybersecurity. CSE-CIC-IDS2018 on AWS. Official dataset documentation. 2018.",https://www.unb.ca/cic/datasets/ids-2018.html,"Official dataset provenance"
sharafaldin2018toward,ADD,NONE,"Sharafaldin I; Lashkari AH; Ghorbani AA. Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization. ICISSP. 2018:108-116. doi:10.5220/0006639801080116.",https://www.scitepress.org/Papers/2018/66398/66398.pdf,"Original associated dataset publication"
cicids2017_official,ADD,NONE,"Canadian Institute for Cybersecurity. Intrusion Detection Evaluation Dataset (CIC-IDS2017). Official dataset documentation. 2017.",https://www.unb.ca/cic/datasets/ids-2017.html,"Official CICIDS2017 provenance"
ring2019survey,ADD,NONE,"Ring M; Wunderlich S; Scheuring D; Landes D; Hotho A. A Survey of Network-based Intrusion Detection Data Sets. Computers & Security. 2019;86:147-167. doi:10.1016/j.cose.2019.06.005.",https://doi.org/10.1016/j.cose.2019.06.005,"Bounded dataset-survey context"
he2009imbalanced,ADD,NONE,"He H; Garcia EA. Learning from Imbalanced Data. IEEE TKDE. 2009;21(9):1263-1284. doi:10.1109/TKDE.2008.239.",https://doi.org/10.1109/TKDE.2008.239,"Class-imbalance methodology"
saito2015precision,ADD,NONE,"Saito T; Rehmsmeier M. The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets. PLOS ONE. 2015;10(3):e0118432. doi:10.1371/journal.pone.0118432.",https://doi.org/10.1371/journal.pone.0118432,"Imbalanced metric methodology"
sommer2010closed,ADD,NONE,"Sommer R; Paxson V. Outside the Closed World: On Using Machine Learning for Network Intrusion Detection. IEEE S&P. 2010:305-316. doi:10.1109/SP.2010.25.",https://doi.org/10.1109/SP.2010.25,"IDS evaluation and operational-context methodology"
engelen2021troubleshooting,ADD,NONE,"Engelen G; Rimmer V; Joosen W. Troubleshooting an Intrusion Detection Dataset: The CICIDS2017 Case Study. IEEE SPW. 2021:7-12. doi:10.1109/SPW53761.2021.00009.",https://imec-publications.be/entities/publication/de3203e3-50c3-4fc3-b93e-065b1bf16765,"Primary CICIDS2017 dataset audit"
arp2022dos,ADD,NONE,"Arp D et al. Dos and Don'ts of Machine Learning in Computer Security. USENIX Security 22. 2022:3971-3988.",https://www.usenix.org/conference/usenixsecurity22/presentation/arp,"Primary security-ML evaluation guidance"
pendlebury2019tesseract,ADD,NONE,"Pendlebury F; Pierazzi F; Jordaney R; Kinder J; Cavallaro L. TESSERACT: Eliminating Experimental Bias in Malware Classification across Space and Time. USENIX Security 19. 2019:729-746.",https://www.usenix.org/conference/usenixsecurity19/presentation/pendlebury,"Primary temporal/prevalence-bias study"
ribeiro2016lime,ADD,NONE,"Ribeiro MT; Singh S; Guestrin C. Why Should I Trust You?: Explaining the Predictions of Any Classifier. KDD. 2016:1135-1144. doi:10.1145/2939672.2939778.",https://doi.org/10.1145/2939672.2939778,"Original LIME paper"
lundberg2017shap,ADD,NONE,"Lundberg SM; Lee SI. A Unified Approach to Interpreting Model Predictions. NeurIPS 30. 2017:4765-4774.",https://proceedings.neurips.cc/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html,"Original SHAP paper"
lundberg2020trees,ADD,NONE,"Lundberg SM et al. From Local Explanations to Global Understanding with Explainable AI for Trees. Nature Machine Intelligence. 2020;2(1):56-67. doi:10.1038/s42256-019-0138-9.",https://doi.org/10.1038/s42256-019-0138-9,"Peer-reviewed TreeSHAP paper"
yeh2019infidelity,ADD,NONE,"Yeh CK; Hsieh CY; Suggala AS; Inouye DI; Ravikumar P. On the (In)fidelity and Sensitivity of Explanations. NeurIPS 32. 2019.",https://papers.nips.cc/paper_files/paper/2019/hash/a7471fdc77b3435276507cc8f2dc2569-Abstract.html,"Explanation-quality methodology"
dhooge2020interdataset,ADD,NONE,"D'hooge L; Wauters T; Volckaert B; De Turck F. Inter-dataset Generalization Strength of Supervised Machine Learning Methods for Intrusion Detection. JISA. 2020;54:102564. doi:10.1016/j.jisa.2020.102564.",https://biblio.ugent.be/publication/8677919,"Direct CICIDS-family cross-dataset study"
layeghy2023crossdomain,ADD,NONE,"Layeghy S; Portmann M. Explainable Cross-domain Evaluation of ML-based Network Intrusion Detection Systems. Computers & Electrical Engineering. 2023;108:108692. doi:10.1016/j.compeleceng.2023.108692.",https://doi.org/10.1016/j.compeleceng.2023.108692,"Direct multi-domain and direction-asymmetry study"
cantone2024crossdataset,ADD,NONE,"Cantone M; Marrocco C; Bria A. Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study. IEEE Access. 2024;12:144489-144508. doi:10.1109/ACCESS.2024.3472907.",https://doi.org/10.1109/ACCESS.2024.3472907,"Recent primary cross-dataset corroboration"
