candidate_id,gap_id,title,authors,year,venue,doi,source_url,peer_reviewed,source_type,directness,quality,supports_claim,limitations,decision
CR-001,RG-001,"CSE-CIC-IDS2018 on AWS","Canadian Institute for Cybersecurity",2018,"University of New Brunswick dataset documentation",NO_DOI_ASSIGNED,https://www.unb.ca/cic/datasets/ids-2018.html,NO,OFFICIAL_DATASET,DIRECT_SUPPORT,TIER_3_OFFICIAL_SOURCE,"Official provenance; seven attack scenarios; CICFlowMeter-V3 flow extraction; PCAP/log/CSV release structure","Web documentation is not a peer-reviewed empirical study and does not validate operational representativeness",SELECT
CR-002,RG-001,"Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization","Iman Sharafaldin; Arash Habibi Lashkari; Ali A. Ghorbani",2018,"Proceedings of the 4th International Conference on Information Systems Security and Privacy (ICISSP 2018)",10.5220/0006639801080116,https://www.scitepress.org/Papers/2018/66398/66398.pdf,YES,ORIGINAL_DATASET_PAPER,DIRECT_SUPPORT,TIER_1_PRIMARY,"Original associated CICIDS-family dataset paper; documents attack scenarios; more than 80 flow features; CICFlowMeter; seven baseline machine-learning algorithms","The paper is the associated CICIDS2017-era publication recommended by the CSE-CIC-IDS2018 page; it does not prove live-deployment portability",SELECT
CR-003,RG-001,"Intrusion Detection Evaluation Dataset (CIC-IDS2017)","Canadian Institute for Cybersecurity",2017,"University of New Brunswick dataset documentation",NO_DOI_ASSIGNED,https://www.unb.ca/cic/datasets/ids-2017.html,NO,OFFICIAL_DATASET,DIRECT_SUPPORT,TIER_3_OFFICIAL_SOURCE,"Official CICIDS2017 dates; attack scenarios; PCAPs; labeled flows; CICFlowMeter feature extraction","Web documentation supports provenance only and must not be used for claims about this project's processed data",SELECT
CR-004,"RG-001;RG-002","A Survey of Network-based Intrusion Detection Data Sets","Markus Ring; Sarah Wunderlich; Deniz Scheuring; Dieter Landes; Andreas Hotho",2019,"Computers & Security",10.1016/j.cose.2019.06.005,https://doi.org/10.1016/j.cose.2019.06.005,YES,SURVEY,DIRECT_SUPPORT,TIER_2_HIGH_QUALITY_REVIEW,"Structured comparison of network IDS datasets and dataset-suitability properties; supports bounded dataset-context wording","Survey evidence cannot establish a particular primary experiment or make a benchmark representative of deployment",SELECT
CR-005,RG-002,"Learning from Imbalanced Data","Haibo He; Edwardo A. Garcia",2009,"IEEE Transactions on Knowledge and Data Engineering",10.1109/TKDE.2008.239,https://doi.org/10.1109/TKDE.2008.239,YES,REVIEW,DIRECT_SUPPORT,TIER_2_HIGH_QUALITY_REVIEW,"Authoritative review of class-imbalance problems and sampling approaches; supports the distinction between class distribution and evaluation design","Not IDS-specific and does not show that every rebalancing method harms a classifier",SELECT
CR-006,"RG-002;RG-007","The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets","Takaya Saito; Marc Rehmsmeier",2015,"PLOS ONE",10.1371/journal.pone.0118432,https://doi.org/10.1371/journal.pone.0118432,YES,METRIC_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct analysis of ROC and precision-recall behavior under class imbalance","Not IDS-specific; does not convert benchmark results into operational workload observations",SELECT
CR-007,"RG-002;RG-003;RG-007","Outside the Closed World: On Using Machine Learning for Network Intrusion Detection","Robin Sommer; Vern Paxson",2010,"2010 IEEE Symposium on Security and Privacy",10.1109/SP.2010.25,https://doi.org/10.1109/SP.2010.25,YES,METHODOLOGICAL,DIRECT_SUPPORT,TIER_1_PRIMARY,"IDS-specific analysis of the gap between closed-world evaluation and operational use; dataset representativeness and error-cost context","Does not compare this project's split protocols and is not evidence that ML is categorically unsuitable for IDS",SELECT
CR-008,"RG-003;RG-004","Troubleshooting an Intrusion Detection Dataset: The CICIDS2017 Case Study","Gints Engelen; Vera Rimmer; Wouter Joosen",2021,"2021 IEEE Security and Privacy Workshops (SPW)",10.1109/SPW53761.2021.00009,https://doi.org/10.1109/SPW53761.2021.00009,YES,EMPIRICAL_DATASET_AUDIT,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct audit of CICIDS2017 attack simulation; flow construction; labeling; benchmark errors; and meaningless artifacts; notes related CIC-IDS2018 concerns","Focuses on dataset construction errors rather than a clean random-versus-chronological comparison; cannot label this project's features as leakage",SELECT
CR-009,"RG-003;RG-004;RG-010","Dos and Don'ts of Machine Learning in Computer Security","Daniel Arp; Erwin Quiring; Feargus Pendlebury; Alexander Warnecke; Fabio Pierazzi; Christian Wressnegger; Lorenzo Cavallaro; Konrad Rieck",2022,"31st USENIX Security Symposium (USENIX Security 22)",NO_DOI_ASSIGNED,https://www.usenix.org/conference/usenixsecurity22/presentation/arp,YES,METHODOLOGICAL,DIRECT_SUPPORT,TIER_1_PRIMARY,"Systematic security-ML pitfall analysis and actionable guidance on data; evaluation; spurious correlations; and experimental validity","Covers computer security broadly and cannot establish every IDS-specific clause without a direct IDS source",SELECT
CR-010,"RG-002;RG-003","TESSERACT: Eliminating Experimental Bias in Malware Classification across Space and Time","Feargus Pendlebury; Fabio Pierazzi; Roberto Jordaney; Johannes Kinder; Lorenzo Cavallaro",2019,"28th USENIX Security Symposium (USENIX Security 19)",NO_DOI_ASSIGNED,https://www.usenix.org/conference/usenixsecurity19/presentation/pendlebury,YES,EMPIRICAL_METHODOLOGY,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct empirical treatment of temporal and prevalence-related experimental bias; defines space/time constraints for forward evaluation","Malware-classification study rather than network IDS; supports general security-evaluation methodology only",SELECT
