"citation_key","manuscript_lines","literature_claim_ids","support_type","source_quality","scope_preserved","orphan_status","action","status"
"cse_cic_ids2018_official","36;62","LC-014;LC-039","DIRECT_SUPPORT","TIER_3_OFFICIAL_SOURCE","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"sharafaldin2018toward","36;62;68","LC-013;LC-014;LC-039;LC-040","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"cicids2017_official","36;68","LC-040","DIRECT_SUPPORT","TIER_3_OFFICIAL_SOURCE","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"ring2019survey","11;36","LC-001;LC-004;LC-013;LC-014;LC-015","DIRECT_SUPPORT","TIER_2_HIGH_QUALITY_REVIEW","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"he2009imbalanced","36","LC-015;LC-016;LC-017","DIRECT_SUPPORT","TIER_2_HIGH_QUALITY_REVIEW","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"saito2015precision","13","LC-008;LC-012;LC-016;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"sommer2010closed","11;36","LC-002;LC-003;LC-004;LC-015;LC-017;LC-018;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"engelen2021troubleshooting","13;38;42","LC-006;LC-019;LC-022","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"arp2022dos","11;13;38;42","LC-002;LC-003;LC-005;LC-006;LC-018;LC-019;LC-020;LC-021;LC-022;LC-023;LC-024","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"pendlebury2019tesseract","13;38","LC-003;LC-005;LC-017;LC-018;LC-020;LC-021","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"ribeiro2016lime","44","LC-025;LC-026","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"lundberg2017shap","44","LC-025","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"lundberg2020trees","44","LC-025","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"yeh2019infidelity","44","LC-026","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"dhooge2020interdataset","13;48","LC-007;LC-027;LC-028","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"layeghy2023crossdomain","13;48","LC-006;LC-007;LC-027;LC-028;LC-029","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"cantone2024crossdataset","48","LC-028;LC-029","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"axelsson2000baserate","13;50","LC-003;LC-009;LC-012;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"saerens2002prior","50","LC-008;LC-031","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"layman2023falsealarms","13;50","LC-009;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"mattson2020mlperf","13;54","LC-010;LC-012;LC-032;LC-033","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"mirsky2018kitsune","54","LC-010;LC-032;LC-033","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"scheirer2013openset","54","LC-034;LC-036","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"zoppi2023unknown","13;54","LC-011;LC-034;LC-035;LC-036","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"shin2023openset","13;54","LC-011;LC-034;LC-035","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"pineau2021reproducibility","56","LC-037","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"dwork2015holdout","56","LC-038","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
