"audit_id","manuscript_location","number_id","manuscript_value","source_artifact","evidence_id","allowed_rounding","resolution_type","status"
"FNA-001","Abstract, line 7","NUM29-100","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","EXACT","RESOLVED"
"FNA-002","Abstract, line 7","NUM29-094","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-003","Abstract, line 7","NUM29-137","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-004","Abstract, line 7","NUM29-141","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-005","Abstract, line 7","NUM29-091","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT","RESOLVED"
"FNA-006","Abstract, line 7","NUM29-017","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-007","Abstract, line 7","NUM29-020","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-008","Abstract, line 7","NUM29-102","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","EXACT","RESOLVED"
"FNA-009","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 62","NUM29-001","192,593","docs/RESULTS_SUMMARY.md","E29-001","integer","FORMATTED","RESOLVED"
"FNA-010","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 62","NUM29-002","48,149","docs/RESULTS_SUMMARY.md","E29-001","integer","FORMATTED","RESOLVED"
"FNA-011","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 62","NUM29-003","60,186","docs/RESULTS_SUMMARY.md","E29-001","integer","FORMATTED","RESOLVED"
"FNA-012","3. Datasets and Provenance / 3.2 CICIDS2017 and semantic bridges, line 68","NUM29-090","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","FORMATTED","RESOLVED"
"FNA-013","3. Datasets and Provenance / 3.3 Attack-family populations, line 74","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
"FNA-014","4. Validation Framework and Methods / 4.1 Reference evaluation, line 86","NUM29-021","0.26","docs/RESULTS_SUMMARY.md","E29-005","2 decimals","EXACT","RESOLVED"
"FNA-015","4. Validation Framework and Methods / 4.1 Reference evaluation, line 86","NUM29-014","0.51","docs/RESULTS_SUMMARY.md","E29-004","2 decimals","EXACT","RESOLVED"
"FNA-016","4. Validation Framework and Methods / 4.2 Temporal validation, line 90","NUM29-078","1,374,133","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","FORMATTED","RESOLVED"
"FNA-017","4. Validation Framework and Methods / 4.2 Temporal validation, line 90","NUM29-079","375,345","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","FORMATTED","RESOLVED"
"FNA-018","4. Validation Framework and Methods / 4.2 Temporal validation, line 90","NUM29-080","998,788","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","FORMATTED","RESOLVED"
"FNA-019","4. Validation Framework and Methods / 4.7 Leave-one-attack-family-out evaluation, line 120","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
"FNA-020","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-018","0.0061","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-021","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-026","0.0466","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-022","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-025","0.9112","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-023","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-024","0.9178","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-024","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-017","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-025","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-020","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-026","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-029","0.9777","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-027","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-019","0.9802","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-028","5. Results / 5.1 How strong was the conventional reference?, line 138","NUM29-028","0.9802","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-029","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-035","-0.000495","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","ROUNDED","RESOLVED"
"FNA-030","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-034","0.000185","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","ROUNDED","RESOLVED"
"FNA-031","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-036","0.000862","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","ROUNDED","RESOLVED"
"FNA-032","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-044","0.04275","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","ROUNDED","RESOLVED"
"FNA-033","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-043","0.04277","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","ROUNDED","RESOLVED"
"FNA-034","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-041","2","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","EXACT","RESOLVED"
"FNA-035","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-040","33","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","EXACT","RESOLVED"
"FNA-036","5. Results / 5.1 How strong was the conventional reference?, line 140","NUM29-042","64","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","EXACT","RESOLVED"
"FNA-037","5. Results / 5.1 How strong was the conventional reference?, line 146","NUM29-018","0.0061","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-038","5. Results / 5.1 How strong was the conventional reference?, line 146","NUM29-014","0.51","docs/RESULTS_SUMMARY.md","E29-004","2 decimals","EXACT","RESOLVED"
"FNA-039","5. Results / 5.1 How strong was the conventional reference?, line 146","NUM29-017","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-040","5. Results / 5.1 How strong was the conventional reference?, line 146","NUM29-020","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-041","5. Results / 5.1 How strong was the conventional reference?, line 146","NUM29-019","0.9802","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","ROUNDED","RESOLVED"
"FNA-042","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-026","0.0466","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-043","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-021","0.26","docs/RESULTS_SUMMARY.md","E29-005","2 decimals","EXACT","RESOLVED"
"FNA-044","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-025","0.9112","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-045","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-024","0.9178","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-046","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-029","0.9777","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-047","5. Results / 5.1 How strong was the conventional reference?, line 147","NUM29-028","0.9802","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","ROUNDED","RESOLVED"
"FNA-048","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-138","0.0034","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-049","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-136","0.0073","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
