"citation_key","manuscript_lines","literature_claim_ids","support_type","source_quality","scope_preserved","orphan_status","action","status"
"cse_cic_ids2018_official","32;58","LC-014;LC-039","DIRECT_SUPPORT","TIER_3_OFFICIAL_SOURCE","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"sharafaldin2018toward","32;58;64","LC-013;LC-014;LC-039;LC-040","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"cicids2017_official","32;64","LC-040","DIRECT_SUPPORT","TIER_3_OFFICIAL_SOURCE","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"ring2019survey","9;32","LC-001;LC-004;LC-013;LC-014;LC-015","DIRECT_SUPPORT","TIER_2_HIGH_QUALITY_REVIEW","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"he2009imbalanced","32","LC-015;LC-016;LC-017","DIRECT_SUPPORT","TIER_2_HIGH_QUALITY_REVIEW","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"saito2015precision","11","LC-008;LC-012;LC-016;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"sommer2010closed","9;32","LC-002;LC-003;LC-004;LC-015;LC-017;LC-018;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"engelen2021troubleshooting","11;34;38","LC-006;LC-019;LC-022","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"arp2022dos","9;11;34;38","LC-002;LC-003;LC-005;LC-006;LC-018;LC-019;LC-020;LC-021;LC-022;LC-023;LC-024","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"pendlebury2019tesseract","11;34","LC-003;LC-005;LC-017;LC-018;LC-020;LC-021","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"ribeiro2016lime","40","LC-025;LC-026","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"lundberg2017shap","40","LC-025","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"lundberg2020trees","40","LC-025","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"yeh2019infidelity","40","LC-026","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"dhooge2020interdataset","11;44","LC-007;LC-027;LC-028","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"layeghy2023crossdomain","11;44","LC-006;LC-007;LC-027;LC-028;LC-029","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"cantone2024crossdataset","44","LC-028;LC-029","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"axelsson2000baserate","11;46","LC-003;LC-009;LC-012;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"saerens2002prior","46","LC-008;LC-031","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"layman2023falsealarms","11;46","LC-009;LC-030","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"mattson2020mlperf","11;50","LC-010;LC-012;LC-032;LC-033","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"mirsky2018kitsune","50","LC-010;LC-032;LC-033","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"scheirer2013openset","50","LC-034;LC-036","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"zoppi2023unknown","11;50","LC-011;LC-034;LC-035;LC-036","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"shin2023openset","11;50","LC-011;LC-034;LC-035","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"pineau2021reproducibility","52","LC-037","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
"dwork2015holdout","52","LC-038","DIRECT_SUPPORT","TIER_1_PRIMARY","YES","USED_AND_MAPPED","KEEP","RESOLVED"
