"audit_id","manuscript_location","number_id","frozen_source_value","displayed_manuscript_value","source_artifact","evidence_id","registered_rounding_rule","rounding_authorization","resolution_type","status"
"P2C-FNA-001","Abstract, line 5","NUM29-100","0.1","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-002","Abstract, line 5","NUM29-094","0.108176","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT_SIX_DECIMAL_DISPLAY_AUTHORIZED; TWO_DECIMAL_DISPLAY_NOT_AUTHORIZED","EXACT","RESOLVED"
"P2C-FNA-003","Abstract, line 5","NUM29-137","0.2599","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-004","Abstract, line 5","NUM29-141","0.6388","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-005","Abstract, line 5","NUM29-091","0.667483","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT_SIX_DECIMAL_DISPLAY_AUTHORIZED; TWO_DECIMAL_DISPLAY_NOT_AUTHORIZED","EXACT","RESOLVED"
"P2C-FNA-006","Abstract, line 5","NUM29-017","0.9285008671218141","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-007","Abstract, line 5","NUM29-020","0.9776433333080397","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-008","Abstract, line 5","NUM29-102","33.5","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-009","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 58","NUM29-001","192593","192,593","docs/RESULTS_SUMMARY.md","E29-001","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-010","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 58","NUM29-002","48149","48,149","docs/RESULTS_SUMMARY.md","E29-001","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-011","3. Datasets and Provenance / 3.1 CSE-CIC-IDS2018 roles, line 58","NUM29-003","60186","60,186","docs/RESULTS_SUMMARY.md","E29-001","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-012","3. Datasets and Provenance / 3.2 CICIDS2017 and semantic bridges, line 64","NUM29-090","2830743","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-013","3. Datasets and Provenance / 3.3 Attack-family populations, line 70","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-014","4. Validation Framework and Methods / 4.1 Reference evaluation, line 82","NUM29-021","0.26","0.26","docs/RESULTS_SUMMARY.md","E29-005","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-015","4. Validation Framework and Methods / 4.1 Reference evaluation, line 82","NUM29-014","0.51","0.51","docs/RESULTS_SUMMARY.md","E29-004","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-016","4. Validation Framework and Methods / 4.2 Temporal validation, line 86","NUM29-078","1374133","1,374,133","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-017","4. Validation Framework and Methods / 4.2 Temporal validation, line 86","NUM29-079","375345","375,345","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-018","4. Validation Framework and Methods / 4.2 Temporal validation, line 86","NUM29-080","998788","998,788","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-019","4. Validation Framework and Methods / 4.7 Leave-one-attack-family-out evaluation, line 116","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-020","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-018","0.006083333333333333","0.0061","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
