path,extension,size_bytes,sha256,git_tracked,scientific_stage,artifact_role,provenance_classification,structured_shape,row_count,dimension_basis,record_bound,redistribution_status,rights_basis,notes
.gitignore,[none],462,4f91f8c2e4bae789185be7ecb2e2ccc5ab96c6b054f5eb55fff85a40ad89a5a9,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
CITATION.cff,.cff,1056,c23a70bb8e5db2ec80fd8bf1997311474c33622685ec411605df9d6fe9252225,YES,RELEASE_ENGINEERING,RELEASE_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
DATASET.md,.md,1237,cda2837790c0b80743db0df4bc76d9b60bc5f1a29883503d55a8c814db35fd6e,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
LICENSE,[none],1468,b6d7229ac056b4809c41a9fbd172b33449fef48d96db010a620dcaa3e702a7bb,YES,RELEASE_ENGINEERING,RELEASE_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
README.md,.md,8379,6fd3d6f29ede3751a8ff548aa9b125a1f04e3ab17c419d87725453d232b12974,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
REPRODUCE.md,.md,8118,87e00b75125e30af77b01d9bc0edde393c384196aa12b58d402d88698834786b,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
REPRODUCIBILITY.md,.md,2711,67705f8d7368b7136be38b35da8134f5e2f91e6fcb0434d3b314f1ed315c1871,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored root release/source documentation
configs/README.md,.md,1627,c37f9d2bea8467c6b33a4abd2e25ac694044e290f1eeaa7f23b9e120b5438f3f,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage01/protocol.json,.json,1655,a45ce5b3e11edc91cffffcf55513c5653b6da4a25a189d79b795cb5a531483ce,YES,Stage01,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage02/protocol.json,.json,2159,ee97bda375c4d74d85e8c71c7801478185dc0523fd3b8d5c813188dbd869b684,YES,Stage02,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage03/protocol.json,.json,2320,b2ee250c220558a0fe38ed29a0e0dbd80d3ace4e071c85fd03624d651c08c005,YES,Stage03,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
