claim_id,result_stage,result_artifact,figure_or_table,config,entry_point,canonical_source,equivalence_check,environment,limitation
C22-001,Stage22,results/stage22r_protocol_recovery/stage22r_1b1_development_memberships/stage22r_1b1_membership_summary.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:118-119,EQ079,ENV025,"Membership bitsets are not loaded by the safe interface."
C22-002,Stage22,"results/stage22r_training/stage22r_2a_random_natural;results/stage22r_training/stage22r_2b_random_rebalanced;results/stage22r_training/stage22r_2c_chronological_natural;results/stage22r_training/stage22r_2d_chronological_rebalanced",docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:121-131,EQ080,ENV025,"No threshold sweep or model inference is rerun."
C22-003,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:133-136,EQ081,ENV025,"Holdout is permanently closed."
C22-004,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:135,EQ081,ENV025,"Single frozen seed42 result."
C22-005,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:135,EQ081,ENV025,"Single frozen seed42 result."
C22-006,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:135,EQ081,ENV025,"Single frozen seed42 result."
C22-007,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,docs/STAGE22R_MANUSCRIPT_INTEGRATION.md,configs/stage22/protocol.json,scripts/reproduce_stage22.py,NB007:135,EQ081,ENV025,"Comparison is within one shared frozen holdout."
C22-008,Stage22,results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json,NOT_APPLICABLE_GOVERNANCE_RECEIPT,configs/stage22/protocol.json,scripts/reproduce_stage22.py,src/ids_validation/stages/stage22/registry.py,EQ081,ENV025,"Receipt metadata only."
C22-009,Stage22,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv,configs/stage22/protocol.json,scripts/reproduce_stage22.py,src/ids_validation/stages/stage22/registry.py,EQ081,ENV025,"Does not create a new untouched-holdout claim."
C23-001,Stage23,results/stage23_shortcut_feature_audit/stage23_0_protocol_lock/feature_subset_spec.json,SOURCE_PROTOCOL_TABLE,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ083,ENV026,"Feature matrices are not rematerialized."
C23-002,Stage23,results/stage23_shortcut_feature_audit/stage23_0_protocol_lock/feature_subset_spec.json,SOURCE_PROTOCOL_TABLE,configs/stage23/protocol.json,scripts/reproduce_stage23.py,src/ids_validation/stages/stage23/registry.py,EQ084,ENV026,"Src Port is absent from the frozen 70-feature space."
C23-003,Stage23,results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_final_closure_receipt.json,NOT_APPLICABLE_GOVERNANCE_RECEIPT,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ085,ENV026,"No additional fits are authorized."
C23-004,Stage23,results/stage23_shortcut_feature_audit/stage23_2_placebo_ablation,SOURCE_RESULT_TABLES,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ085,ENV026,"Placebo models and probabilities are not loaded."
C23-005,Stage23,results/stage23_shortcut_feature_audit/stage23_3_stump_controls/stage23_3_stump_controls_summary.json,SOURCE_RESULT_TABLE,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ085,ENV026,"Stump artifacts are not deserialized."
C23-006,Stage23,results/stage23_shortcut_feature_audit/stage23_4_uncertainty_analysis/stage23_4_uncertainty_summary.csv,results/stage23_shortcut_feature_audit/stage23_4_uncertainty_analysis/stage23_4_uncertainty_summary.csv,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ086,ENV026,"Bootstrap replicates are not regenerated."
C23-007,Stage23,results/stage23_shortcut_feature_audit/stage23_5b_treeshap_proxy_absorption/stage23_5b_proxy_absorption_summary.csv,results/stage23_shortcut_feature_audit/stage23_5b_treeshap_proxy_absorption/stage23_5b_proxy_absorption_summary.csv,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ086,ENV026,"Consensus is not exact ensemble SHAP."
C23-008,Stage23,results/stage23_shortcut_feature_audit/stage23_7_final_synthesis/stage23_final_closure_receipt.json,NOT_APPLICABLE_INTERPRETATION_BOUNDARY,configs/stage23/protocol.json,scripts/reproduce_stage23.py,scripts/stage23_shortcut_feature_audit_kaggle.py,EQ087,ENV026,"Observational evidence cannot establish causation or leakage."
C24-001,Stage24,results/stage24_cross_dataset/stage24_0_protocol_lock/stage24_0c_semantic_bridge_spec.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ089,ENV027,"Frozen feature bridge remains unchanged."
C24-002,Stage24,results/stage24_cross_dataset/stage24_0_protocol_lock/stage24_0c_semantic_bridge_spec.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ089,ENV027,"No target-guided remapping."
C24-003,Stage24,results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,NB009:9-17;53-56,EQ090,ENV027,"Four historical fits are not rerun."
C24-004,Stage24,results/stage24_cross_dataset/stage24_3_primary_results_freeze/stage24_3a_primary_paired_bootstrap/stage24_3a_primary_results_freeze.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"Single frozen CICIDS2017 target population."
C24-005,Stage24,results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2b_bridge62_flag_corrected/stage24_2b_bridge62_flag_corrected_identity_result.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"Identity follows exclusion of corrected aggregate flags."
C24-006,Stage24,results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2c_bridge70_published/stage24_2c_bridge70_published_result.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"No target threshold tuning."
C24-007,Stage24,results/stage24_cross_dataset/stage24_2_primary_target_openings/stage24_2d_bridge70_flag_corrected/stage24_2d_bridge70_flag_corrected_result.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"Published and corrected remain separate."
C24-008,Stage24,results/stage24_cross_dataset/stage24_1_primary_source_sanity/stage24_1c_grounded_s4_membership/stage24_1c_ex1_grounded_s4_durable_artifact_infeasibility_amendment.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ090,ENV027,"No fuzzy substitute or inferred value."
C24-009,Stage24,results/stage24_cross_dataset/stage24_5_secondary_target_openings/stage24_5a_bridge62_ids2018_feb28/stage24_5a_secondary_bridge62_ids2018_feb28_result.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"Source threshold only; Mar1/Mar2 closed."
C24-010,Stage24,results/stage24_cross_dataset/stage24_5_secondary_target_openings/stage24_5b_bridge70_ids2018_feb28/stage24_5b_secondary_bridge70_ids2018_feb28_result.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,scripts/stage24/stage24_cross_dataset_generalization.py,EQ091,ENV027,"Source threshold only; Mar1/Mar2 closed."
C24-011,Stage24,results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_4_governance_and_populations.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,src/ids_validation/stages/stage24/registry.py,EQ090,ENV027,"No target is reopened."
C24-012,Stage24,results/stage24_cross_dataset/stage24_6_final_synthesis/stage24_6_final_synthesis.json,results/stage24_cross_dataset/stage24_publication_package/tables/table24_1_bidirectional_generalization.csv,configs/stage24/protocol.json,scripts/reproduce_stage24.py,src/ids_validation/stages/stage24/registry.py,EQ092,ENV027,"Directions use different models populations and prevalences."
