background_position,training_position,original_row_index,y_true
0,142704,73289,0
1,168492,81922,0
2,89403,226916,0
3,85794,196401,0
4,11518,85499,1
5,31519,195703,1
6,117815,65191,0
7,84821,59183,1
8,63161,118676,1
9,137176,77309,0
10,23396,209764,1
11,60562,202569,1
12,88304,95787,0
13,2690,146065,1
14,33413,50637,0
15,74644,39159,0
16,13848,77609,1
17,85642,33375,1
18,160401,82747,0
19,160196,46272,0
20,141204,112771,0
21,138992,132980,1
22,44505,211487,0
23,163552,91671,0
24,106287,174917,1
25,165148,292467,1
26,61415,121496,1
27,55398,243133,0
28,129788,98158,1
29,120184,132022,1
30,61703,55795,0
31,53667,123757,1
32,34050,125657,0
33,136814,123617,1
34,71872,240730,1
35,99239,155692,0
36,117312,138640,1
37,30201,205448,1
38,123529,148654,0
39,124960,129719,1
40,101913,252892,1
41,95162,6992,1
42,101675,9986,0
43,70307,100298,0
44,12359,44118,1
45,46015,197548,0
46,112358,289005,0
47,183653,12824,0
48,18617,65926,1
49,118017,299335,0
50,12214,265171,1
51,41518,186996,0
52,89661,50323,0
53,92322,268938,0
54,130039,89706,1
55,37862,233316,1
56,19297,150152,0
57,8418,233269,0
58,64064,69975,0
59,7266,268572,1
60,119173,255987,0
61,95395,2276,0
62,119196,259905,1
63,46473,275482,0
64,7008,25142,0
65,153907,101132,0
66,36267,197455,1
67,114286,80247,0
68,86148,142894,1
69,175346,197570,0
70,118564,10383,0
71,166284,238969,0
72,97907,211087,0
73,146985,66995,0
74,116164,209937,0
75,75065,219351,0
76,65838,227037,0
77,48051,139090,1
78,138455,231401,0
79,149957,247309,0
80,12648,220841,0
81,173536,79159,1
82,99332,223995,1
83,28976,296383,1
84,166653,178861,0
85,24322,210211,0
86,59300,76285,0
87,58978,53564,0
88,12577,25834,0
89,81991,281505,0
90,188222,63398,0
91,4415,234247,1
92,1787,214547,0
93,13570,101405,1
94,180336,165171,0
95,103020,91231,0
96,27547,227687,0
97,59319,92509,1
98,83544,221110,0
99,67349,196365,0
100,144584,98502,0
101,173270,117436,0
