Attack Category,Support,Operating Point Key,Operating Point,Model,Threshold,Detected,Missed,Detection Rate,Detection Rate CI Lower,Detection Rate CI Upper,Miss Rate,Mean Attack Probability,Median Attack Probability,Probability Q10,Probability Q90
Bot,3998,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,3996,2,0.9994997498749375,0.9981777347112527,0.9998628026510133,0.0005002501250624958,0.9981252691195598,0.99943644,0.9990533,0.999853211
Bot,3998,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,3997,1,0.9997498749374687,0.9985844618657619,0.9999558454200702,0.0002501250625313034,0.9981252691195598,0.99943644,0.9990533,0.999853211
Bot,3998,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,3993,5,0.9987493746873437,0.9970755345720312,0.9994656930195354,0.001250625312656295,0.9975177234939498,0.999196848976764,0.9987340670354954,0.9997051120974528
Bot,3998,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,3997,1,0.9997498749374687,0.9985844618657619,0.9999558454200702,0.0002501250625313034,0.9975177234939498,0.999196848976764,0.9987340670354954,0.9997051120974528
Brute Force -Web,134,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,99,35,0.7388059701492538,0.6585154628366853,0.8057860655101091,0.26119402985074625,0.7433053554268657,0.88776705,0.162142279,0.99694199
Brute Force -Web,134,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,107,27,0.7985074626865671,0.7227118753584653,0.8576650350750276,0.20149253731343286,0.7433053554268657,0.88776705,0.162142279,0.99694199
Brute Force -Web,134,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,97,37,0.7238805970149254,0.6427464230451555,0.7925362597799642,0.27611940298507465,0.7530388031943275,0.9602976864317238,0.15084642025782022,0.9942525677146282
Brute Force -Web,134,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,110,24,0.8208955223880597,0.7473197986028969,0.8765853801131082,0.17910447761194026,0.7530388031943275,0.9602976864317238,0.15084642025782022,0.9942525677146282
Brute Force -XSS,50,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,47,3,0.94,0.8378290831116182,0.979385029651026,0.06000000000000005,0.9236117332,0.9675447,0.92217768,0.998166728
Brute Force -XSS,50,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,49,1,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,0.9236117332,0.9675447,0.92217768,0.998166728
Brute Force -XSS,50,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,47,3,0.94,0.8378290831116182,0.979385029651026,0.06000000000000005,0.9158444178636431,0.9540418216866597,0.9196556438830503,0.9960091125650707
Brute Force -XSS,50,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,49,1,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,0.9158444178636431,0.9540418216866597,0.9196556438830503,0.9960091125650707
DDOS attack-HOIC,3970,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,3970,0,1.0,0.9990333135177882,0.9999999999999998,0.0,0.999463803418136,0.999414375,0.99910647,0.9998380099999999
DDOS attack-HOIC,3970,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,3970,0,1.0,0.9990333135177882,0.9999999999999998,0.0,0.999463803418136,0.999414375,0.99910647,0.9998380099999999
DDOS attack-HOIC,3970,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,3970,0,1.0,0.9990333135177882,0.9999999999999998,0.0,0.999310475092363,0.9991706284076476,0.9988732664723006,0.9998061630168912
DDOS attack-HOIC,3970,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,3970,0,1.0,0.9990333135177882,0.9999999999999998,0.0,0.999310475092363,0.9991706284076476,0.9988732664723006,0.9998061630168912
