Attack Category,Support,Share of Holdout Attacks
Bot,3998,0.165302240965848
DDOS attack-HOIC,3970,0.16414454643182005
Infilteration,3967,0.16402050773174565
FTP-BruteForce,3950,0.16331762176465725
DoS attacks-SlowHTTPTest,3721,0.15384933432564293
DoS attacks-GoldenEye,3141,0.12986851897792112
DoS attacks-Slowloris,820,0.03390391135367568
DoS attacks-Hulk,347,0.014347142975274953
Brute Force -Web,134,0.005540395269990904
DDOS attack-LOIC-UDP,75,0.0031009675018605805
Brute Force -XSS,50,0.0020673116679070535
SQL Injection,13,0.000537501033655834
