Attack Category,Support,lightgbm_balanced,lightgbm_security,xgboost_balanced,xgboost_security,Mean Detection Rate Across Operating Points
Infilteration,3967,0.24401310814217292,0.4383665238215276,0.24451726745651625,0.43080413410637763,0.3394252583816486
Brute Force -Web,134,0.7238805970149254,0.8208955223880597,0.7388059701492538,0.7985074626865671,0.7705223880597015
Brute Force -XSS,50,0.94,0.98,0.94,0.98,0.96
Bot,3998,0.9987493746873437,0.9997498749374687,0.9994997498749375,0.9997498749374687,0.9994372186093046
DDOS attack-HOIC,3970,1.0,1.0,1.0,1.0,1.0
FTP-BruteForce,3950,1.0,1.0,1.0,1.0,1.0
DoS attacks-SlowHTTPTest,3721,1.0,1.0,1.0,1.0,1.0
DoS attacks-GoldenEye,3141,1.0,1.0,1.0,1.0,1.0
DoS attacks-Slowloris,820,1.0,1.0,1.0,1.0,1.0
DoS attacks-Hulk,347,1.0,1.0,1.0,1.0,1.0
DDOS attack-LOIC-UDP,75,1.0,1.0,1.0,1.0,1.0
