Comparison,First Operating Point,Second Operating Point,Attack Category,Support,First Detected,Second Detected,First Detection Rate,Second Detection Rate,Detection Rate Difference,Difference CI Lower,Difference CI Upper,Both Detected,First Only Detected,Second Only Detected,Both Missed,Discordant Predictions,McNemar Exact P-value,Benjamini-Hochberg Adjusted P-value,Significant After BH 0.05,Difference CI Excludes Zero
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,Bot,3998,3996,3997,0.9994997498749375,0.9997498749374687,-0.0002501250625311924,-0.0010005002501249916,0.0,3996,0,1,1,1,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,Brute Force -Web,134,99,110,0.7388059701492538,0.8208955223880597,-0.08208955223880599,-0.13432835820895517,-0.03731343283582089,99,0,11,24,11,0.0009765625,0.005859375,True,True
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,Brute Force -XSS,50,47,49,0.94,0.98,-0.040000000000000036,-0.09999999999999998,0.0,47,0,2,1,2,0.5,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DDOS attack-HOIC,3970,3970,3970,1.0,1.0,0.0,0.0,0.0,3970,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DDOS attack-LOIC-UDP,75,75,75,1.0,1.0,0.0,0.0,0.0,75,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DoS attacks-GoldenEye,3141,3141,3141,1.0,1.0,0.0,0.0,0.0,3141,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DoS attacks-Hulk,347,347,347,1.0,1.0,0.0,0.0,0.0,347,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DoS attacks-SlowHTTPTest,3721,3721,3721,1.0,1.0,0.0,0.0,0.0,3721,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,DoS attacks-Slowloris,820,820,820,1.0,1.0,0.0,0.0,0.0,820,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,FTP-BruteForce,3950,3950,3950,1.0,1.0,0.0,0.0,0.0,3950,0,0,0,0,1.0,1.0,False,False
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,Infilteration,3967,970,1739,0.24451726745651625,0.4383665238215276,-0.19384925636501132,-0.20595538190068063,-0.18174943282077138,969,1,770,2227,771,1.2431417125322467e-229,1.491770055038696e-228,True,True
XGBoost Balanced minus LightGBM Security,XGBoost Balanced,LightGBM Security,SQL Injection,13,12,13,0.9230769230769231,1.0,-0.07692307692307687,-0.23076923076923073,0.0,12,0,1,0,1,1.0,1.0,False,False
