Model,Requested Bin Count,Actual Non-empty Bins,Strategy,ECE,MCE,RMSCE
XGBoost Tuned,10,10,uniform,0.0025705864156702557,0.035113786186440565,0.003931480347689113
XGBoost Tuned,10,10,quantile,0.0026168436953522365,0.012070795598870046,0.0043380768237741875
XGBoost Tuned,15,15,uniform,0.0025925176372656377,0.043268118074534234,0.005321294633397163
XGBoost Tuned,15,15,quantile,0.0026968731586825886,0.01545830360792623,0.0047043493668265995
XGBoost Tuned,20,20,uniform,0.003673860859310629,0.06152410878048786,0.006670954130220795
XGBoost Tuned,20,19,quantile,0.0026677552079963788,0.01966526039415087,0.005139835123190414
LightGBM Tuned,10,10,uniform,0.002062072774343652,0.05856164861393065,0.005270504825209879
LightGBM Tuned,10,10,quantile,0.002541823640694375,0.007966047455954639,0.00361428871867736
LightGBM Tuned,15,15,uniform,0.0032418563690034628,0.08697301007648206,0.0075576008408302356
LightGBM Tuned,15,15,quantile,0.003836072096694928,0.010759976345980304,0.0054084363325193445
LightGBM Tuned,20,20,uniform,0.0036050593151175443,0.11947046422288132,0.009618475713611506
LightGBM Tuned,20,20,quantile,0.0032605939198167696,0.010482923904475416,0.004798228073521242
