Model,Strategy,Bin Index,Bin Lower,Bin Upper,Count,Weight,Mean Predicted Probability,Observed Attack Frequency,Calibration Gap,Absolute Calibration Gap,Squared Calibration Gap
XGBoost Tuned,Equal Frequency,1,0.0,4.0114324e-05,4013,0.06667663576246968,3.027263909319711e-05,0.0,3.027263909319711e-05,3.027263909319711e-05,9.164326776669659e-10
XGBoost Tuned,Equal Frequency,2,4.0114324e-05,0.0003613861266666667,4012,0.06666002060279799,0.00010509278216824526,0.0,0.00010509278216824526,0.00010509278216824526,1.1044492863862249e-08
XGBoost Tuned,Equal Frequency,3,0.0003613861266666667,0.002258553,4013,0.06667663576246968,0.0009437004136381759,0.0,0.0009437004136381759,0.0009437004136381759,8.905704707008643e-07
XGBoost Tuned,Equal Frequency,4,0.002258553,0.007656390333333335,4012,0.06666002060279799,0.004211674844092721,0.0012462612163509472,0.0029654136277417744,0.0029654136277417744,8.793677983596631e-06
XGBoost Tuned,Equal Frequency,5,0.007656390333333335,0.03972115566666666,4012,0.06666002060279799,0.02211048796119143,0.018943170488534396,0.0031673174726570344,0.0031673174726570344,1.0031899972598543e-05
XGBoost Tuned,Equal Frequency,6,0.03972115566666666,0.0753887,4013,0.06667663576246968,0.057025628605282826,0.06329429354597559,-0.00626866494069276,0.00626866494069276,3.9296160138670565e-05
XGBoost Tuned,Equal Frequency,7,0.0753887,0.11523365666666664,4012,0.06666002060279799,0.09496044016076768,0.11041874376869391,-0.01545830360792623,0.01545830360792623,0.0002389591504348251
XGBoost Tuned,Equal Frequency,8,0.11523365666666664,0.16071157,4013,0.06667663576246968,0.13676230131597308,0.14004485422377275,-0.003282552907799663,0.003282552907799663,1.0775153592504022e-05
XGBoost Tuned,Equal Frequency,9,0.16071157,0.2483397,4012,0.06666002060279799,0.19658310138584248,0.2008973080757727,-0.004314206689930211,0.004314206689930211,1.861237936343859e-05
XGBoost Tuned,Equal Frequency,10,0.2483397,0.99442521,4012,0.06666002060279799,0.4915290676196411,0.4930209371884347,-0.0014918695687936023,0.0014918695687936023,2.225674810292409e-06
XGBoost Tuned,Equal Frequency,11,0.99442521,0.9993407533333333,4012,0.06666002060279799,0.9985786083150548,1.0,-0.0014213916849451502,0.0014213916849451502,2.020354322031213e-06
XGBoost Tuned,Equal Frequency,12,0.9993407533333333,0.9996506,4013,0.06667663576246968,0.9994660507126837,1.0,-0.0005339492873163154,0.0005339492873163154,2.8510184142560117e-07
XGBoost Tuned,Equal Frequency,13,0.9996506,0.99983776,4015,0.06670986608181305,0.9997745090236612,1.0,-0.00022549097633883797,0.00022549097633883797,5.0846180410242384e-08
XGBoost Tuned,Equal Frequency,14,0.99983776,0.9998771,4579,0.07608081613664307,0.9998614725420398,1.0,-0.0001385274579601692,0.0001385274579601692,1.918985660890644e-08
XGBoost Tuned,Equal Frequency,15,0.9998771,1.0,3443,0.057205994749609544,0.9998976038425792,1.0,-0.00010239615742080321,0.00010239615742080321,1.0484973054545913e-08
LightGBM Tuned,Equal Frequency,1,0.0,9.800205657133822e-05,4013,0.06667663576246968,8.053507205823381e-05,0.0,8.053507205823381e-05,8.053507205823381e-05,6.485897831424912e-09
LightGBM Tuned,Equal Frequency,2,9.800205657133822e-05,0.0007012591263274334,4012,0.06666002060279799,0.00021473353251378054,0.0,0.00021473353251378054,0.00021473353251378054,4.6110489985846845e-08
LightGBM Tuned,Equal Frequency,3,0.0007012591263274334,0.003079139017958,4013,0.06667663576246968,0.0014134554043402994,0.0,0.0014134554043402994,0.0014134554043402994,1.997856180058799e-06
LightGBM Tuned,Equal Frequency,4,0.003079139017958,0.0099869288493848,4021,0.06680955703984315,0.005576480431361091,0.000994777418552599,0.004581703012808492,0.004581703012808492,2.099200249757841e-05
LightGBM Tuned,Equal Frequency,5,0.0099869288493848,0.04384078690676057,4003,0.06651048416575284,0.025117691165484464,0.019235573320009993,0.005882117845474471,0.005882117845474471,3.459931034804923e-05
LightGBM Tuned,Equal Frequency,6,0.04384078690676057,0.0835602598793764,4013,0.06667663576246968,0.0641352237663156,0.06877647645153252,-0.004641252685216923,0.004641252685216923,2.15412264880333e-05
LightGBM Tuned,Equal Frequency,7,0.0835602598793764,0.11892025298623053,4012,0.06666002060279799,0.10106738953776744,0.11016949152542373,-0.009102101987656291,0.009102101987656291,8.284826059369661e-05
LightGBM Tuned,Equal Frequency,8,0.11892025298623053,0.16107729124422354,4012,0.06666002060279799,0.13903552730132707,0.13110667996011965,0.007928847341207412,0.007928847341207412,6.286662016017185e-05
LightGBM Tuned,Equal Frequency,9,0.16107729124422354,0.2417892323379674,4013,0.06667663576246968,0.19337005057729134,0.20308995763767754,-0.009719907060386196,0.009719907060386196,9.447659326254542e-05
LightGBM Tuned,Equal Frequency,10,0.2417892323379674,0.9937418597363321,4012,0.06666002060279799,0.48400572654534574,0.49476570289132604,-0.010759976345980304,0.010759976345980304,0.00011577709096605566
LightGBM Tuned,Equal Frequency,11,0.9937418597363321,0.999133763838274,4449,0.0739208453793241,0.9981147914313286,0.9997752303888514,-0.0016604389575227696,0.0016604389575227696,2.7570575316593017e-06
LightGBM Tuned,Equal Frequency,12,0.999133763838274,0.999573043470206,3576,0.059415810985943576,0.9993389347323712,1.0,-0.0006610652676287687,0.0006610652676287687,4.370072880650956e-07
LightGBM Tuned,Equal Frequency,13,0.999573043470206,0.9997257920616716,4605,0.07651281028810687,0.9996820355800863,1.0,-0.0003179644199137188,0.0003179644199137188,1.0110137233106771e-07
LightGBM Tuned,Equal Frequency,14,0.9997257920616716,0.9997706651919208,6125,0.10176785298906722,0.9997642296942872,1.0,-0.00023577030571275692,0.00023577030571275692,5.558763705588686e-08
LightGBM Tuned,Equal Frequency,15,0.9997706651919208,1.0,1307,0.02171601369089157,0.9997982513499013,1.0,-0.0002017486500986987,0.0002017486500986987,4.0702517816647154e-08
