Model,Strategy,Bin Index,Bin Lower,Bin Upper,Count,Weight,Mean Predicted Probability,Observed Attack Frequency,Calibration Gap,Absolute Calibration Gap,Squared Calibration Gap
XGBoost Tuned,Equal Width,1,0.0,0.06666666666666667,23137,0.384424949323763,0.011767371795888404,0.011756061719324026,1.1310076564378588e-05,1.1310076564378588e-05,1.2791783189210576e-10
XGBoost Tuned,Equal Width,2,0.06666666666666667,0.13333333333333333,6678,0.11095603628750872,0.09919113588424677,0.1103623839472896,-0.01117124806304283,0.01117124806304283,0.00012479678328603818
XGBoost Tuned,Equal Width,3,0.13333333333333333,0.2,4624,0.07682849832186887,0.1625176084450692,0.1684688581314879,-0.0059512496864186915,0.0059512496864186915,3.541737283009857e-05
XGBoost Tuned,Equal Width,4,0.2,0.26666666666666666,2115,0.035141062705612604,0.22922226297399528,0.22789598108747045,0.0013262818865248382,0.0013262818865248382,1.759023642523884e-06
XGBoost Tuned,Equal Width,5,0.26666666666666666,0.3333333333333333,998,0.016581929352341075,0.2946014638877755,0.27955911823647295,0.01504234565130258,0.01504234565130258,0.00022627216269326163
XGBoost Tuned,Equal Width,6,0.3333333333333333,0.4,784,0.013026285182600605,0.35541616207908167,0.3469387755102041,0.008477386568877587,0.008477386568877587,7.186608303818612e-05
XGBoost Tuned,Equal Width,7,0.4,0.4666666666666667,317,0.005267005615923969,0.42873756905362775,0.43217665615141954,-0.003439087097791782,0.003439087097791782,1.1827320066197902e-05
XGBoost Tuned,Equal Width,8,0.4666666666666667,0.5333333333333333,216,0.00358887448908384,0.49463542601851856,0.49537037037037035,-0.0007349443518517851,0.0007349443518517851,5.401432003188405e-07
XGBoost Tuned,Equal Width,9,0.5333333333333333,0.6,161,0.0026750407071411955,0.5654275340993788,0.6086956521739131,-0.043268118074534234,0.043268118074534234,0.001872130041711836
XGBoost Tuned,Equal Width,10,0.6,0.6666666666666666,99,0.0016449008074967601,0.6336052929292929,0.6464646464646465,-0.012859353535353613,0.012859353535353613,0.00016536297334721146
XGBoost Tuned,Equal Width,11,0.6666666666666666,0.7333333333333333,119,0.001977204000930449,0.6980591017647061,0.6890756302521008,0.008983471512605257,0.008983471512605257,8.070276041779018e-05
XGBoost Tuned,Equal Width,12,0.7333333333333333,0.8,115,0.001910743362243711,0.7661630491304346,0.7739130434782608,-0.0077499943478261946,0.0077499943478261946,6.0062412391337965e-05
XGBoost Tuned,Equal Width,13,0.8,0.8666666666666667,148,0.002459043631409298,0.8331127411486487,0.8513513513513513,-0.018238610202702565,0.018238610202702565,0.0003326469021261261
XGBoost Tuned,Equal Width,14,0.8666666666666667,0.9333333333333333,96,0.0015950553284817066,0.8901286576041666,0.90625,-0.016121342395833405,0.016121342395833405,0.0002598976806436955
XGBoost Tuned,Equal Width,15,0.9333333333333333,1.0,20579,0.3419233708835942,0.9991499894698479,0.9998056270955828,-0.0006556376257349505,0.0006556376257349505,4.298606962793631e-07
LightGBM Tuned,Equal Width,1,0.0,0.06666666666666667,22308,0.3706509819559366,0.011405240976883894,0.009279182356105434,0.00212605862077846,0.00212605862077846,4.520125258986407e-06
LightGBM Tuned,Equal Width,2,0.06666666666666667,0.13333333333333333,7184,0.11936330708138106,0.09958852764165449,0.10551224944320713,-0.005923721801552637,0.005923721801552637,3.509047998219001e-05
LightGBM Tuned,Equal Width,3,0.13333333333333333,0.2,5166,0.08583391486392185,0.16245453088551368,0.1672473867595819,-0.004792855874068219,0.004792855874068219,2.2971467429590233e-05
LightGBM Tuned,Equal Width,4,0.2,0.26666666666666666,2098,0.03485860499119397,0.22928391848194885,0.22688274547187798,0.0024011730100708673,0.0024011730100708673,5.765631824292789e-06
LightGBM Tuned,Equal Width,5,0.26666666666666666,0.3333333333333333,857,0.014239191838633569,0.2978367905239065,0.30105017502917153,-0.003213384505265038,0.003213384505265038,1.0325839978677433e-05
LightGBM Tuned,Equal Width,6,0.3333333333333333,0.4,757,0.012577675871465124,0.35664258473395183,0.3606340819022457,-0.003991497168293889,0.003991497168293889,1.5932049644498137e-05
LightGBM Tuned,Equal Width,7,0.4,0.4666666666666667,303,0.005034393380520387,0.4328183724168579,0.44884488448844884,-0.016026512071590948,0.016026512071590948,0.0002568490891808504
LightGBM Tuned,Equal Width,8,0.4666666666666667,0.5333333333333333,251,0.004170405077592795,0.49611548356734914,0.50199203187251,-0.0058765483051608225,0.0058765483051608225,3.453381998288854e-05
LightGBM Tuned,Equal Width,9,0.5333333333333333,0.6,157,0.002608580068454458,0.5669259303212002,0.6496815286624203,-0.08275559834122015,0.08275559834122015,0.006848489056813359
LightGBM Tuned,Equal Width,10,0.6,0.6666666666666666,105,0.0017445917655268667,0.6306333848252701,0.5714285714285714,0.0592048133966987,0.0592048133966987,0.0035052099293379135
LightGBM Tuned,Equal Width,11,0.6666666666666666,0.7333333333333333,98,0.0016282856478250756,0.6987412756378036,0.7857142857142857,-0.08697301007648206,0.08697301007648206,0.00756430448176385
LightGBM Tuned,Equal Width,12,0.7333333333333333,0.8,109,0.0018110524042136045,0.7653039447239322,0.8165137614678899,-0.05120981674395775,0.05120981674395775,0.0026224453309497352
LightGBM Tuned,Equal Width,13,0.8,0.8666666666666667,157,0.002608580068454458,0.8348570688507486,0.8089171974522293,0.025939871398519276,0.025939871398519276,0.0006728769281717184
LightGBM Tuned,Equal Width,14,0.8666666666666667,0.9333333333333333,60,0.0009969095803010668,0.902502966096091,0.9666666666666667,-0.06416370057057563,0.06416370057057563,0.004116980470910488
LightGBM Tuned,Equal Width,15,0.9333333333333333,1.0,20576,0.34187352540457916,0.9988827051901591,0.999951399688958,-0.0010686944987988722,0.0010686944987988722,1.1421079317629727e-06
