Model,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates
XGBoost Tuned,Brier Score,0.04277372026730192,0.04278984932708597,0.04279092835484683,0.0005953777941586621,0.04158216484923609,0.04392156925033132,0.0023394044010952297,2000
XGBoost Tuned,Log Loss,0.14196578621655653,0.14201831337320983,0.1419957246402795,0.0016994312490717584,0.13859511304904215,0.14522652780343223,0.00663141475439008,2000
XGBoost Tuned,ECE Uniform 15,0.0025925176372656377,0.00358828714871498,0.0035575474675489656,0.0006593086062121516,0.0023529128844715533,0.004964436023723833,0.0026115231392522796,2000
XGBoost Tuned,MCE Uniform 15,0.043268118074534234,0.07465862689039952,0.07134784382572545,0.024038464304098197,0.037572187340477056,0.1296984302804488,0.09212624293997175,2000
XGBoost Tuned,RMSCE Uniform 15,0.005321294633397163,0.008127659319688769,0.008067764621886166,0.001390047709203149,0.005566543677187064,0.01094914202017222,0.005382598342985156,2000
XGBoost Tuned,Adaptive ECE Quantile 15,0.0026968731586825886,0.0032696090123544336,0.003229689728293611,0.0006200136209157456,0.0021278332495643934,0.004538473485438001,0.0024106402358736075,2000
XGBoost Tuned,MCE Quantile 15,0.01545830360792623,0.01664772985642537,0.016281591804875983,0.004404857913666963,0.009163849554829273,0.026156756271777385,0.016992906716948114,2000
XGBoost Tuned,RMSCE Quantile 15,0.0047043493668265995,0.005703288442045693,0.005668478547917563,0.0011563727482263705,0.003603795160312078,0.00801734496082473,0.004413549800512652,2000
LightGBM Tuned,Brier Score,0.04275382352223183,0.042769333733622426,0.04276638015521936,0.0005903637685315111,0.0415864392761348,0.043891113980393894,0.002304674704259095,2000
LightGBM Tuned,Log Loss,0.14211088072820652,0.14215836394914652,0.14212734224816082,0.0016635985734585201,0.13891260462873423,0.145317768907249,0.0064051642785147855,2000
LightGBM Tuned,ECE Uniform 15,0.0032418563690034628,0.003927152124320209,0.0039031778192947174,0.0006716459756500209,0.0026456947378632467,0.005302155089236008,0.002656460351372761,2000
LightGBM Tuned,MCE Uniform 15,0.08697301007648206,0.11749297956498282,0.11490957841739241,0.02789220469693738,0.0702336620001116,0.1760323870532569,0.10579872505314532,2000
LightGBM Tuned,RMSCE Uniform 15,0.0075576008408302356,0.009610708384042219,0.009623806362433724,0.0015198206138452557,0.006649725184487194,0.012512096262636115,0.00586237107814892,2000
LightGBM Tuned,Adaptive ECE Quantile 15,0.003836072096694928,0.0038904428618007814,0.0038606318013375395,0.0007733113743990607,0.002445979936531743,0.005449958643482252,0.0030039787069505094,2000
LightGBM Tuned,MCE Quantile 15,0.010759976345980304,0.01539916196872616,0.015072036300166458,0.004185769337972189,0.008316734356148504,0.024513521907060975,0.016196787550912473,2000
LightGBM Tuned,RMSCE Quantile 15,0.0054084363325193445,0.006069269997070796,0.005986875495870713,0.0013055763715404019,0.003676380743107313,0.008631719631996703,0.004955338888889389,2000
