holdout_position,original_row_index,y_true,original_attack_label,xgboost_probability,xgboost_prediction_t051,xgboost_outcome,lightgbm_probability,lightgbm_prediction_t026,lightgbm_outcome,Dst Port,Protocol,Flow Duration,Init Fwd Win Byts,Fwd Seg Size Min,Fwd Pkt Len Max,RST Flag Cnt,probability_gap,xgb_margin,lgb_margin,combined_boundary_margin,selection_reason,disagreement_case_id
54300,110862,0,Benign,0.4780342876911163,0,TN,0.2717097077973353,1,FP,443,6,5980600,8192,20,194,1,0.206324579893781,0.03196571230888373,0.011709707797335267,0.043675420106219,true_0_closest_combined_boundary_1,DISAGREE_01
10117,243405,0,Benign,0.4621036350727081,0,TN,0.2678734013583647,1,FP,500,17,89479560,-1,8,500,0,0.1942302337143434,0.047896364927291935,0.007873401358364673,0.05576976628565661,true_0_closest_combined_boundary_2,DISAGREE_02
39063,41236,0,Benign,0.4528842270374298,0,TN,0.2629219762567261,1,FP,53,17,712,-1,8,63,0,0.18996225078070372,0.0571157729625702,0.0029219762567260776,0.06003774921929628,true_0_closest_combined_boundary_3,DISAGREE_03
36683,288123,0,Benign,0.0641869083046913,0,TN,0.8066140522374621,1,FP,22,6,3004889,26883,40,0,0,0.7424271439327708,0.4458130916953087,0.5466140522374621,0.9924271439327708,true_0_largest_probability_gap_1,DISAGREE_04
24295,211974,0,Benign,0.6096335053443909,1,FP,0.0884499601482781,0,TN,3389,6,119315529,63817,20,51,0,0.5211835451961128,0.09963350534439086,0.1715500398517219,0.27118354519611276,true_0_largest_probability_gap_2,DISAGREE_05
31104,77342,0,Benign,0.0800000205636024,0,TN,0.5184144651378136,1,FP,443,6,288414,2048,20,0,0,0.43841444457421125,0.4299999794363976,0.25841446513781363,0.6884144445742113,true_0_largest_probability_gap_3,DISAGREE_06
53863,45470,1,Infilteration,0.4837058186531067,0,FN,0.2672456872982205,1,TP,53,17,117768,-1,8,42,0,0.21646013135488618,0.02629418134689332,0.0072456872982205045,0.033539868645113824,true_1_closest_combined_boundary_1,DISAGREE_07
49621,139680,1,Infilteration,0.4453208148479461,0,FN,0.2629131365136174,1,TP,3389,6,3598898,8192,20,677,0,0.1824076783343287,0.0646791851520539,0.0029131365136174092,0.0675923216656713,true_1_closest_combined_boundary_2,DISAGREE_08
59200,247974,1,Brute Force -Web,0.4868808388710022,0,FN,0.3112668768925544,1,TP,500,17,89479476,-1,8,500,0,0.1756139619784478,0.02311916112899781,0.05126687689255438,0.07438603802155219,true_1_closest_combined_boundary_3,DISAGREE_09
14476,218195,1,Infilteration,0.4159361124038696,0,FN,0.8946649828780958,1,TP,22,6,3032368,26883,40,0,0,0.47872887047422624,0.09406388759613044,0.6346649828780958,0.7287288704742263,true_1_largest_probability_gap_1,DISAGREE_10
55830,22327,1,Infilteration,0.5706228017807007,1,TP,0.2081707554017682,0,FN,80,6,6222243,8192,20,536,1,0.36245204637893247,0.060622801780700675,0.05182924459823182,0.1124520463789325,true_1_largest_probability_gap_2,DISAGREE_11
39725,207990,1,Infilteration,0.33467897772789,0,FN,0.655675835830698,1,TP,443,6,117129799,8192,20,191,1,0.320996858102808,0.17532102227211,0.395675835830698,0.570996858102808,true_1_largest_probability_gap_3,DISAGREE_12
