disagreement_case_id,y_true,attack_category,xgboost_probability,lightgbm_probability,probability_gap,xgboost_outcome,lightgbm_outcome,xgboost_local_r2,lightgbm_local_r2,top10_feature_overlap,top10_feature_union,top10_jaccard,sparse_weight_cosine_similarity,shared_selected_features,shared_feature_sign_agreement
DISAGREE_01,0,Benign,0.47803428769111633,0.27170970779733533,0.206324579893781,TN,FP,0.20246164076142215,0.19335732840140196,6,14,0.42857142857142855,0.6612294094912078,9,1.0
DISAGREE_02,0,Benign,0.46210363507270813,0.26787340135836474,0.1942302337143434,TN,FP,0.27522815168474557,0.30982067937027735,6,14,0.42857142857142855,0.717628535554728,10,1.0
DISAGREE_03,0,Benign,0.4528842270374298,0.2629219762567261,0.18996225078070372,TN,FP,0.16874311142166176,0.1992977224605832,6,14,0.42857142857142855,0.7053705801800841,10,1.0
DISAGREE_04,0,Benign,0.06418690830469131,0.8066140522374621,0.7424271439327708,TN,FP,0.16944594400161306,0.205534473767924,6,14,0.42857142857142855,0.5561652371738374,9,0.8888888888888888
DISAGREE_05,0,Benign,0.6096335053443909,0.0884499601482781,0.5211835451961128,FP,TN,0.21457553131974927,0.22799543790575938,6,14,0.42857142857142855,0.7018482593865881,9,1.0
DISAGREE_06,0,Benign,0.08000002056360245,0.5184144651378136,0.4384144445742112,TN,FP,0.1941879086964473,0.17275053933251594,6,14,0.42857142857142855,0.5472863545508284,9,0.8888888888888888
DISAGREE_07,1,Infilteration,0.4837058186531067,0.2672456872982205,0.21646013135488618,FN,TP,0.15955005564138824,0.18887836955960413,7,13,0.5384615384615384,0.5402284658678265,9,0.8888888888888888
DISAGREE_08,1,Infilteration,0.44532081484794617,0.2629131365136174,0.18240767833432875,FN,TP,0.28271875377832745,0.2732097943044919,6,14,0.42857142857142855,0.6945828344104944,11,0.9090909090909091
DISAGREE_09,1,Brute Force -Web,0.4868808388710022,0.31126687689255444,0.17561396197844775,FN,TP,0.2798228748191436,0.297180038414842,5,15,0.3333333333333333,0.6137329402533864,8,1.0
DISAGREE_10,1,Infilteration,0.41593611240386963,0.8946649828780958,0.4787288704742262,FN,TP,0.1690404718905948,0.23177052590652836,4,16,0.25,0.5108295644042246,7,1.0
DISAGREE_11,1,Infilteration,0.5706228017807007,0.20817075540176824,0.36245204637893247,TP,FN,0.2832960687115378,0.2814292036777424,6,14,0.42857142857142855,0.661089298375695,8,1.0
DISAGREE_12,1,Infilteration,0.33467897772789,0.655675835830698,0.320996858102808,FN,TP,0.20890146455576752,0.18881889344779046,6,14,0.42857142857142855,0.6883570309486577,9,1.0
