config_order,config_id,model,model_display,explanations,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,median_fidelity_gap,p90_fidelity_gap,maximum_fidelity_gap
1,baseline_quartile_5k,lightgbm,LightGBM,12,0.5,0.22568060347504312,0.20144933469959098,0.16558114614514974,0.08481108114723881,0.4963726388498138,0.5603302790080054
1,baseline_quartile_5k,xgboost,XGBoost,12,0.9166666666666666,0.21395668504380735,0.21107654474021464,0.14846464830601525,0.19494650280792208,0.25759460420042923,0.47852909600887367
2,quartile_local_10k,lightgbm,LightGBM,12,0.4166666666666667,0.22341015376327655,0.21555150310874094,0.16877650059098248,0.07607036894151596,0.46186615275971127,0.6059629048213129
2,quartile_local_10k,xgboost,XGBoost,12,0.8333333333333334,0.21362242445383714,0.20905704515231122,0.15698037109352225,0.19443568970095576,0.27513598424883273,0.4024937896349825
3,decile_local_10k,lightgbm,LightGBM,12,0.25,0.15614481573356254,0.1401263185733405,0.09354092312160689,0.14882801260493012,0.4052719737952507,0.40678783024308374
3,decile_local_10k,xgboost,XGBoost,12,0.9166666666666666,0.15484199811697663,0.14834503541562094,0.1265842141986313,0.20016609132303767,0.2993397180188737,0.4908643640959791
4,continuous_local_10k,lightgbm,LightGBM,12,0.9166666666666666,0.3358927855476969,0.34721787056500225,0.14203039814050922,0.15286015165707034,0.3722325294905178,0.4671735919403293
4,continuous_local_10k,xgboost,XGBoost,12,0.8333333333333334,0.20194575974954274,0.19758663681218208,0.09171216699226226,0.14181677070332938,0.291279107769046,0.4142708538383905
5,continuous_narrow_10k,lightgbm,LightGBM,12,0.9166666666666666,0.33348088560095435,0.34505841358378947,0.13936474334431048,0.15310993681249946,0.37226565404745543,0.46703266011295874
5,continuous_narrow_10k,xgboost,XGBoost,12,0.8333333333333334,0.20299354465035227,0.19873979946903808,0.09162880662268769,0.14200983964953065,0.2907478691007202,0.4150376687548345
6,continuous_wide_10k,lightgbm,LightGBM,12,0.9166666666666666,0.3362649308772632,0.3481165257683656,0.14308043910556345,0.15278714488440637,0.37217930352657885,0.46717344269129213
6,continuous_wide_10k,xgboost,XGBoost,12,0.8333333333333334,0.2022826575143687,0.19795742085889617,0.0917218085654311,0.14172843058160417,0.2914321381331735,0.41394291690602414
