config_order,config_id,config_description,discretize_continuous,discretizer,sample_around_instance,num_samples,kernel_width,disagreement_case_id,case_seed,model,model_display,y_true,attack_category,threshold,model_probability,model_prediction,model_outcome,local_prediction,local_prediction_clipped,local_decision,decision_agreement,local_r2,fidelity_gap,num_terms_returned,selected_feature_indices,selected_weights,elapsed_seconds
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_01,136000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.2615750212089316,0.2615750212089316,1,True,0.2027680699823371,0.010134686588403718,15,"[51, 69, 46, 19, 35, 50, 0, 53, 63, 44, 6, 36, 40, 5, 25]","[0.12213233242860971, -0.11415887959995084, 0.09915932303463224, -0.07161078078903761, 0.05994457964322289, 0.05559971670333548, -0.0450437585777122, 0.03511539880161674, -0.03433722504393398, -0.0339368777713404, -0.03303530898559668, -0.025981009041221765, -0.02573518694497012, -0.0256341524367434, -0.022515755156126065]",0.14953464800009897
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_01,136000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.3014719799146576,0.3014719799146576,0,True,0.22650284202000415,0.17656230777645876,15,"[46, 44, 0, 69, 11, 51, 12, 53, 19, 5, 4, 18, 23, 31, 35]","[0.18764209756615363, -0.12622347797344308, -0.09230350563792049, -0.0793567645724366, -0.05668838820854242, 0.04678742682248194, -0.04674534966454709, 0.04393506605681748, -0.041109892564613275, -0.0370446176205176, -0.03702811466428191, -0.03667638658139111, 0.03502117021336421, -0.03455439683492257, 0.034119369826936495]",0.1593595379999897
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_02,136001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.15095028304968072,0.15095028304968072,0,False,0.3088087372307028,0.11692311830868402,15,"[7, 69, 51, 46, 66, 63, 5, 19, 50, 0, 73, 33, 53, 44, 35]","[-0.13772807694298167, -0.1102163395989839, -0.10781741494646711, -0.10202024615563733, 0.08856553816664639, 0.08535859264411635, 0.0640392958505478, -0.06397182973557429, 0.05308143688650684, -0.04262950839206047, -0.03649653481770004, 0.03147764501338172, 0.028907846740526173, -0.025791989064767457, -0.021239708971026353]",0.1467638919998535
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_02,136001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.21454720815650133,0.21454720815650133,0,True,0.26885217646025505,0.2475564269162068,15,"[46, 7, 0, 50, 69, 5, 44, 66, 68, 33, 11, 51, 23, 18, 19]","[-0.1815386427617014, -0.1020858018978347, -0.09664774116691421, 0.09273868412755101, -0.07812924510871577, 0.07787106255408002, -0.06112275983113177, 0.059850953182314384, 0.05156408735499858, 0.05141680357744861, 0.042818137794520116, -0.04127229582925401, 0.041054317978842784, -0.040885662990388365, -0.040341755621784596]",0.1541840959998808
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_03,136002,lightgbm,LightGBM,0,Benign,0.26,0.2629219762567261,1,FP,0.23186976661673026,0.23186976661673026,0,False,0.20013059941684486,0.03105220963999583,15,"[69, 51, 46, 66, 44, 33, 50, 35, 7, 8, 63, 75, 5, 19, 12]","[-0.11549193816755632, -0.11535439145208039, -0.11202878872834279, 0.08934491491289655, 0.08124144069369464, 0.08083774936788624, 0.03957783245680163, -0.03819948510656223, 0.03456213889048015, -0.02965909099815446, -0.027989060581395362, 0.02306299993460686, -0.02295599275899317, 0.022380373121153627, 0.02194609419548667]",0.14589471599992976
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_03,136002,xgboost,XGBoost,0,Benign,0.51,0.4528842270374298,0,TN,0.2790327767062522,0.2790327767062522,0,True,0.1814187026329852,0.1738514503311776,15,"[46, 69, 66, 33, 5, 0, 51, 12, 30, 35, 17, 18, 29, 77, 50]","[-0.17962976426582264, -0.08044792437388383, 0.05361999393425575, 0.043324179707332204, -0.04204140409994084, 0.040504464504356595, -0.038943649698159485, 0.037700943667701325, -0.03647039031683358, -0.03230186223207826, 0.028310141512251936, 0.025105495950211765, -0.024169367714775236, -0.023103247882153947, -0.007077194499746814]",0.1606504659998791
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_04,136003,lightgbm,LightGBM,0,Benign,0.26,0.8066140522374621,1,FP,0.29687773074126006,0.29687773074126006,1,True,0.19240596611618432,0.5097363214962021,15,"[69, 51, 33, 50, 46, 19, 7, 44, 63, 8, 53, 37, 5, 10, 73]","[0.17417244463263729, -0.10416997317969633, -0.08862771384595426, 0.08358637659766081, -0.07805063827284656, -0.061092238906658644, 0.06037375224468922, -0.04196687212484418, -0.041544521976854494, 0.037891466539697105, -0.03629479387390429, -0.031025747914337945, -0.02727010073577266, 0.027064487820221857, 0.024573834908695618]",0.1462003309998181
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_04,136003,xgboost,XGBoost,0,Benign,0.51,0.06418690830469131,0,TN,0.32289686553670083,0.32289686553670083,0,True,0.14854459679514775,0.2587099572320095,15,"[33, 46, 50, 7, 11, 23, 0, 53, 19, 77, 51, 69, 70, 5, 44]","[-0.174041888866213, -0.1715123679740416, 0.05311939089754406, 0.05126600044383824, 0.05090022152211713, 0.0463996306528018, 0.038405340843099975, -0.03487312629319356, -0.030946157260379113, -0.03049344677323077, -0.028839090937867917, 0.02810123464361363, -0.027588556348683034, -0.026293721431689992, -0.02445686162832809]",0.14965690500002893
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_05,136004,lightgbm,LightGBM,0,Benign,0.26,0.0884499601482781,0,TN,0.140657658025805,0.140657658025805,0,True,0.20533209041422118,0.05220769787752688,15,"[66, 50, 51, 69, 46, 33, 35, 0, 44, 63, 6, 19, 11, 7, 40]","[-0.13022409956418393, 0.10617047692645759, -0.10460311148131925, -0.10148996487602376, -0.09169536609778138, 0.09039256024566905, 0.06980849915079756, -0.048722911503497356, 0.04456210418054662, -0.039481809607940906, -0.03464197537694691, 0.03160825221827553, 0.030380725132961285, 0.027846969917497074, 0.026712022273484994]",0.14673243199968056
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,DISAGREE_05,136004,xgboost,XGBoost,0,Benign,0.51,0.6096335053443909,1,FP,0.1311044093355172,0.1311044093355172,0,False,0.21154682678490766,0.47852909600887367,15,"[46, 50, 0, 66, 69, 30, 23, 18, 29, 44, 5, 11, 77, 4, 22]","[-0.17259446842432255, 0.11320488286299904, -0.09940864300893586, -0.07246731656199949, -0.07186248460451579, 0.05452897389175947, 0.05023911545310228, -0.048999890564748474, 0.045323239224162405, -0.03617599558658747, -0.031628639400480864, 0.0314704744580276, -0.031280771592426544, -0.025615958669116805, -0.025567386362394865]",0.1589244819997475
