case_id,selected_for_model,model_display,selected_outcome,selection_reason,models_disagree,holdout_position,original_row_index,y_true,attack_category,threshold,model_probability,model_prediction,explanation_seed,local_prediction,local_prediction_clipped,local_decision,decision_agreement,local_r2,fidelity_gap,elapsed_seconds,top5_jaccard,top10_jaccard,top15_jaccard,absolute_attribution_cosine,signed_attribution_cosine,absolute_attribution_spearman,absolute_spearman_p_value,signed_attribution_spearman,signed_spearman_p_value,sign_agreement_lime_selected,sign_agreement_shared_top10,top10_overlap,shared_top10_features,reliability_label
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,nearest_threshold_1,False,12198,41597,1,Infilteration,0.26,0.25976009999057137,0,137700,0.40354871562715233,0.40354871562715233,1,False,0.34691396148697085,0.14378861563658096,0.15276797700016687,0.25,0.1111111111111111,0.2,0.6298230636352274,0.43702982543541175,0.40644098955764646,0.00022216714503946503,0.1148561564785724,0.31667051242674765,0.6,0.5,2,"[""Flow IAT Max"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FN_02,lightgbm,LightGBM,FN,nearest_threshold_2,False,1664,114376,1,Infilteration,0.26,0.2597501145207758,0,137701,0.46713473590711785,0.46713473590711785,1,False,0.27777720725566746,0.20738462138634206,0.16782726000019466,0.25,0.25,0.30434782608695654,0.694790064529378,0.24461395938285896,0.38807431047326657,0.000446927036176627,-0.26296741226122755,0.020014871586547675,0.26666666666666666,0.25,4,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Flow IAT Max"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,probability_q10,False,8579,63036,1,Infilteration,0.26,0.06952756670245595,0,137702,0.3535313698411768,0.3535313698411768,1,False,0.28697955715603407,0.2840038031387208,0.16199241300000722,0.1111111111111111,0.3333333333333333,0.36363636363636365,0.6801176825332941,0.5599964023760988,0.48498706804675834,6.797810396293405e-06,0.25641577122511605,0.02344707769831104,0.7333333333333333,0.6,5,"[""Fwd Pkt Len Max"", ""Flow IAT Max"", ""Fwd Pkts/s"", ""Init Fwd Win Byts"", ""Idle Max""]",Local decision mismatch
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,probability_q25,False,12307,207689,1,Infilteration,0.26,0.10194591445480003,0,137703,0.42994088087452353,0.42994088087452353,1,False,0.28589750102954614,0.3279949664197235,0.16328670099983356,0.1111111111111111,0.42857142857142855,0.5,0.746155816859079,0.4238785963873817,0.535339005897323,4.420733023838377e-07,-0.3531076869659299,0.0015190141195008775,0.26666666666666666,0.3333333333333333,6,"[""Flow Duration"", ""Fwd Pkt Len Max"", ""Bwd Pkt Len Mean"", ""RST Flag Cnt"", ""ECE Flag Cnt"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,probability_q50,False,19597,215914,1,Infilteration,0.26,0.14463981139624313,0,137704,0.3902931948449904,0.3902931948449904,1,False,0.38473272504364686,0.2456533834487473,0.16024206400015828,0.25,0.42857142857142855,0.30434782608695654,0.6703700652865023,0.34499874284114623,0.5078810047010356,2.070956360786651e-06,-0.42668482421978876,9.799408198382232e-05,0.13333333333333333,0.16666666666666666,6,"[""Fwd Pkt Len Max"", ""Bwd Pkt Len Mean"", ""RST Flag Cnt"", ""ECE Flag Cnt"", ""Init Fwd Win Byts"", ""Fwd Seg Size Min""]",Local decision mismatch
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,probability_q75,False,26067,142842,1,Infilteration,0.26,0.18746894907835268,0,137705,0.4606849921627509,0.4606849921627509,1,False,0.2697411623215964,0.2732160430843982,0.16391493299988724,0.25,0.3333333333333333,0.25,0.7364037019870534,0.40462109065625107,0.2907934831786449,0.009799414139131293,-0.2557900526991953,0.02379961785008003,0.26666666666666666,0.2,5,"[""Dst Port"", ""Fwd Pkt Len Max"", ""RST Flag Cnt"", ""ECE Flag Cnt"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FN_07,lightgbm,LightGBM,FN,probability_q90,False,4276,18690,1,Infilteration,0.26,0.2235021872798531,0,137706,0.46883575955577045,0.46883575955577045,1,False,0.2828413016112268,0.24533357227591734,0.15909588600015923,0.25,0.3333333333333333,0.25,0.7427677904188896,0.4232124780228247,0.40647779652975946,0.00022184709278630948,-0.21721634592478614,0.05609378290435014,0.3333333333333333,0.2,5,"[""Dst Port"", ""Fwd Pkt Len Max"", ""RST Flag Cnt"", ""ECE Flag Cnt"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FN_08,lightgbm,LightGBM,FN,maximum_prediction_confidence,False,28639,41368,1,Infilteration,0.26,0.003420245254139396,0,137707,0.388420412463753,0.388420412463753,1,False,0.218081165432241,0.38500016720961355,0.16992796300019108,0.42857142857142855,0.25,0.6666666666666666,0.6709444628898685,0.06970434801062882,0.6149524865777115,2.0996645032623085e-09,-0.3111477387571261,0.0055575931599974255,0.26666666666666666,0.25,4,"[""Dst Port"", ""Flow IAT Min"", ""Bwd Seg Size Avg"", ""Init Fwd Win Byts""]",Local decision mismatch
LIGHTGBM_FP_01,lightgbm,LightGBM,FP,nearest_threshold_1,True,46474,25626,0,Benign,0.26,0.26014074213039545,1,137708,0.2948738634387972,0.2948738634387972,1,True,0.3858244760425479,0.034733121308401727,0.16809310099961294,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6411995127271322,-0.27775971890348783,0.4899192023098985,5.300151263209761e-06,-0.16454556883110336,0.14998130422701417,0.4,0.16666666666666666,6,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Fwd Pkt Len Std"", ""Flow IAT Max"", ""Init Fwd Win Byts"", ""Fwd Seg Size Min""]",Qualified supplementary explanation
LIGHTGBM_FP_02,lightgbm,LightGBM,FP,nearest_threshold_2,True,2099,264177,0,Benign,0.26,0.2601544694644417,1,137709,0.3818052828355164,0.3818052828355164,1,True,0.3979317305747416,0.1216508133710747,0.16850245099976746,0.1111111111111111,0.1111111111111111,0.25,0.19698861354429514,-0.05086752651656236,0.38597631306282637,0.0004828440797499092,0.07072459691510236,0.5383504238418426,0.5333333333333333,0.5,2,"[""Fwd Pkt Len Std"", ""Init Bwd Win Byts""]",Fidelity-limited
