disagreement_case_id,model,model_display,explanation_seed,holdout_position,original_row_index,y_true,attack_category,threshold,model_probability_attack,model_prediction,model_outcome,local_surrogate_prediction,fidelity_absolute_gap,local_surrogate_r2,intercept_attack,num_samples,num_features_requested,num_terms_returned,positive_weight_sum,negative_weight_sum,top_positive_condition,top_positive_weight,top_negative_condition,top_negative_weight,terms_csv_path,html_path,figure_path
DISAGREE_01,lightgbm,LightGBM,130500,54300,110862,0,Benign,0.26,0.27170970779733533,1,FP,0.2894225728006211,0.017712865003285783,0.19335732840140196,0.4359764537739672,5000,15,15,0.32769278943529456,-0.47424667040864066,ECE Flag Cnt > 0.00,0.10911310188027008,Fwd Seg Size Min <= 20.00,-0.11597670293839368,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_01_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_01_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_01_lightgbm_lime.png
DISAGREE_01,xgboost,XGBoost,130500,54300,110862,0,Benign,0.51,0.47803428769111633,0,TN,0.3346313201380418,0.14340296755307452,0.20246164076142215,0.34473902014036634,5000,15,15,0.38403218456453736,-0.39413988456686183,RST Flag Cnt > 0.00,0.1707661904986941,123.00 < Dst Port <= 8080.00,-0.08498296745376156,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_01_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_01_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_01_xgboost_lime.png
DISAGREE_02,lightgbm,LightGBM,130501,10117,243405,0,Benign,0.26,0.26787340135836474,1,FP,0.15982181570491538,0.10805158565344936,0.30982067937027735,0.6652728977655501,5000,15,15,0.27300253138908126,-0.778453613449716,Subflow Fwd Byts > 777.00,0.08874336358902776,Fwd Pkt Len Max > 436.00,-0.12820831810383176,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_02_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_02_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_02_lightgbm_lime.png
DISAGREE_02,xgboost,XGBoost,130501,10117,243405,0,Benign,0.51,0.46210363507270813,0,TN,0.2572763361465414,0.20482729892616675,0.27522815168474557,0.5436559520988922,5000,15,15,0.33259072150144725,-0.618970337453798,TotLen Fwd Pkts > 777.00,0.08945203335316437,RST Flag Cnt <= 0.00,-0.1670737703927297,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_02_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_02_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_02_xgboost_lime.png
DISAGREE_03,lightgbm,LightGBM,130502,39063,41236,0,Benign,0.26,0.2629219762567261,1,FP,0.24169788920903718,0.02122408704768891,0.1992977224605832,0.5498656539351974,5000,15,15,0.2249801094671412,-0.5331478741933013,Init Fwd Win Byts <= 219.00,0.09977165573209631,Fwd Seg Size Min <= 20.00,-0.11239043253141301,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_03_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_03_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_03_lightgbm_lime.png
DISAGREE_03,xgboost,XGBoost,130502,39063,41236,0,Benign,0.51,0.4528842270374298,0,TN,0.2634072747094658,0.18947695232796402,0.16874311142166176,0.6928319787478712,5000,15,15,0.2144053479451291,-0.6438300519835345,Init Fwd Win Byts <= 219.00,0.058165683637225456,RST Flag Cnt <= 0.00,-0.1784356098507621,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_03_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_03_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_03_xgboost_lime.png
DISAGREE_04,lightgbm,LightGBM,130503,36683,288123,0,Benign,0.26,0.8066140522374621,1,FP,0.38131048201588186,0.4253035702215802,0.205534473767924,0.4388085391757476,5000,15,15,0.442382716900923,-0.4998807740607887,Fwd Seg Size Min > 32.00,0.19507768330696104,FIN Flag Cnt <= 0.00,-0.1400762165008515,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_04_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_04_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_04_lightgbm_lime.png
DISAGREE_04,xgboost,XGBoost,130503,36683,288123,0,Benign,0.51,0.06418690830469131,0,TN,0.24249036048011474,0.17830345217542343,0.16944594400161306,0.7132607148698678,5000,15,15,0.20178241002132044,-0.6725527644110734,Bwd Pkt Len Max <= 0.00,0.05835567272723025,RST Flag Cnt <= 0.00,-0.16869966002347508,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_04_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_04_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_04_xgboost_lime.png
DISAGREE_05,lightgbm,LightGBM,130504,24295,211974,0,Benign,0.26,0.0884499601482781,0,TN,0.13121987262815799,0.04276991247987988,0.22799543790575938,0.5520751581379701,5000,15,15,0.24045813719672823,-0.6613134227065405,Fwd Header Len > 136.00,0.07538883400848785,Init Fwd Win Byts > 26883.00,-0.12717303789882412,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_05_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_05_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_05_lightgbm_lime.png
DISAGREE_05,xgboost,XGBoost,130504,24295,211974,0,Benign,0.51,0.6096335053443909,1,FP,0.1850231021452619,0.42461040319912896,0.21457553131974927,0.6281186393127579,5000,15,15,0.23791257462470547,-0.6810081117922016,Bwd IAT Min > 555.00,0.05483629373723096,RST Flag Cnt <= 0.00,-0.17710488433651406,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_05_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_05_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_05_xgboost_lime.png
