holdout_position,original_row_index,y_true,original_attack_label,xgboost_probability,xgboost_prediction_t051,xgboost_outcome,lightgbm_probability,lightgbm_prediction_t026,lightgbm_outcome,Dst Port,Protocol,Flow Duration,Init Fwd Win Byts,Fwd Seg Size Min,Fwd Pkt Len Max,RST Flag Cnt,_threshold_distance,selection_reason,selected_for_model,selected_for_model_display,selected_outcome,selected_model_threshold,within_group_rank,_quantile_distance,case_id,selected_model_probability,selected_model_prediction,other_model_probability,models_disagree
12198,41597,1,Infilteration,0.2644862532615661,0,FN,0.2597600999905713,0,FN,80,6,115555608,8192,20,432,1,0.00023990000942869516,nearest_threshold_1,lightgbm,LightGBM,FN,0.26,1,,LIGHTGBM_FN_01,0.2597600999905713,0,0.2644862532615661,False
1664,114376,1,Infilteration,0.2026406377553939,0,FN,0.2597501145207758,0,FN,53,17,1658041,-1,8,37,0,0.0002498854792242211,nearest_threshold_2,lightgbm,LightGBM,FN,0.26,2,,LIGHTGBM_FN_02,0.2597501145207758,0,0.2026406377553939,False
8579,63036,1,Infilteration,0.0958920866250991,0,FN,0.0695275667024559,0,FN,0,0,95147098,-1,0,0,0,,probability_q10,lightgbm,LightGBM,FN,0.26,3,0.0002263250860578131,LIGHTGBM_FN_03,0.0695275667024559,0,0.0958920866250991,False
12307,207689,1,Infilteration,0.1070336028933525,0,FN,0.1019459144548,0,FN,53,17,452,-1,8,36,0,,probability_q25,lightgbm,LightGBM,FN,0.26,4,1.9963688334248553e-05,LIGHTGBM_FN_04,0.1019459144548,0,0.1070336028933525,False
19597,215914,1,Infilteration,0.1067861765623092,0,FN,0.1446398113962431,0,FN,445,6,521821,8192,20,140,0,,probability_q50,lightgbm,LightGBM,FN,0.26,5,1.997800098363367e-05,LIGHTGBM_FN_05,0.1446398113962431,0,0.1067861765623092,False
26067,142842,1,Infilteration,0.2206006944179535,0,FN,0.1874689490783526,0,FN,53,17,1083,-1,8,37,0,,probability_q75,lightgbm,LightGBM,FN,0.26,6,4.6682236004569333e-07,LIGHTGBM_FN_06,0.1874689490783526,0,0.2206006944179535,False
4276,18690,1,Infilteration,0.3339610397815704,0,FN,0.2235021872798531,0,FN,53,17,2330,-1,8,40,0,,probability_q90,lightgbm,LightGBM,FN,0.26,7,1.4288926748901032e-05,LIGHTGBM_FN_07,0.2235021872798531,0,0.3339610397815704,False
28639,41368,1,Infilteration,0.0030615869909524,0,FN,0.0034202452541393,0,FN,49697,6,98,260,20,0,0,,maximum_prediction_confidence,lightgbm,LightGBM,FN,0.26,8,,LIGHTGBM_FN_08,0.0034202452541393,0,0.0030615869909524,False
46474,25626,0,Benign,0.3489459753036499,0,TN,0.2601407421303954,1,FP,3389,6,1400735,8192,20,677,0,0.0001407421303953882,nearest_threshold_1,lightgbm,LightGBM,FP,0.26,1,,LIGHTGBM_FP_01,0.2601407421303954,1,0.3489459753036499,True
2099,264177,0,Benign,0.3829658031463623,0,TN,0.2601544694644417,1,FP,3389,6,19861439,8192,20,661,1,0.00015446946444169773,nearest_threshold_2,lightgbm,LightGBM,FP,0.26,2,,LIGHTGBM_FP_02,0.2601544694644417,1,0.3829658031463623,True
3426,97863,0,Benign,0.3043681681156158,0,TN,0.2685311421282992,1,FP,53,17,256,-1,8,42,0,,probability_q10,lightgbm,LightGBM,FP,0.26,3,0.0,LIGHTGBM_FP_03,0.2685311421282992,1,0.3043681681156158,True
44825,108836,0,Benign,0.3022176027297973,0,TN,0.2967551870292779,1,FP,52569,6,5442,1204,20,31,0,,probability_q25,lightgbm,LightGBM,FP,0.26,4,1.6036736367408544e-05,LIGHTGBM_FP_04,0.2967551870292779,1,0.3022176027297973,True
689,253796,0,Benign,0.333444595336914,0,TN,0.3360960370323611,1,FP,1972,6,2,1024,24,0,0,,probability_q50,lightgbm,LightGBM,FP,0.26,5,0.0,LIGHTGBM_FP_05,0.3360960370323611,1,0.333444595336914,True
56541,253699,0,Benign,0.3316876292228699,0,TN,0.4176848479411818,1,FP,443,6,116838164,8192,20,288,1,,probability_q75,lightgbm,LightGBM,FP,0.26,6,5.865403870669583e-05,LIGHTGBM_FP_06,0.4176848479411818,1,0.3316876292228699,True
60112,27306,0,Benign,0.5454472899436951,1,FP,0.5392866407602213,1,FP,443,6,66613,8192,20,363,1,,probability_q90,lightgbm,LightGBM,FP,0.26,7,0.0003152381985045416,LIGHTGBM_FP_07,0.5392866407602213,1,0.5454472899436951,False
25964,208574,0,Benign,0.9826179146766664,1,FP,0.993992101809064,1,FP,80,6,172832,26883,32,217,0,,maximum_prediction_confidence,lightgbm,LightGBM,FP,0.26,8,,LIGHTGBM_FP_08,0.993992101809064,1,0.9826179146766664,False
5299,178057,0,Benign,0.097827136516571,0,TN,0.2599766521086586,0,TN,443,6,117627352,8192,20,250,1,2.3347891341396476e-05,nearest_threshold_1,lightgbm,LightGBM,TN,0.26,1,,LIGHTGBM_TN_01,0.2599766521086586,0,0.097827136516571,False
24758,49988,0,Benign,0.1616310030221939,0,TN,0.2599245732671515,0,TN,443,6,10139389,8192,20,188,1,7.542673284849366e-05,nearest_threshold_2,lightgbm,LightGBM,TN,0.26,2,,LIGHTGBM_TN_02,0.2599245732671515,0,0.1616310030221939,False
37054,48183,0,Benign,3.774485230678693e-05,0,TN,9.360742243696166e-05,0,TN,43746,6,5207511,219,32,935,0,,probability_q10,lightgbm,LightGBM,TN,0.26,3,0.0,LIGHTGBM_TN_03,9.360742243696166e-05,0,3.774485230678693e-05,False
75,154068,0,Benign,0.0005707077798433,0,TN,0.0007664539658337,0,TN,80,6,5327214,8192,20,97,0,,probability_q25,lightgbm,LightGBM,TN,0.26,4,0.0,LIGHTGBM_TN_04,0.0007664539658337,0,0.0005707077798433,False
25783,44186,0,Benign,0.0199619010090827,0,TN,0.0164838176751421,0,TN,80,17,4000103,-1,8,32,0,,probability_q50,lightgbm,LightGBM,TN,0.26,5,9.494340270199686e-06,LIGHTGBM_TN_05,0.0164838176751421,0,0.0199619010090827,False
19993,152357,0,Benign,0.1043024510145187,0,TN,0.1028689354694556,0,TN,53,17,1950,-1,8,34,0,,probability_q75,lightgbm,LightGBM,TN,0.26,6,8.181609748442176e-07,LIGHTGBM_TN_06,0.1028689354694556,0,0.1043024510145187,False
12281,137095,0,Benign,0.1559891104698181,0,TN,0.1632950726857324,0,TN,53,17,359,-1,8,35,0,,probability_q90,lightgbm,LightGBM,TN,0.26,7,0.0,LIGHTGBM_TN_07,0.1632950726857324,0,0.1559891104698181,False
2179,111166,0,Benign,2.007195689657237e-05,0,TN,5.3713588886115685e-05,0,TN,56276,6,1334,65535,20,935,1,,maximum_prediction_confidence,lightgbm,LightGBM,TN,0.26,8,,LIGHTGBM_TN_08,5.3713588886115685e-05,0,2.007195689657237e-05,False
20775,143524,1,Infilteration,0.2416278570890426,0,FN,0.2601225640627319,1,TP,3389,6,1410521,8192,20,661,0,0.00012256406273186693,nearest_threshold_1,lightgbm,LightGBM,TP,0.26,1,,LIGHTGBM_TP_01,0.2601225640627319,1,0.2416278570890426,True
16327,219756,1,Infilteration,0.358563095331192,0,FN,0.2601487104406969,1,TP,53,17,2202,-1,8,40,0,0.00014871044069686423,nearest_threshold_2,lightgbm,LightGBM,TP,0.26,2,,LIGHTGBM_TP_02,0.2601487104406969,1,0.358563095331192,True
660,232270,1,DoS attacks-Slowloris,0.9961434602737428,1,TP,0.9948173519623223,1,TP,80,6,3027486,26883,40,0,0,,probability_q10,lightgbm,LightGBM,TP,0.26,3,0.0,LIGHTGBM_TP_03,0.9948173519623223,1,0.9961434602737428,False
10818,149398,1,DDOS attack-HOIC,0.9993391633033752,1,TP,0.9990738048721938,1,TP,80,6,18068,32738,20,0,0,,probability_q25,lightgbm,LightGBM,TP,0.26,4,0.0,LIGHTGBM_TP_04,0.9990738048721938,1,0.9993391633033752,False
19763,203782,1,Bot,0.999817430973053,1,TP,0.9996342268398802,1,TP,8080,6,10976,8192,20,326,1,,probability_q50,lightgbm,LightGBM,TP,0.26,5,6.153054743496256e-08,LIGHTGBM_TP_05,0.9996342268398802,1,0.999817430973053,False
5,136010,1,DoS attacks-SlowHTTPTest,0.9998605251312256,1,TP,0.999762365904194,1,TP,21,6,3,26883,40,0,0,,probability_q75,lightgbm,LightGBM,TP,0.26,6,0.0,LIGHTGBM_TP_06,0.999762365904194,1,0.9998605251312256,False
23,86492,1,DoS attacks-SlowHTTPTest,0.9998977184295654,1,TP,0.9997706651919208,1,TP,21,6,2,26883,40,0,0,,probability_q90,lightgbm,LightGBM,TP,0.26,7,0.0,LIGHTGBM_TP_07,0.9997706651919208,1,0.9998977184295654,False
10387,121492,1,DoS attacks-GoldenEye,0.999818742275238,1,TP,0.9998417303876846,1,TP,80,6,6974167,26883,32,470,0,,maximum_prediction_confidence,lightgbm,LightGBM,TP,0.26,8,,LIGHTGBM_TP_08,0.9998417303876846,1,0.999818742275238,False
57890,136758,1,Infilteration,0.5097176432609558,0,FN,0.6854490292701486,1,TP,54660,6,16,172,20,0,0,0.00028235673904419833,nearest_threshold_1,xgboost,XGBoost,FN,0.51,1,,XGBOOST_FN_01,0.5097176432609558,0,0.6854490292701486,True
55207,175494,1,Infilteration,0.5090927481651306,0,FN,0.4678331141949172,1,TP,443,6,114916782,251,20,288,0,0.0009072518348693936,nearest_threshold_2,xgboost,XGBoost,FN,0.51,2,,XGBOOST_FN_02,0.5090927481651306,0,0.4678331141949172,True
49987,209138,1,Infilteration,0.0717310160398483,0,FN,0.0682715655686743,0,FN,61734,6,31,256,20,0,0,,probability_q10,xgboost,XGBoost,FN,0.51,3,2.013891935340184e-06,XGBOOST_FN_03,0.0717310160398483,0,0.0682715655686743,False
1635,40630,1,Infilteration,0.112633429467678,0,FN,0.1194707284987878,0,FN,3389,6,1659870,8192,20,661,1,,probability_q25,xgboost,XGBoost,FN,0.51,4,4.542805254460769e-05,XGBOOST_FN_04,0.112633429467678,0,0.1194707284987878,False
45034,30236,1,Brute Force -Web,0.1745581030845642,0,FN,0.1362483994118977,0,FN,500,17,89479434,-1,8,500,0,,probability_q50,xgboost,XGBoost,FN,0.51,5,0.0,XGBOOST_FN_05,0.1745581030845642,0,0.1362483994118977,False
3789,43743,1,Infilteration,0.268912672996521,0,FN,0.2575981676762517,0,FN,53,17,313,-1,8,42,0,,probability_q75,xgboost,XGBoost,FN,0.51,6,0.00014822185039520264,XGBOOST_FN_06,0.268912672996521,0,0.2575981676762517,False
19778,102164,1,Infilteration,0.3673757016658783,0,FN,0.3798501134633407,1,TP,443,6,9014785,8192,28,0,1,,probability_q90,xgboost,XGBoost,FN,0.51,7,9.734630584723458e-05,XGBOOST_FN_07,0.3673757016658783,0,0.3798501134633407,True
28639,41368,1,Infilteration,0.0030615869909524,0,FN,0.0034202452541393,0,FN,49697,6,98,260,20,0,0,,maximum_prediction_confidence,xgboost,XGBoost,FN,0.51,8,,XGBOOST_FN_08,0.0030615869909524,0,0.0034202452541393,False
