disagreement_case_id,model,model_display,y_true,attack_category,model_probability,model_prediction,model_outcome,replicates,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,local_r2_standard_deviation,mean_fidelity_gap,median_fidelity_gap,maximum_fidelity_gap,fidelity_gap_standard_deviation,local_prediction_standard_deviation,pairwise_comparisons,mean_top5_jaccard,minimum_top5_jaccard,mean_top10_jaccard,minimum_top10_jaccard,mean_top15_jaccard,minimum_top15_jaccard,mean_weight_cosine,minimum_weight_cosine,mean_shared_sign_agreement,minimum_shared_sign_agreement,mean_absolute_weight_spearman,high_stability_pair_rate,moderate_or_high_pair_rate,total_unique_selected_features,features_selected_in_all_seeds,features_selected_in_at_least_four_seeds,operational_case_stability_class
DISAGREE_01,lightgbm,LightGBM,0,Benign,0.27170970779733533,1,FP,5,1.0,0.37766422512999653,0.3764921718881592,0.3738899482618413,0.0033215715081670294,0.30343561225194815,0.30335242004434965,0.3054364198031037,0.001555822800659399,0.0015558228006594178,10,0.6761904761904762,0.42857142857142855,0.6864801864801865,0.5384615384615384,0.6609907120743034,0.5789473684210527,0.9940229580557156,0.9900790099066236,0.9331002331002332,0.8333333333333334,0.7884057196311639,0.3,1.0,22,10,11,Moderate
DISAGREE_01,xgboost,XGBoost,0,Benign,0.47803428769111633,0,TN,5,1.0,0.31547767135931665,0.3106298946865562,0.30202591771693943,0.018059025887207487,0.08064943149268675,0.08135391341000914,0.08288598409883058,0.0024721443934767563,0.0024721443934767797,10,0.7333333333333333,0.6666666666666666,0.5792540792540792,0.5384615384615384,0.6687306501547987,0.5789473684210527,0.958611646578942,0.9451699961805028,0.9184731934731933,0.6923076923076923,0.7634157423493251,0.1,1.0,20,9,11,Moderate
DISAGREE_02,lightgbm,LightGBM,0,Benign,0.26787340135836474,1,FP,5,1.0,0.2952903535595615,0.2966157975210506,0.28379590190983295,0.0077917046480404355,0.08484888269302895,0.08465413644286696,0.08664251008313067,0.001068541820327513,0.0010685418203274992,10,0.8,0.6666666666666666,0.7878787878787878,0.6666666666666666,0.6159442724458204,0.5,0.9927807014961841,0.9901173821405326,0.9308275058275057,0.8181818181818182,0.7658158492583188,0.8,1.0,23,9,10,High
DISAGREE_02,xgboost,XGBoost,0,Benign,0.46210363507270813,0,TN,5,1.0,0.1392642109730262,0.1404682422844148,0.13269075885831916,0.006260135470430362,0.1277121667299288,0.12842155968118912,0.12950225070745197,0.001962189002328991,0.001962189002328992,10,0.8666666666666666,0.6666666666666666,0.7575757575757576,0.6666666666666666,0.7879901960784313,0.6666666666666666,0.9859051524090529,0.9764748107856469,1.0,1.0,0.8895416276894293,0.6,1.0,19,12,13,High
DISAGREE_03,lightgbm,LightGBM,0,Benign,0.2629219762567261,1,FP,5,1.0,0.2830323146165786,0.2817732872965286,0.2776809832071566,0.005046674578378989,0.21392501441503137,0.21382604282330697,0.21630572599247855,0.002010793839709592,0.002010793839709592,10,0.8,0.6666666666666666,0.8212121212121213,0.6666666666666666,0.7990196078431373,0.6666666666666666,0.9831182693145472,0.9685278222707717,0.9923076923076923,0.9230769230769231,0.8854951222771614,0.9,1.0,18,11,14,High
DISAGREE_03,xgboost,XGBoost,0,Benign,0.4528842270374298,0,TN,5,1.0,0.16681390625363346,0.17076606829130725,0.15516499442359633,0.007475019713006206,0.007084582143127571,0.007990898525873091,0.008599695283068032,0.001869256562109364,0.001869256562109357,10,1.0,1.0,0.8727272727272728,0.8181818181818182,0.8779411764705882,0.7647058823529411,0.9787544847559726,0.9559382378216125,0.9713553113553115,0.9230769230769231,0.9334010423626887,1.0,1.0,17,13,14,High
DISAGREE_04,lightgbm,LightGBM,0,Benign,0.8066140522374621,1,FP,5,1.0,0.4592736862615333,0.45975946330050366,0.45403469800015916,0.004026475063583739,0.37933954242366164,0.37860133528182593,0.3822963052897443,0.0020324265955574267,0.0020324265955574267,10,1.0,1.0,0.6561771561771561,0.5384615384615384,0.6168214654282765,0.5,0.995374534789945,0.9930468717672163,0.9916666666666666,0.9166666666666666,0.7582413470533208,0.1,1.0,22,8,11,Moderate
DISAGREE_04,xgboost,XGBoost,0,Benign,0.06418690830469131,0,TN,5,1.0,0.23347447112640615,0.23754296726872182,0.22135256832258698,0.008326386406491096,0.2949424020098429,0.29457541975450086,0.29654407614338213,0.00110935271876569,0.00110935271876569,10,0.7666666666666666,0.6666666666666666,0.7629370629370629,0.5384615384615384,0.7265221878224974,0.5789473684210527,0.964964859290089,0.9208116578706463,1.0,1.0,0.840705599358546,0.6,1.0,20,10,13,High
DISAGREE_05,lightgbm,LightGBM,0,Benign,0.0884499601482781,0,TN,5,1.0,0.13979866750540434,0.14126870958390036,0.13587344133551915,0.00291115637768384,0.0018781074886688731,0.0020976600426885483,0.0030459560271785813,0.0010109938317164125,0.001010993831716415,10,0.7333333333333333,0.6666666666666666,0.7447552447552448,0.5384615384615384,0.7277476780185758,0.5789473684210527,0.9650632064245184,0.9442924095455815,0.9228021978021979,0.7857142857142857,0.8276520112254444,0.6,1.0,20,10,13,Moderate
DISAGREE_05,xgboost,XGBoost,0,Benign,0.6096335053443909,1,FP,5,0.0,0.0751008654977389,0.07249712271662279,0.05415461416949252,0.014579356075329529,0.41550168981551144,0.4152169657079193,0.41672917262683595,0.0011321380350973658,0.001132138035097375,10,0.5059523809523809,0.25,0.7198135198135198,0.5384615384615384,0.7867647058823529,0.7647058823529411,0.8550938549866081,0.7554588665744648,1.0,1.0,0.8551650407590538,0.4,1.0,18,10,15,Moderate
