disagreement_case_id,model,model_display,feature_index,feature_name,selection_count,mean_weight,mean_absolute_weight,weight_standard_deviation,positive_count,negative_count,mean_rank,selection_frequency,stable_in_at_least_four_seeds
DISAGREE_01,lightgbm,LightGBM,66,Init Fwd Win Byts,5,-0.166333048335678,0.166333048335678,0.0022838971964373434,0,5,1.0,1.0,True
DISAGREE_01,lightgbm,LightGBM,7,Fwd Pkt Len Max,5,-0.04813765128460092,0.04813765128460092,0.003984785727276097,0,5,2.0,1.0,True
DISAGREE_01,lightgbm,LightGBM,20,Flow IAT Min,5,0.022825185258378112,0.022825185258378112,0.0009480221442044722,5,0,3.0,1.0,True
DISAGREE_01,lightgbm,LightGBM,40,Pkt Len Max,5,0.019752473443848548,0.019752473443848548,0.001955318915678275,5,0,4.6,1.0,True
DISAGREE_01,lightgbm,LightGBM,37,Fwd Pkts/s,5,0.01882661248775955,0.01882661248775955,0.0025762820824803607,5,0,5.4,1.0,True
DISAGREE_01,lightgbm,LightGBM,25,Fwd IAT Min,5,-0.018707343082503762,0.018707343082503762,0.0017518759605690292,0,5,5.6,1.0,True
DISAGREE_01,lightgbm,LightGBM,0,Dst Port,5,0.016407560693231894,0.016407560693231894,0.0024384380534671676,5,0,6.4,1.0,True
DISAGREE_01,lightgbm,LightGBM,42,Pkt Len Std,5,0.004818856064383332,0.004818856064383332,0.0018179630152797902,5,0,10.0,1.0,True
DISAGREE_01,lightgbm,LightGBM,11,Bwd Pkt Len Max,5,0.0046342479830274634,0.0046342479830274634,0.0024540040423192953,5,0,10.4,1.0,True
DISAGREE_01,lightgbm,LightGBM,55,Bwd Seg Size Avg,5,0.0004790274953619289,0.002772727931066514,0.0034208000964737334,3,2,12.0,1.0,True
DISAGREE_01,lightgbm,LightGBM,13,Bwd Pkt Len Mean,4,-0.0008614903506612791,0.0008614903506612791,0.0003322455284804499,0,4,13.75,0.8,True
DISAGREE_01,lightgbm,LightGBM,14,Bwd Pkt Len Std,3,0.002627773052358458,0.002627773052358458,0.001936430635778013,3,0,12.333333333333334,0.6,False
DISAGREE_01,lightgbm,LightGBM,43,Pkt Len Var,3,0.0017199867333203703,0.0017199867333203703,0.0013704335154457918,3,0,14.0,0.6,False
DISAGREE_01,lightgbm,LightGBM,51,ECE Flag Cnt,3,0.0013745881126942465,0.0014056182029840985,0.0016746326498134636,2,1,12.333333333333334,0.6,False
DISAGREE_01,lightgbm,LightGBM,2,Flow Duration,2,-0.015597414493565139,0.015597414493565139,0.0013878117640675088,0,2,8.0,0.4,False
DISAGREE_01,lightgbm,LightGBM,48,ACK Flag Cnt,2,-0.006946337559540117,0.006946337559540117,0.0024436662164256883,0,2,8.0,0.4,False
DISAGREE_01,lightgbm,LightGBM,46,RST Flag Cnt,2,0.002250955656925937,0.002250955656925937,9.100869908230093e-05,2,0,13.5,0.4,False
DISAGREE_01,lightgbm,LightGBM,53,Pkt Size Avg,2,-0.0013693811211393004,0.0013693811211393004,0.0014729505286461531,0,2,13.5,0.4,False
DISAGREE_01,lightgbm,LightGBM,39,Pkt Len Min,1,0.009507658538856635,0.009507658538856635,,1,0,9.0,0.2,False
DISAGREE_01,lightgbm,LightGBM,52,Down/Up Ratio,1,-0.006609378628093652,0.006609378628093652,,0,1,9.0,0.2,False
DISAGREE_01,lightgbm,LightGBM,41,Pkt Len Mean,1,-0.003679279368788126,0.003679279368788126,,0,1,11.0,0.2,False
DISAGREE_01,lightgbm,LightGBM,47,PSH Flag Cnt,1,-0.002707505744471433,0.002707505744471433,,0,1,12.0,0.2,False
DISAGREE_01,xgboost,XGBoost,46,RST Flag Cnt,5,0.10076873741133549,0.10076873741133549,0.002891915140816158,5,0,1.0,1.0,True
DISAGREE_01,xgboost,XGBoost,66,Init Fwd Win Byts,5,-0.09313847172149566,0.09313847172149566,0.0014564884555292503,0,5,2.0,1.0,True
DISAGREE_01,xgboost,XGBoost,51,ECE Flag Cnt,5,0.03148376205723581,0.03148376205723581,0.001166382150354668,5,0,3.4,1.0,True
DISAGREE_01,xgboost,XGBoost,11,Bwd Pkt Len Max,5,-0.02642931940930382,0.02642931940930382,0.0017606549101908066,0,5,4.4,1.0,True
DISAGREE_01,xgboost,XGBoost,0,Dst Port,5,0.019802538045058684,0.019802538045058684,0.0019939481817847996,5,0,6.4,1.0,True
DISAGREE_01,xgboost,XGBoost,42,Pkt Len Std,5,0.007445621329753566,0.007445621329753566,0.002339297196597923,5,0,9.0,1.0,True
DISAGREE_01,xgboost,XGBoost,14,Bwd Pkt Len Std,5,0.005291851480424645,0.005291851480424645,0.002462703353624331,5,0,10.6,1.0,True
DISAGREE_01,xgboost,XGBoost,41,Pkt Len Mean,5,-0.0025975499756779696,0.0025975499756779696,0.0010040713234132077,0,5,12.8,1.0,True
DISAGREE_01,xgboost,XGBoost,13,Bwd Pkt Len Mean,5,0.0020046429999038117,0.002167826676549787,0.001586337566410661,4,1,13.8,1.0,True
DISAGREE_01,xgboost,XGBoost,40,Pkt Len Max,4,-0.003588937804910929,0.003588937804910929,0.0010661192753003575,0,4,11.75,0.8,True
DISAGREE_01,xgboost,XGBoost,43,Pkt Len Var,4,0.002009959034371008,0.002596578407165158,0.0023079128943524077,3,1,12.75,0.8,True
DISAGREE_01,xgboost,XGBoost,7,Fwd Pkt Len Max,3,-0.022227539083874568,0.022227539083874568,0.0010541990315838677,0,3,5.333333333333333,0.6,False
DISAGREE_01,xgboost,XGBoost,20,Flow IAT Min,3,0.020405501747417145,0.020405501747417145,0.0006178646434403908,3,0,7.0,0.6,False
DISAGREE_01,xgboost,XGBoost,23,Fwd IAT Std,3,0.015945784852378218,0.015945784852378218,0.004066283521951308,3,0,7.666666666666667,0.6,False
DISAGREE_01,xgboost,XGBoost,47,PSH Flag Cnt,3,0.0038823467451190564,0.0038823467451190564,0.0011068208360256418,3,0,11.0,0.6,False
DISAGREE_01,xgboost,XGBoost,55,Bwd Seg Size Avg,3,-0.0027241462868084973,0.002741996813958023,0.0030924351048585287,1,2,12.333333333333334,0.6,False
DISAGREE_01,xgboost,XGBoost,30,Bwd IAT Min,2,0.03677825591137472,0.03677825591137472,0.003335199929627445,2,0,3.0,0.4,False
DISAGREE_01,xgboost,XGBoost,69,Fwd Seg Size Min,2,0.017869534284844932,0.017869534284844932,0.0002849122440536804,2,0,7.5,0.4,False
DISAGREE_01,xgboost,XGBoost,53,Pkt Size Avg,2,-0.0006247387746056717,0.0018686307243095477,0.0026426429133856225,1,1,13.0,0.4,False
DISAGREE_01,xgboost,XGBoost,38,Bwd Pkts/s,1,0.012192560462850367,0.012192560462850367,,1,0,8.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,66,Init Fwd Win Byts,5,-0.08286650823421841,0.08286650823421841,0.0011242228698870225,0,5,1.0,1.0,True
DISAGREE_02,lightgbm,LightGBM,7,Fwd Pkt Len Max,5,-0.06574006946910926,0.06574006946910926,0.0023025744040159157,0,5,2.0,1.0,True
DISAGREE_02,lightgbm,LightGBM,37,Fwd Pkts/s,5,0.038190742275424745,0.038190742275424745,0.0017166928069504888,5,0,3.0,1.0,True
DISAGREE_02,lightgbm,LightGBM,51,ECE Flag Cnt,5,0.03148742674684275,0.03148742674684275,0.0017748660568828825,5,0,4.0,1.0,True
DISAGREE_02,lightgbm,LightGBM,0,Dst Port,5,0.02236187889116482,0.02236187889116482,0.0009509532776499018,5,0,5.4,1.0,True
DISAGREE_02,lightgbm,LightGBM,24,Fwd IAT Max,5,-0.020915083526502853,0.020915083526502853,0.002141565958445498,0,5,5.8,1.0,True
DISAGREE_02,lightgbm,LightGBM,76,Idle Max,5,-0.018807302180101487,0.018807302180101487,0.0018187955349157389,0,5,7.2,1.0,True
DISAGREE_02,lightgbm,LightGBM,46,RST Flag Cnt,5,0.017279555965731448,0.017279555965731448,0.0025264668698662036,5,0,7.6,1.0,True
DISAGREE_02,lightgbm,LightGBM,23,Fwd IAT Std,5,0.007579732793317129,0.007579732793317129,0.0016535080618923614,5,0,9.6,1.0,True
DISAGREE_02,lightgbm,LightGBM,75,Idle Std,4,-0.00016867134815197737,0.0019593473902068917,0.0022749544429229445,2,2,14.0,0.8,True
DISAGREE_02,lightgbm,LightGBM,73,Active Min,3,-0.0077766173573102435,0.0077766173573102435,0.0019482998483472847,0,3,10.0,0.6,False
DISAGREE_02,lightgbm,LightGBM,74,Idle Mean,3,-0.00685951256820102,0.00685951256820102,0.0007388215549375445,0,3,10.333333333333334,0.6,False
DISAGREE_02,lightgbm,LightGBM,54,Fwd Seg Size Avg,3,0.00033307341898315847,0.0024768914289628463,0.003266522488346866,2,1,13.0,0.6,False
DISAGREE_02,lightgbm,LightGBM,53,Pkt Size Avg,3,-0.00162407100830671,0.00162407100830671,0.0003301893728607691,0,3,13.666666666666666,0.6,False
DISAGREE_02,lightgbm,LightGBM,39,Pkt Len Min,3,-1.785281305745707e-05,0.0007765999214126854,0.0010257312020489355,2,1,15.0,0.6,False
DISAGREE_02,lightgbm,LightGBM,22,Fwd IAT Mean,2,-0.006180821263728655,0.006180821263728655,0.0006958856096374472,0,2,10.5,0.4,False
DISAGREE_02,lightgbm,LightGBM,21,Fwd IAT Tot,2,-0.003787182195387871,0.003787182195387871,0.00029536870835184594,0,2,11.5,0.4,False
DISAGREE_02,lightgbm,LightGBM,8,Fwd Pkt Len Min,2,-0.0019115218745816816,0.0019115218745816816,0.0009765648287657772,0,2,13.5,0.4,False
DISAGREE_02,lightgbm,LightGBM,70,Active Mean,1,0.006271197391354975,0.006271197391354975,,1,0,10.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,17,Flow IAT Mean,1,-0.005005156706065636,0.005005156706065636,,0,1,12.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,19,Flow IAT Max,1,-0.0046543493393728964,0.0046543493393728964,,0,1,11.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,41,Pkt Len Mean,1,0.0033322251867036134,0.0033322251867036134,,1,0,13.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,9,Fwd Pkt Len Mean,1,-0.0023887101679021393,0.0023887101679021393,,0,1,13.0,0.2,False
DISAGREE_02,xgboost,XGBoost,66,Init Fwd Win Byts,5,-0.04822185542764229,0.04822185542764229,0.002489696178429442,0,5,1.0,1.0,True
DISAGREE_02,xgboost,XGBoost,0,Dst Port,5,0.03557118711612323,0.03557118711612323,0.0008878608640126989,5,0,2.0,1.0,True
