disagreement_case_id,model,model_display,first_replicate,second_replicate,top5_jaccard,top10_jaccard,top15_jaccard,weight_cosine_similarity,shared_feature_count,shared_sign_agreement,absolute_weight_spearman,spearman_p_value,operational_stability_class
DISAGREE_01,lightgbm,LightGBM,1,2,0.42857142857142855,0.5384615384615384,0.5789473684210527,0.9900790099066236,11,1.0,0.7276493385006013,4.482886540135844e-14,Moderate
DISAGREE_01,lightgbm,LightGBM,1,3,0.6666666666666666,0.5384615384615384,0.7647058823529411,0.991874610500399,13,1.0,0.8458372310570625,1.9462581154798884e-22,Moderate
DISAGREE_01,lightgbm,LightGBM,1,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9924946129384192,12,0.8333333333333334,0.7917412802351996,6.1609696235486186e-18,Moderate
DISAGREE_01,lightgbm,LightGBM,1,5,0.6666666666666666,0.8181818181818182,0.5789473684210527,0.9956304573232113,11,0.9090909090909091,0.7456100494454094,4.855612082740505e-15,High
DISAGREE_01,lightgbm,LightGBM,2,3,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9965181339717114,13,1.0,0.8694106641721234,5.602366279471194e-25,High
DISAGREE_01,lightgbm,LightGBM,2,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9950993982068522,12,0.9166666666666666,0.7981558198583455,2.1328203676932496e-18,Moderate
DISAGREE_01,lightgbm,LightGBM,2,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9932317881948913,12,0.9166666666666666,0.7907256447948683,7.262969692766169e-18,Moderate
DISAGREE_01,lightgbm,LightGBM,3,4,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.9969757355848521,13,0.8461538461538461,0.8588801282907924,8.711978375239508e-24,Moderate
DISAGREE_01,lightgbm,LightGBM,3,5,0.6666666666666666,0.6666666666666666,0.5789473684210527,0.9940792312913198,11,0.9090909090909091,0.7230522517706802,7.699254064837585e-14,Moderate
DISAGREE_01,lightgbm,LightGBM,4,5,1.0,0.8181818181818182,0.5789473684210527,0.9942466026388763,11,1.0,0.7329947881865562,2.3570927812999514e-14,High
DISAGREE_01,xgboost,XGBoost,1,2,1.0,0.8181818181818182,0.6666666666666666,0.9816015419986892,12,1.0,0.7867700120272617,1.366900276888469e-17,High
DISAGREE_01,xgboost,XGBoost,1,3,0.6666666666666666,0.5384615384615384,0.5789473684210527,0.9461685150513846,11,1.0,0.6878257383402379,3.4847007839618835e-12,Moderate
DISAGREE_01,xgboost,XGBoost,1,4,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.9518156012867276,12,0.9166666666666666,0.7622878524655887,5.187169874986686e-16,Moderate
DISAGREE_01,xgboost,XGBoost,1,5,0.6666666666666666,0.5384615384615384,0.5789473684210527,0.9451699961805028,11,0.9090909090909091,0.6902846451957769,2.717776694538027e-12,Moderate
DISAGREE_01,xgboost,XGBoost,2,3,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.9593461262599973,13,1.0,0.834077241747962,2.5280823375621235e-21,Moderate
DISAGREE_01,xgboost,XGBoost,2,4,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.9469658543995499,12,0.9166666666666666,0.7657089402645997,3.2050793147365423e-16,Moderate
DISAGREE_01,xgboost,XGBoost,2,5,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.9456835519947923,12,0.9166666666666666,0.7556060403581452,1.2983296375601877e-15,Moderate
DISAGREE_01,xgboost,XGBoost,3,4,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.9663693890140114,12,0.9166666666666666,0.7587064011759989,8.513417712386585e-16,Moderate
DISAGREE_01,xgboost,XGBoost,3,5,1.0,0.5384615384615384,0.6666666666666666,0.9765088879435618,12,0.9166666666666666,0.7667245757049311,2.7738401695139176e-16,Moderate
