disagreement_case_id,replicate_index,explanation_seed,model,model_display,y_true,attack_category,rank,feature_index,feature_name,weight,absolute_weight,raw_feature_value
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.1679034022621688,0.1679034022621688,8192.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.04393630183061756,0.04393630183061756,194.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,3,20,Flow IAT Min,0.022044155979594294,0.022044155979594294,1.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,4,0,Dst Port,0.02047653258403634,0.02047653258403634,443.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,5,40,Pkt Len Max,0.019643643635309318,0.019643643635309318,1460.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,6,25,Fwd IAT Min,-0.01926004390442999,0.01926004390442999,30.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,7,37,Fwd Pkts/s,0.019066536928797038,0.019066536928797038,1.5048657325
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,8,2,Flow Duration,-0.01657874560294774,0.01657874560294774,5980600.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,9,39,Pkt Len Min,0.009507658538856635,0.009507658538856635,0.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,10,11,Bwd Pkt Len Max,0.00647807908177892,0.00647807908177892,1460.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,11,51,ECE Flag Cnt,0.0032207954062127672,0.0032207954062127672,1.0
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,12,55,Bwd Seg Size Avg,0.0021971809701050596,0.0021971809701050596,790.1428571429
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,13,42,Pkt Len Std,0.001979190214017189,0.001979190214017189,565.5401179404
