disagreement_case_id,model,model_display,y_true,attack_category,model_probability,model_prediction,model_outcome,replicates,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,local_r2_standard_deviation,mean_fidelity_gap,median_fidelity_gap,maximum_fidelity_gap,fidelity_gap_standard_deviation,local_prediction_standard_deviation,pairwise_comparisons,mean_top5_jaccard,minimum_top5_jaccard,mean_top10_jaccard,minimum_top10_jaccard,mean_top15_jaccard,minimum_top15_jaccard,mean_weight_cosine,minimum_weight_cosine,mean_shared_sign_agreement,minimum_shared_sign_agreement,mean_absolute_weight_spearman,high_stability_pair_rate,moderate_or_high_pair_rate,total_unique_selected_features,features_selected_in_all_seeds,features_selected_in_at_least_four_seeds,operational_case_stability_class,top5_jaccard,top10_jaccard,top15_jaccard,absolute_attribution_cosine,signed_attribution_cosine,absolute_attribution_spearman,signed_attribution_spearman,sign_agreement_on_lime_selected_features,sign_agreement_on_shared_top10,operational_reliability_label
DISAGREE_01,lightgbm,LightGBM,0,Benign,0.2717097077973353,1,FP,5,1.0,0.3776642251299965,0.3764921718881592,0.3738899482618413,0.003321571508167,0.3034356122519481,0.3033524200443496,0.3054364198031037,0.0015558228006593,0.0015558228006594,10,0.6761904761904762,0.4285714285714285,0.6864801864801865,0.5384615384615384,0.6609907120743034,0.5789473684210527,0.9940229580557156,0.9900790099066236,0.9331002331002332,0.8333333333333334,0.7884057196311639,0.3,1.0,22,10,11,Moderate,0.1111111111111111,0.3333333333333333,0.25,0.2591773631626755,-0.02247521755718557,0.41715436954091484,-0.17339433803520515,0.36363636363636365,0.2,Stable but fidelity-limited
DISAGREE_01,xgboost,XGBoost,0,Benign,0.4780342876911163,0,TN,5,1.0,0.3154776713593166,0.3106298946865562,0.3020259177169394,0.0180590258872074,0.0806494314926867,0.0813539134100091,0.0828859840988305,0.0024721443934767,0.0024721443934767,10,0.7333333333333333,0.6666666666666666,0.5792540792540792,0.5384615384615384,0.6687306501547987,0.5789473684210527,0.958611646578942,0.9451699961805028,0.9184731934731932,0.6923076923076923,0.7634157423493251,0.1,1.0,20,9,11,Moderate,0.6666666666666666,0.42857142857142855,0.36363636363636365,0.7084734512488707,0.5015521984571532,0.488099572360742,-0.11949353001303925,0.4,0.5,Qualified supplementary explanation
DISAGREE_02,lightgbm,LightGBM,0,Benign,0.2678734013583647,1,FP,5,1.0,0.2952903535595615,0.2966157975210506,0.2837959019098329,0.0077917046480404,0.0848488826930289,0.0846541364428669,0.0866425100831306,0.0010685418203275,0.0010685418203274,10,0.8,0.6666666666666666,0.7878787878787878,0.6666666666666666,0.6159442724458204,0.5,0.992780701496184,0.9901173821405326,0.9308275058275056,0.8181818181818182,0.7658158492583188,0.8,1.0,23,9,10,High,0.25,0.3333333333333333,0.25,0.5477655863519493,0.06467017888334546,0.45821152557181366,-0.029734819440795417,0.4782608695652174,0.4,Stable but fidelity-limited
DISAGREE_02,xgboost,XGBoost,0,Benign,0.4621036350727081,0,TN,5,1.0,0.1392642109730262,0.1404682422844148,0.1326907588583191,0.0062601354704303,0.1277121667299288,0.1284215596811891,0.1295022507074519,0.0019621890023289,0.0019621890023289,10,0.8666666666666666,0.6666666666666666,0.7575757575757576,0.6666666666666666,0.7879901960784313,0.6666666666666666,0.9859051524090529,0.9764748107856468,1.0,1.0,0.8895416276894293,0.6,1.0,19,12,13,High,0.25,0.17647058823529413,0.30434782608695654,0.6072334857749303,-0.20321200309021975,0.3979676543564331,0.04229193945599081,0.5789473684210527,0.3333333333333333,Stable but fidelity-limited
DISAGREE_03,lightgbm,LightGBM,0,Benign,0.2629219762567261,1,FP,5,1.0,0.2830323146165786,0.2817732872965286,0.2776809832071566,0.0050466745783789,0.2139250144150313,0.2138260428233069,0.2163057259924785,0.0020107938397095,0.0020107938397095,10,0.8,0.6666666666666666,0.8212121212121213,0.6666666666666666,0.7990196078431373,0.6666666666666666,0.9831182693145472,0.9685278222707716,0.9923076923076924,0.9230769230769232,0.8854951222771614,0.9,1.0,18,11,14,High,0.1111111111111111,0.25,0.36363636363636365,0.7598672961295843,0.4130777040059513,0.4210517564317593,-0.0844161397428097,0.4444444444444444,0.25,Stable but fidelity-limited
DISAGREE_03,xgboost,XGBoost,0,Benign,0.4528842270374298,0,TN,5,1.0,0.1668139062536334,0.1707660682913072,0.1551649944235963,0.0074750197130062,0.0070845821431275,0.007990898525873,0.008599695283068,0.0018692565621093,0.0018692565621093,10,1.0,1.0,0.8727272727272728,0.8181818181818182,0.8779411764705882,0.7647058823529411,0.9787544847559726,0.9559382378216124,0.9713553113553116,0.9230769230769232,0.9334010423626888,1.0,1.0,17,13,14,High,0.1111111111111111,0.25,0.36363636363636365,0.5970224514378865,0.4348460066706471,0.32799624718369885,0.14059985490354057,0.5882352941176471,1.0,Stable but fidelity-limited
DISAGREE_04,lightgbm,LightGBM,0,Benign,0.8066140522374621,1,FP,5,1.0,0.4592736862615333,0.4597594633005036,0.4540346980001591,0.0040264750635837,0.3793395424236616,0.3786013352818259,0.3822963052897443,0.0020324265955574,0.0020324265955574,10,1.0,1.0,0.6561771561771561,0.5384615384615384,0.6168214654282765,0.5,0.995374534789945,0.9930468717672164,0.9916666666666666,0.9166666666666666,0.7582413470533208,0.1,1.0,22,8,11,Moderate,0.42857142857142855,0.3333333333333333,0.30434782608695654,0.9309551395124558,0.003664934267043122,0.5636910856803063,-0.2729780619766898,0.2727272727272727,0.4,Stable but fidelity-limited
DISAGREE_04,xgboost,XGBoost,0,Benign,0.0641869083046913,0,TN,5,1.0,0.2334744711264061,0.2375429672687218,0.2213525683225869,0.008326386406491,0.2949424020098429,0.2945754197545008,0.2965440761433821,0.0011093527187656,0.0011093527187656,10,0.7666666666666666,0.6666666666666666,0.7629370629370629,0.5384615384615384,0.7265221878224974,0.5789473684210527,0.964964859290089,0.9208116578706464,1.0,1.0,0.840705599358546,0.6,1.0,20,10,13,High,0.42857142857142855,0.42857142857142855,0.36363636363636365,0.819463065053516,0.265065711183831,0.46596869777096844,-0.2266518184514507,0.3,0.3333333333333333,Stable but fidelity-limited
DISAGREE_05,lightgbm,LightGBM,0,Benign,0.0884499601482781,0,TN,5,1.0,0.1397986675054043,0.1412687095839003,0.1358734413355191,0.0029111563776838,0.0018781074886688,0.0020976600426885,0.0030459560271785,0.0010109938317164,0.0010109938317164,10,0.7333333333333333,0.6666666666666666,0.7447552447552448,0.5384615384615384,0.7277476780185758,0.5789473684210527,0.9650632064245184,0.9442924095455816,0.922802197802198,0.7857142857142857,0.8276520112254444,0.6,1.0,20,10,13,Moderate,0.25,0.3333333333333333,0.25,0.33500025142639156,-0.29628352487309606,0.48406531624987176,-0.20692163322672996,0.4,0.2,Stable but fidelity-limited
DISAGREE_05,xgboost,XGBoost,0,Benign,0.6096335053443909,1,FP,5,0.0,0.0751008654977389,0.0724971227166227,0.0541546141694925,0.0145793560753295,0.4155016898155114,0.4152169657079193,0.4167291726268359,0.0011321380350973,0.0011321380350973,10,0.5059523809523809,0.25,0.7198135198135198,0.5384615384615384,0.7867647058823529,0.7647058823529411,0.8550938549866081,0.7554588665744648,1.0,1.0,0.8551650407590538,0.4,1.0,18,10,15,Moderate,0.0,0.17647058823529413,0.36363636363636365,0.27164887366539814,-0.026357963022184915,0.3962356083398386,-0.10344780463493364,0.3888888888888889,0.6666666666666666,Stable but fidelity-limited
