shared_case_id,holdout_position,original_row_index,y_true,expected_xgboost_probability,wrapped_xgboost_probability,xgboost_absolute_difference,expected_lightgbm_probability,wrapped_lightgbm_probability,lightgbm_absolute_difference
SHARED_001,5,136010,1,0.9998605251312256,0.9998605251312256,0.0,0.999762365904194,0.999762365904194,0.0
SHARED_002,23,86492,1,0.9998977184295654,0.9998977184295654,0.0,0.9997706651919208,0.9997706651919207,1.1102230246251565e-16
SHARED_003,61,10591,1,0.9998977184295654,0.9998977184295654,0.0,0.9997706651919208,0.9997706651919207,1.1102230246251565e-16
SHARED_004,75,154068,0,0.0005707077798433,0.0005707077798433602,6.01732205729455e-17,0.0007664539658337,0.0007664539658337372,3.71881345162528e-17
SHARED_005,660,232270,1,0.9961434602737428,0.9961434602737427,1.1102230246251565e-16,0.9948173519623223,0.9948173519623223,0.0
SHARED_006,689,253796,0,0.333444595336914,0.33344459533691406,5.551115123125783e-17,0.3360960370323611,0.33609603703236113,5.551115123125783e-17
SHARED_007,1635,40630,1,0.112633429467678,0.11263342946767807,6.938893903907228e-17,0.1194707284987878,0.11947072849878784,4.163336342344337e-17
SHARED_008,1664,114376,1,0.2026406377553939,0.20264063775539398,8.326672684688674e-17,0.2597501145207758,0.2597501145207758,0.0
SHARED_009,2099,264177,0,0.3829658031463623,0.3829658031463623,0.0,0.2601544694644417,0.2601544694644417,0.0
SHARED_010,2179,111166,0,2.007195689657237e-05,2.0071956896572374e-05,3.3881317890172014e-21,5.3713588886115685e-05,5.3713588886115685e-05,0.0
SHARED_011,2427,241019,1,0.9993438124656676,0.9993438124656677,1.1102230246251565e-16,0.9991706284076476,0.9991706284076477,1.1102230246251565e-16
SHARED_012,3426,97863,0,0.3043681681156158,0.30436816811561584,5.551115123125783e-17,0.2685311421282992,0.26853114212829926,5.551115123125783e-17
SHARED_013,3789,43743,1,0.268912672996521,0.268912672996521,0.0,0.2575981676762517,0.2575981676762517,0.0
SHARED_014,4276,18690,1,0.3339610397815704,0.33396103978157043,5.551115123125783e-17,0.2235021872798531,0.2235021872798531,0.0
SHARED_015,5299,178057,0,0.097827136516571,0.09782713651657104,4.163336342344337e-17,0.2599766521086586,0.2599766521086586,0.0
SHARED_016,6344,28367,0,0.5056775212287903,0.5056775212287903,0.0,0.4770062973321324,0.4770062973321324,0.0
SHARED_017,8430,156736,0,0.6459057331085205,0.6459057331085205,0.0,0.5474129756395277,0.5474129756395277,0.0
SHARED_018,8579,63036,1,0.0958920866250991,0.09589208662509918,8.326672684688674e-17,0.0695275667024559,0.06952756670245595,5.551115123125783e-17
SHARED_019,9326,231804,0,0.5609647631645203,0.5609647631645203,0.0,0.6248177377987835,0.6248177377987835,0.0
SHARED_020,10387,121492,1,0.999818742275238,0.999818742275238,0.0,0.9998417303876846,0.9998417303876846,0.0
