disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,model_probability,model_threshold,model_outcome,top5_overlap,top5_jaccard,top10_overlap,top10_jaccard,top15_overlap,top15_jaccard,absolute_attribution_cosine,signed_attribution_cosine,absolute_attribution_spearman,absolute_spearman_p_value,signed_attribution_spearman,signed_spearman_p_value,sign_agreement_on_lime_selected_features,sign_agreement_on_shared_top10,lime_consensus_nonzero_features,shared_top10_features,shap_top10_features,lime_top10_features
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,0.27170970779733533,0.26,FP,1,0.1111111111111111,5,0.3333333333333333,6,0.25,0.2591773631626755,-0.02247521755718557,0.41715436954091484,0.00014499750178772187,-0.17339433803520515,0.1289694520933279,0.36363636363636365,0.2,22,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Bwd Pkt Len Max"", ""Pkt Len Max"", ""Init Fwd Win Byts""]","[""ECE Flag Cnt"", ""Dst Port"", ""RST Flag Cnt"", ""Fwd Seg Size Min"", ""Fwd Pkt Len Max"", ""Fwd Pkt Len Std"", ""Subflow Bwd Pkts"", ""Pkt Len Max"", ""Bwd Pkt Len Max"", ""Init Fwd Win Byts""]","[""Init Fwd Win Byts"", ""Fwd Pkt Len Max"", ""Flow IAT Min"", ""Pkt Len Max"", ""Fwd Pkts/s"", ""Fwd IAT Min"", ""Dst Port"", ""Flow Duration"", ""Pkt Len Std"", ""Bwd Pkt Len Max""]"
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,0.47803428769111633,0.51,TN,4,0.6666666666666666,6,0.42857142857142855,8,0.36363636363636365,0.7084734512488707,0.5015521984571532,0.488099572360742,5.812435070811004e-06,-0.11949353001303925,0.2973936293266859,0.4,0.5,20,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Bwd Pkt Len Max"", ""Flow IAT Min"", ""RST Flag Cnt"", ""ECE Flag Cnt""]","[""RST Flag Cnt"", ""Bwd Pkt Len Max"", ""Dst Port"", ""ECE Flag Cnt"", ""Tot Bwd Pkts"", ""Fwd Seg Size Min"", ""Pkt Size Avg"", ""Fwd Pkt Len Max"", ""Active Min"", ""Flow IAT Min""]","[""RST Flag Cnt"", ""Init Fwd Win Byts"", ""ECE Flag Cnt"", ""Bwd Pkt Len Max"", ""Dst Port"", ""Bwd IAT Min"", ""Fwd Pkt Len Max"", ""Flow IAT Min"", ""Fwd IAT Std"", ""Pkt Len Std""]"
DISAGREE_02,lightgbm,LightGBM,243405,0,Benign,0.26787340135836474,0.26,FP,2,0.25,5,0.3333333333333333,6,0.25,0.5477655863519493,0.06467017888334546,0.45821152557181366,2.45937645078332e-05,-0.029734819440795417,0.7960765571090552,0.4782608695652174,0.4,23,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Fwd IAT Std"", ""Init Fwd Win Byts"", ""Idle Max""]","[""Dst Port"", ""Fwd Seg Size Min"", ""Init Fwd Win Byts"", ""Fwd IAT Std"", ""Idle Max"", ""Fwd Pkt Len Std"", ""Fwd Pkt Len Max"", ""Bwd Pkt Len Mean"", ""Pkt Len Min"", ""Subflow Fwd Byts""]","[""Init Fwd Win Byts"", ""Fwd Pkt Len Max"", ""Fwd Pkts/s"", ""ECE Flag Cnt"", ""Dst Port"", ""Fwd IAT Max"", ""Idle Max"", ""RST Flag Cnt"", ""Fwd IAT Std"", ""Active Min""]"
DISAGREE_02,xgboost,XGBoost,243405,0,Benign,0.46210363507270813,0.51,TN,2,0.25,3,0.17647058823529413,7,0.30434782608695654,0.6072334857749303,-0.20321200309021975,0.3979676543564331,0.0003082508085508911,0.04229193945599081,0.7131368638886755,0.5789473684210527,0.3333333333333333,19,"[""Dst Port"", ""Init Fwd Win Byts"", ""Idle Std""]","[""Dst Port"", ""Fwd Seg Size Min"", ""Idle Std"", ""Init Fwd Win Byts"", ""Idle Min"", ""Pkt Size Avg"", ""Fwd IAT Min"", ""Pkt Len Min"", ""TotLen Fwd Pkts"", ""Idle Max""]","[""Init Fwd Win Byts"", ""Dst Port"", ""Fwd Pkt Len Max"", ""Idle Mean"", ""Fwd IAT Mean"", ""Fwd IAT Max"", ""Active Max"", ""Fwd IAT Tot"", ""Flow Duration"", ""Idle Std""]"
DISAGREE_03,lightgbm,LightGBM,41236,0,Benign,0.2629219762567261,0.26,FP,1,0.1111111111111111,4,0.25,8,0.36363636363636365,0.7598672961295843,0.4130777040059513,0.4210517564317593,0.00012370496192057502,-0.0844161397428097,0.4624495102066384,0.4444444444444444,0.25,18,"[""Dst Port"", ""Fwd Pkt Len Max"", ""ECE Flag Cnt"", ""Init Fwd Win Byts""]","[""Init Fwd Win Byts"", ""Fwd Seg Size Min"", ""Fwd Header Len"", ""Dst Port"", ""Fwd Pkt Len Std"", ""Fwd Pkt Len Max"", ""ECE Flag Cnt"", ""Bwd Pkt Len Min"", ""Flow IAT Min"", ""Pkt Len Mean""]","[""Init Fwd Win Byts"", ""ECE Flag Cnt"", ""RST Flag Cnt"", ""Fwd Pkt Len Max"", ""Flow IAT Max"", ""Dst Port"", ""Fwd Pkts/s"", ""Pkt Size Avg"", ""Bwd Pkt Len Mean"", ""Pkt Len Std""]"
DISAGREE_03,xgboost,XGBoost,41236,0,Benign,0.4528842270374298,0.51,TN,1,0.1111111111111111,4,0.25,8,0.36363636363636365,0.5970224514378865,0.4348460066706471,0.32799624718369885,0.003372449940569158,0.14059985490354057,0.21951984515978076,0.5882352941176471,1.0,17,"[""Bwd Pkt Len Max"", ""Bwd Pkt Len Min"", ""Pkt Size Avg"", ""Init Fwd Win Byts""]","[""Init Fwd Win Byts"", ""Fwd Header Len"", ""Pkt Len Min"", ""Fwd Seg Size Min"", ""Bwd Pkt Len Min"", ""Pkt Size Avg"", ""Flow IAT Min"", ""Flow Byts/s"", ""RST Flag Cnt"", ""Bwd Pkt Len Max""]","[""Init Fwd Win Byts"", ""Pkt Size Avg"", ""Dst Port"", ""Bwd Pkt Len Max"", ""Flow IAT Std"", ""Fwd IAT Std"", ""Bwd IAT Max"", ""Bwd Pkt Len Min"", ""Fwd Pkt Len Max"", ""Fwd IAT Min""]"
DISAGREE_04,lightgbm,LightGBM,288123,0,Benign,0.8066140522374621,0.26,FP,3,0.42857142857142855,5,0.3333333333333333,7,0.30434782608695654,0.9309551395124558,0.003664934267043122,0.5636910856803063,7.722021718242173e-08,-0.2729780619766898,0.015603068275795313,0.2727272727272727,0.4,22,"[""Dst Port"", ""Fwd Pkt Len Max"", ""Fwd Pkts/s"", ""Init Fwd Win Byts"", ""Fwd Seg Size Min""]","[""Init Fwd Win Byts"", ""Fwd Seg Size Min"", ""Dst Port"", ""Fwd IAT Min"", ""Flow IAT Min"", ""Flow IAT Mean"", ""Fwd Pkts/s"", ""Fwd Pkt Len Max"", ""Bwd Pkt Len Mean"", ""Fwd IAT Max""]","[""Init Fwd Win Byts"", ""Fwd Seg Size Min"", ""Dst Port"", ""Fwd Pkts/s"", ""Flow IAT Max"", ""ECE Flag Cnt"", ""RST Flag Cnt"", ""Fwd Pkt Len Max"", ""Pkt Len Max"", ""Pkt Len Std""]"
DISAGREE_04,xgboost,XGBoost,288123,0,Benign,0.06418690830469131,0.51,TN,3,0.42857142857142855,6,0.42857142857142855,8,0.36363636363636365,0.819463065053516,0.265065711183831,0.46596869777096844,1.7132450917083963e-05,-0.2266518184514507,0.045991991787895765,0.3,0.3333333333333333,20,"[""Dst Port"", ""Flow Pkts/s"", ""Fwd IAT Tot"", ""Bwd Pkts/s"", ""Init Fwd Win Byts"", ""Fwd Seg Size Min""]","[""Fwd Seg Size Min"", ""Dst Port"", ""Init Fwd Win Byts"", ""Fwd IAT Min"", ""Bwd Pkts/s"", ""Flow Duration"", ""Fwd Pkts/s"", ""Fwd IAT Tot"", ""Flow Pkts/s"", ""Bwd Pkt Len Mean""]","[""Fwd Seg Size Min"", ""Init Fwd Win Byts"", ""Dst Port"", ""Flow IAT Std"", ""Flow Pkts/s"", ""PSH Flag Cnt"", ""Bwd Pkts/s"", ""Fwd IAT Tot"", ""Bwd Pkt Len Max"", ""Pkt Size Avg""]"
DISAGREE_05,lightgbm,LightGBM,211974,0,Benign,0.0884499601482781,0.26,TN,2,0.25,5,0.3333333333333333,6,0.25,0.33500025142639156,-0.29628352487309606,0.48406531624987176,7.118407014189718e-06,-0.20692163322672996,0.06910932500157885,0.4,0.2,20,"[""Fwd Pkt Len Std"", ""Fwd IAT Tot"", ""Init Fwd Win Byts"", ""Init Bwd Win Byts"", ""Fwd Seg Size Min""]","[""Dst Port"", ""Init Bwd Win Byts"", ""Fwd Seg Size Min"", ""Fwd Pkt Len Std"", ""Init Fwd Win Byts"", ""TotLen Bwd Pkts"", ""Fwd Pkt Len Max"", ""Fwd IAT Tot"", ""Bwd IAT Std"", ""Fwd IAT Min""]","[""Fwd Seg Size Min"", ""Fwd Pkts/s"", ""Init Fwd Win Byts"", ""Bwd Pkts/s"", ""Pkt Len Var"", ""Flow Pkts/s"", ""Init Bwd Win Byts"", ""Bwd IAT Tot"", ""Fwd Pkt Len Std"", ""Fwd IAT Tot""]"
DISAGREE_05,xgboost,XGBoost,211974,0,Benign,0.6096335053443909,0.51,FP,0,0.0,3,0.17647058823529413,8,0.36363636363636365,0.27164887366539814,-0.026357963022184915,0.3962356083398386,0.00032924046126292376,-0.10344780463493364,0.36743044098408095,0.3888888888888889,0.6666666666666666,18,"[""Bwd Pkt Len Min"", ""Fwd IAT Std"", ""Init Bwd Win Byts""]","[""Dst Port"", ""Init Fwd Win Byts"", ""Fwd IAT Std"", ""Init Bwd Win Byts"", ""Bwd IAT Std"", ""Fwd IAT Min"", ""Tot Bwd Pkts"", ""Fwd Seg Size Min"", ""Bwd Pkt Len Min"", ""Fwd Header Len""]","[""Fwd Pkts/s"", ""Flow IAT Max"", ""Fwd IAT Tot"", ""Flow Duration"", ""Bwd Pkt Len Min"", ""ACK Flag Cnt"", ""Bwd Pkt Len Max"", ""Pkt Size Avg"", ""Fwd IAT Std"", ""Init Bwd Win Byts""]"
