model,metric,reconstructed,expected,difference,matched
XGBoost,threshold,0.51,0.51,0.0,True
XGBoost,accuracy,0.9458844249493238,0.9458844249493238,0.0,True
XGBoost,precision,0.9897505499134179,0.9897505499134179,0.0,True
XGBoost,recall,0.8743901430579675,0.8743901430579675,0.0,True
XGBoost,f1,0.9285008671218141,0.9285008671218141,0.0,True
XGBoost,f2,0.8952595439882822,0.8952595439882822,0.0,True
XGBoost,fpr,0.006083333333333333,0.006083333333333333,0.0,True
XGBoost,fn,3038.0,3038.0,0.0,True
XGBoost,roc_auc,0.9801912194382425,0.9801912125472036,6.891038850653786e-09,False
XGBoost,pr_auc,0.9776433394587084,0.9776433333080397,6.1506687520918035e-09,False
LightGBM,threshold,0.26,0.26,0.0,True
LightGBM,accuracy,0.9347024224902801,0.9347024224902801,0.0,True
LightGBM,precision,0.9290071162317859,0.9290071162317859,0.0,True
LightGBM,recall,0.90680559001075,0.90680559001075,0.0,True
LightGBM,f1,0.9177721052851823,0.9177721052851823,0.0,True
LightGBM,f2,0.9111605955862803,0.9111605955862803,0.0,True
LightGBM,fpr,0.04655555555555556,0.04655555555555556,0.0,True
LightGBM,fn,2254.0,2254.0,0.0,True
LightGBM,roc_auc,0.9802070929463327,0.9802072525887335,-1.5964240085430959e-07,False
LightGBM,pr_auc,0.9776908579885548,0.9776909621341594,-1.0414560458471556e-07,False
