Seed,Model,Objective,Validation-Selected Threshold,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation F2,Validation FPR,Validation FNR,Test Accuracy,Test Precision,Test Recall,Test F1,Test F2,Test FPR,Test FNR,Test TP,Test TN,Test FP,Test FN,Test ROC-AUC,Test PR-AUC,Training Time Seconds
42,XGBoost Tuned,Balanced,0.49,0.9444848283453446,0.9860673895301387,0.8742053852912295,0.9267731419335398,0.8945002644103649,0.00829861111111111,0.12579461470877049,0.9456351975542485,0.9876877156981625,0.8756305300587116,0.9282896467081617,0.8959606044709186,0.007333333333333333,0.12436946994128835,21178,35736,264,3008,0.9802716826538769,0.9777412566663946,14.00487148999855
42,XGBoost Tuned,Security,0.27,0.932521963072961,0.9273731153111064,0.9027856736782263,0.9149142333376981,0.9075983040984288,0.0475,0.09721432632177374,0.9349682650450271,0.9304033970276009,0.905937319110229,0.9180073738897269,0.9107270520557967,0.04552777777777778,0.09406268088977095,21911,34361,1639,2275,0.9802716826538769,0.9777412566663946,14.00487148999855
42,LightGBM Tuned,Balanced,0.45,0.9446302103885854,0.9831450912250217,0.8772546384826089,0.9271863221718468,0.8965677522950316,0.010104166666666666,0.12274536151739109,0.9455188914365467,0.9844293062699847,0.8783180352269908,0.9283513602097673,0.8976699373748132,0.009333333333333334,0.12168196477300917,21243,35664,336,2943,0.9802173089114914,0.977715220233266,5.952988115001062
42,LightGBM Tuned,Security,0.26,0.9326465762528817,0.9272148541114058,0.9033024962530364,0.9151024895939683,0.907985786422293,0.04763888888888889,0.09669750374696366,0.9352839530787891,0.9303499469777307,0.9068469362441082,0.9184481061954314,0.9114520566161621,0.04561111111111111,0.09315306375589184,21933,34358,1642,2253,0.9802173089114914,0.977715220233266,5.952988115001062
52,XGBoost Tuned,Balanced,0.44,0.945294814014829,0.9834557760166599,0.8786500594345961,0.9281035047494268,0.8977852412787934,0.009930555555555555,0.1213499405654039,0.9454690459575317,0.9810382916053019,0.8813363102621351,0.9285185346517402,0.8996218515767439,0.011444444444444445,0.11866368973786488,21316,35588,412,2870,0.9807717802769279,0.9780635468801614,14.591606206000506
52,XGBoost Tuned,Security,0.28,0.9324596564830007,0.9269081843738397,0.9031474494805933,0.9148735668289618,0.9078016394975532,0.04784722222222222,0.0968525505194067,0.9347356528096235,0.9310946544092612,0.9045315471760522,0.9176209051633741,0.9097222222222223,0.04497222222222222,0.09546845282394774,21877,34381,1619,2309,0.9807717802769279,0.9780635468801614,14.591606206000506
52,LightGBM Tuned,Balanced,0.41,0.9444432906187045,0.9799102003223579,0.8797870690991783,0.9271533999618746,0.8981407226067872,0.012118055555555556,0.12021293090082175,0.9455188914365467,0.9798485196235942,0.8825766972628794,0.9286724239194274,0.9004547410338397,0.012194444444444445,0.11742330273712065,21346,35561,439,2840,0.9808519035346436,0.9781787024588429,5.584976840998934
52,LightGBM Tuned,Security,0.27,0.9335604062389665,0.9298871379897785,0.9027339914207453,0.9161094065507567,0.9080370139322104,0.04572916666666667,0.09726600857925474,0.9349848802046987,0.9312486704956392,0.90502770197635,0.9179509760751505,0.9101530989862702,0.04488888888888889,0.09497229802365005,21889,34384,1616,2297,0.9808519035346436,0.9781787024588429,5.584976840998934
62,XGBoost Tuned,Balanced,0.46,0.9463332571808345,0.984565581825539,0.8802522094165073,0.929491377428509,0.8993083056127568,0.009270833333333334,0.11974779058349269,0.9450204366463961,0.9822591822591823,0.8790622674274373,0.9277999607252733,0.8979297063071737,0.010666666666666666,0.12093773257256264,21261,35616,384,2925,0.979791347956118,0.9772886816181012,14.065668569999616
62,XGBoost Tuned,Security,0.28,0.9341003966852894,0.930716796250932,0.9032508139955553,0.9167781362289191,0.908613554598956,0.04517361111111111,0.09674918600444467,0.9341042767420995,0.9290807231983702,0.9051103944430663,0.916938929379241,0.9098049972569948,0.04641666666666667,0.09488960555693376,21891,34329,1671,2295,0.979791347956118,0.9772886816181012,14.065668569999616
