Objective,Seed,Metric,Difference Convention,Difference
Balanced,42,Test Precision,XGBoost minus LightGBM,0.0032584094281777887
Balanced,52,Test Precision,XGBoost minus LightGBM,0.0011897719817076657
Balanced,62,Test Precision,XGBoost minus LightGBM,0.002239846132852885
Balanced,72,Test Precision,XGBoost minus LightGBM,0.007086955638784143
Balanced,82,Test Precision,XGBoost minus LightGBM,0.0014058111210270008
Balanced,42,Test Recall,XGBoost minus LightGBM,-0.002687505168279203
Balanced,52,Test Recall,XGBoost minus LightGBM,-0.0012403870007442475
Balanced,62,Test Recall,XGBoost minus LightGBM,-0.0010750020673117033
Balanced,72,Test Recall,XGBoost minus LightGBM,-0.005292317869841967
Balanced,82,Test Recall,XGBoost minus LightGBM,-0.001323079467460464
Balanced,42,Test F1,XGBoost minus LightGBM,-6.171350160555367e-05
Balanced,52,Test F1,XGBoost minus LightGBM,-0.00015388926768722389
Balanced,62,Test F1,XGBoost minus LightGBM,0.0004032674105283185
Balanced,72,Test F1,XGBoost minus LightGBM,0.0002042607867354107
Balanced,82,Test F1,XGBoost minus LightGBM,-0.00012041555116359959
Balanced,42,Test F2,XGBoost minus LightGBM,-0.0017093329038945226
Balanced,52,Test F2,XGBoost minus LightGBM,-0.000832889457095809
Balanced,62,Test F2,XGBoost minus LightGBM,-0.0005213129812237094
Balanced,72,Test F2,XGBoost minus LightGBM,-0.003238553966801061
Balanced,82,Test F2,XGBoost minus LightGBM,-0.0008755645411535617
Balanced,42,Test FPR,XGBoost minus LightGBM,-0.002000000000000001
Balanced,52,Test FPR,XGBoost minus LightGBM,-0.0007500000000000007
Balanced,62,Test FPR,XGBoost minus LightGBM,-0.0013888888888888892
Balanced,72,Test FPR,XGBoost minus LightGBM,-0.004388888888888888
Balanced,82,Test FPR,XGBoost minus LightGBM,-0.0008611111111111111
Balanced,42,Test FNR,XGBoost minus LightGBM,0.002687505168279175
Balanced,52,Test FNR,XGBoost minus LightGBM,0.0012403870007442336
Balanced,62,Test FNR,XGBoost minus LightGBM,0.0010750020673116756
Balanced,72,Test FNR,XGBoost minus LightGBM,0.005292317869842064
Balanced,82,Test FNR,XGBoost minus LightGBM,0.0013230794674605056
Balanced,42,Test ROC-AUC,XGBoost minus LightGBM,5.437374238548287e-05
Balanced,52,Test ROC-AUC,XGBoost minus LightGBM,-8.012325771566964e-05
Balanced,62,Test ROC-AUC,XGBoost minus LightGBM,0.00039396701029992265
Balanced,72,Test ROC-AUC,XGBoost minus LightGBM,0.00019338092744203284
Balanced,82,Test ROC-AUC,XGBoost minus LightGBM,3.902280474477049e-05
Balanced,42,Test PR-AUC,XGBoost minus LightGBM,2.6036433128595604e-05
Balanced,52,Test PR-AUC,XGBoost minus LightGBM,-0.00011515557868146953
Balanced,62,Test PR-AUC,XGBoost minus LightGBM,0.0003629953045508616
Balanced,72,Test PR-AUC,XGBoost minus LightGBM,0.00012770732088451808
Balanced,82,Test PR-AUC,XGBoost minus LightGBM,4.308736637281818e-05
Balanced,42,Test FP,XGBoost minus LightGBM,-72.0
Balanced,52,Test FP,XGBoost minus LightGBM,-27.0
Balanced,62,Test FP,XGBoost minus LightGBM,-50.0
Balanced,72,Test FP,XGBoost minus LightGBM,-158.0
Balanced,82,Test FP,XGBoost minus LightGBM,-31.0
Balanced,42,Test FN,XGBoost minus LightGBM,65.0
Balanced,52,Test FN,XGBoost minus LightGBM,30.0
Balanced,62,Test FN,XGBoost minus LightGBM,26.0
Balanced,72,Test FN,XGBoost minus LightGBM,128.0
Balanced,82,Test FN,XGBoost minus LightGBM,32.0
Security,42,Test Precision,XGBoost minus LightGBM,5.34500498702295e-05
Security,52,Test Precision,XGBoost minus LightGBM,-0.0001540160863779949
Security,62,Test Precision,XGBoost minus LightGBM,0.0012574756685792554
Security,72,Test Precision,XGBoost minus LightGBM,-0.0058680851326827765
Security,82,Test Precision,XGBoost minus LightGBM,0.002880054184795422
Security,42,Test Recall,XGBoost minus LightGBM,-0.0009096171338791592
Security,52,Test Recall,XGBoost minus LightGBM,-0.0004961548002977434
Security,62,Test Recall,XGBoost minus LightGBM,0.0004961548002977434
Security,72,Test Recall,XGBoost minus LightGBM,0.0008269246671628316
Security,82,Test Recall,XGBoost minus LightGBM,-0.0005788472670139599
Security,42,Test F1,XGBoost minus LightGBM,-0.0004407323057045165
Security,52,Test F1,XGBoost minus LightGBM,-0.00033007091177639225
Security,62,Test F1,XGBoost minus LightGBM,0.000867164353177019
Security,72,Test F1,XGBoost minus LightGBM,-0.0024435337695575265
Security,82,Test F1,XGBoost minus LightGBM,0.0011050836849242351
Security,42,Test F2,XGBoost minus LightGBM,-0.0007250045603653943
Security,52,Test F2,XGBoost minus LightGBM,-0.00043087676404784947
Security,62,Test F2,XGBoost minus LightGBM,0.0006423128605684836
Security,72,Test F2,XGBoost minus LightGBM,-0.0004632791165664063
Security,82,Test F2,XGBoost minus LightGBM,8.414336890605334e-05
Security,42,Test FPR,XGBoost minus LightGBM,-8.33333333333311e-05
