Seed,Objective,Selected Model,Selected Threshold,Validation F1,Validation F2,Validation Recall,Validation FPR,Test F1,Test F2,Test Recall,Test FPR,Test FN
42,Balanced,LightGBM Tuned,0.45,0.9271863221718468,0.8965677522950316,0.8772546384826089,0.010104166666666666,0.9283513602097673,0.8976699373748132,0.8783180352269908,0.009333333333333334,2943
42,Security,LightGBM Tuned,0.26,0.9151024895939683,0.907985786422293,0.9033024962530364,0.04763888888888889,0.9184481061954314,0.9114520566161621,0.9068469362441082,0.04561111111111111,2253
52,Balanced,XGBoost Tuned,0.44,0.9281035047494268,0.8977852412787934,0.8786500594345961,0.009930555555555555,0.9285185346517402,0.8996218515767439,0.8813363102621351,0.011444444444444445,2870
52,Security,LightGBM Tuned,0.27,0.9161094065507567,0.9080370139322104,0.9027339914207453,0.04572916666666667,0.9179509760751505,0.9101530989862702,0.90502770197635,0.04488888888888889,2297
62,Balanced,LightGBM Tuned,0.44,0.9297571346798593,0.9001520045601368,0.8814409013385704,0.00982638888888889,0.927396693314745,0.8984510192883974,0.880137269494749,0.012055555555555555,2899
62,Security,LightGBM Tuned,0.27,0.9164068844471223,0.9089066722095199,0.9039743656002894,0.04628472222222222,0.916071765026064,0.9091626843964263,0.9046142396427685,0.04727777777777778,2307
72,Balanced,XGBoost Tuned,0.48,0.9266606305045684,0.893548796749,0.8727582820817613,0.007326388888888889,0.9279158909210381,0.8959251520560345,0.8757959149921443,0.007972222222222223,3004
72,Security,XGBoost Tuned,0.26,0.9134731008521985,0.9071556889336558,0.9029924027081503,0.049756944444444444,0.9160212921406952,0.9106945701169654,0.9071777061109733,0.04938888888888889,2245
82,Balanced,XGBoost Tuned,0.51,0.9271185044881826,0.8937190397561287,0.8727582820817613,0.006701388888888889,0.9285354254782933,0.8962339980878085,0.8759199536922186,0.007222222222222222,3001
82,Security,LightGBM Tuned,0.27,0.9139204694294545,0.9064549318755782,0.9015452994986821,0.04795138888888889,0.9171497331798681,0.9104393275886425,0.9060200115769453,0.04683333333333333,2273
