Display Rank,Feature,LightGBM Mean Absolute SHAP,LightGBM Normalized Importance,LightGBM Rank
1,Init Fwd Win Byts,1.6436968493193505,0.21115813528644617,1
2,Fwd Seg Size Min,1.1724403058626474,0.15061798580629104,2
3,Dst Port,0.9659302057811656,0.12408858796198642,3
4,Fwd Pkt Len Std,0.566981073375104,0.0728374372964038,4
5,Fwd Pkt Len Max,0.5444012506425835,0.06993671185833296,5
6,Init Bwd Win Byts,0.1989529109814768,0.025558560698133226,6
7,Bwd Pkt Len Mean,0.19667025144087555,0.025265317979874823,7
8,ECE Flag Cnt,0.17450942098040653,0.02241841854195873,8
9,Fwd IAT Min,0.15289136793369432,0.019641247209083383,9
10,RST Flag Cnt,0.13595114063242256,0.017465014523751935,10
11,Flow IAT Min,0.10810488529850529,0.013887734836530352,11
12,Bwd Seg Size Avg,0.10682706943384658,0.0137235797398454,12
13,Fwd Pkts/s,0.10386875097263953,0.013343538243683487,13
14,Fwd Header Len,0.0914508638832493,0.011748269698222019,14
15,Bwd Pkt Len Max,0.08647213000435401,0.011108674773896208,15
16,Flow IAT Max,0.08160418689529474,0.010483312627576397,16
17,Fwd Seg Size Avg,0.07239911476495679,0.009300779566796797,17
18,Pkt Size Avg,0.07089397911093226,0.009107421747690084,18
19,TotLen Bwd Pkts,0.060292299222484746,0.007745472944858585,19
20,Flow IAT Mean,0.05851592790316237,0.007517270733775828,20
