Feature,XGBoost Mean Absolute SHAP,LightGBM Mean Absolute SHAP,XGBoost Normalized Importance,LightGBM Normalized Importance,XGBoost Rank,LightGBM Rank,Absolute Rank Difference
Init Fwd Win Byts,1.4221815,1.6436968493193505,0.18718663,0.21115813528644617,1,1,0
Fwd Seg Size Min,1.1556556,1.1724403058626474,0.15210666,0.15061798580629104,2,2,0
Dst Port,1.0704991,0.9659302057811656,0.1408984,0.12408858796198642,3,3,0
Fwd Pkt Len Max,0.39389762,0.5444012506425835,0.051844556,0.06993671185833296,4,5,1
Bwd Pkt Len Mean,0.260515,0.19667025144087555,0.03428882,0.025265317979874823,5,7,2
RST Flag Cnt,0.24653271,0.13595114063242256,0.032448478,0.017465014523751935,6,10,4
Fwd Pkt Len Std,0.2450375,0.566981073375104,0.03225168,0.0728374372964038,7,4,3
Bwd Pkt Len Max,0.18255404,0.08647213000435401,0.024027646,0.011108674773896208,8,15,7
Flow IAT Min,0.17549746,0.10810488529850529,0.023098864,0.013887734836530352,9,11,2
Fwd IAT Min,0.16149926,0.15289136793369432,0.02125643,0.019641247209083383,10,9,1
Init Bwd Win Byts,0.13035962,0.1989529109814768,0.01715785,0.025558560698133226,11,6,5
Fwd Header Len,0.118299864,0.0914508638832493,0.015570553,0.011748269698222019,12,14,2
Flow IAT Mean,0.09109719,0.05851592790316237,0.011990154,0.007517270733775828,13,20,7
Bwd Pkts/s,0.08515123,0.049069315700001497,0.011207551,0.006303708136500273,14,28,14
Flow Pkts/s,0.0835809,0.036666473365439524,0.011000865,0.004710372321138455,15,35,20
Pkt Size Avg,0.08295243,0.07089397911093226,0.010918146,0.009107421747690084,16,18,2
ECE Flag Cnt,0.08237591,0.17450942098040653,0.010842265,0.02241841854195873,17,8,9
Fwd IAT Tot,0.081130065,0.05171304991679813,0.010678288,0.0066433364491315944,18,24,6
Fwd Pkt Len Mean,0.07903959,0.057336701582109344,0.01040314,0.007365780979970335,19,22,3
Flow Duration,0.078429595,0.04960475867830052,0.010322853,0.006372494020525458,20,27,7
Fwd Pkts/s,0.07125867,0.10386875097263953,0.009379021,0.013343538243683487,21,13,8
Flow IAT Max,0.06662752,0.08160418689529474,0.008769471,0.010483312627576397,22,16,6
Fwd IAT Max,0.06570859,0.04288141547833716,0.008648523,0.005508777202194293,23,31,8
Fwd IAT Mean,0.06507139,0.045651572026063306,0.008564655,0.005864646407219303,24,29,5
Tot Bwd Pkts,0.06323579,0.02906408964397596,0.008323055,0.003733729230886727,25,37,12
Bwd IAT Max,0.062158305,0.019846689399297002,0.008181237,0.0025496124342516235,26,46,20
Flow IAT Std,0.057866365,0.03044825908923538,0.007616334,0.003911547080390111,27,36,9
Flow Byts/s,0.055730756,0.03917273786094482,0.0073352465,0.005032340534209297,28,33,5
Bwd Pkt Len Std,0.0513882,0.023534212110862134,0.0067636822,0.0030233314292858657,29,44,15
Pkt Len Std,0.04804792,0.027461665939316305,0.0063240365,0.0035278732656855724,30,40,10
Bwd IAT Min,0.046419945,0.039446750445691826,0.0061097634,0.005067541664189048,31,32,1
TotLen Bwd Pkts,0.04602536,0.060292299222484746,0.006057828,0.007745472944858585,32,19,13
TotLen Fwd Pkts,0.042592764,0.014375422786374142,0.0056060324,0.0018467441066045954,33,52,19
Bwd Header Len,0.039501786,0.028852594455999612,0.0051992,0.00370655942184704,34,38,4
Idle Min,0.038041554,0.026103125869963623,0.0050070053,0.0033533479036182167,35,42,7
PSH Flag Cnt,0.037968617,0.027111676510175597,0.004997405,0.0034829117417537582,36,41,5
Fwd IAT Std,0.036144447,0.021770159420628245,0.004757309,0.0027967117355320722,37,45,8
Idle Max,0.034633007,0.045398253216149216,0.004558374,0.005832103710823316,38,30,8
Fwd Act Data Pkts,0.034489825,0.03875483212678981,0.004539529,0.004978654116554955,39,34,5
Pkt Len Mean,0.033739667,0.028031269456663056,0.004440794,0.0036010475962352396,40,39,1
Bwd IAT Mean,0.029904928,0.019540201632114028,0.0039360677,0.0025102393677197614,41,47,6
Bwd IAT Std,0.029559884,0.01833853117406798,0.0038906531,0.0023558663193958647,42,50,8
Bwd Pkt Len Min,0.028819364,0.012246855673645427,0.0037931863,0.0015732969301730218,43,53,10
Pkt Len Max,0.026483135,0.057832673335467995,0.0034856934,0.007429496178206147,44,21,23
Fwd Pkt Len Min,0.025350347,0.01856322151818901,0.0033365965,0.0023847312491431676,45,49,4
Bwd IAT Tot,0.024561802,0.018800640993284445,0.0032328088,0.002415231431498934,46,48,2
