Feature,XGBoost Mean Absolute SHAP,LightGBM Mean Absolute SHAP,XGBoost Normalized Importance,LightGBM Normalized Importance,XGBoost Rank,LightGBM Rank,Absolute Rank Difference,In XGBoost Top 20,In LightGBM Top 20,Shared Top 20
Init Fwd Win Byts,1.4221815,1.6436968493193505,0.18718663,0.21115813528644617,1,1,0,True,True,True
Fwd Seg Size Min,1.1556556,1.1724403058626474,0.15210666,0.15061798580629104,2,2,0,True,True,True
Dst Port,1.0704991,0.9659302057811656,0.1408984,0.12408858796198642,3,3,0,True,True,True
Fwd Pkt Len Max,0.39389762,0.5444012506425835,0.051844556,0.06993671185833296,4,5,1,True,True,True
Bwd Pkt Len Mean,0.260515,0.19667025144087555,0.03428882,0.025265317979874823,5,7,2,True,True,True
RST Flag Cnt,0.24653271,0.13595114063242256,0.032448478,0.017465014523751935,6,10,4,True,True,True
Fwd Pkt Len Std,0.2450375,0.566981073375104,0.03225168,0.0728374372964038,7,4,3,True,True,True
Bwd Pkt Len Max,0.18255404,0.08647213000435401,0.024027646,0.011108674773896208,8,15,7,True,True,True
Flow IAT Min,0.17549746,0.10810488529850529,0.023098864,0.013887734836530352,9,11,2,True,True,True
Fwd IAT Min,0.16149926,0.15289136793369432,0.02125643,0.019641247209083383,10,9,1,True,True,True
Init Bwd Win Byts,0.13035962,0.1989529109814768,0.01715785,0.025558560698133226,11,6,5,True,True,True
Fwd Header Len,0.118299864,0.0914508638832493,0.015570553,0.011748269698222019,12,14,2,True,True,True
Flow IAT Mean,0.09109719,0.05851592790316237,0.011990154,0.007517270733775828,13,20,7,True,True,True
Pkt Size Avg,0.08295243,0.07089397911093226,0.010918146,0.009107421747690084,16,18,2,True,True,True
ECE Flag Cnt,0.08237591,0.17450942098040653,0.010842265,0.02241841854195873,17,8,9,True,True,True
Bwd Pkts/s,0.08515123,0.049069315700001497,0.011207551,0.006303708136500273,14,28,14,True,False,False
Flow Pkts/s,0.0835809,0.036666473365439524,0.011000865,0.004710372321138455,15,35,20,True,False,False
Fwd IAT Tot,0.081130065,0.05171304991679813,0.010678288,0.0066433364491315944,18,24,6,True,False,False
Fwd Pkt Len Mean,0.07903959,0.057336701582109344,0.01040314,0.007365780979970335,19,22,3,True,False,False
Flow Duration,0.078429595,0.04960475867830052,0.010322853,0.006372494020525458,20,27,7,True,False,False
Fwd Pkts/s,0.07125867,0.10386875097263953,0.009379021,0.013343538243683487,21,13,8,False,True,False
Flow IAT Max,0.06662752,0.08160418689529474,0.008769471,0.010483312627576397,22,16,6,False,True,False
TotLen Bwd Pkts,0.04602536,0.060292299222484746,0.006057828,0.007745472944858585,32,19,13,False,True,False
Bwd Seg Size Avg,0.011262174,0.10682706943384658,0.0014823201,0.0137235797398454,54,12,42,False,True,False
Fwd Seg Size Avg,0.010241432,0.07239911476495679,0.0013479708,0.009300779566796797,57,17,40,False,True,False
