Display Rank,Feature,XGBoost Mean Absolute SHAP,XGBoost Normalized Importance,XGBoost Rank
1,Init Fwd Win Byts,1.4221815,0.18718663,1
2,Fwd Seg Size Min,1.1556556,0.15210666,2
3,Dst Port,1.0704991,0.1408984,3
4,Fwd Pkt Len Max,0.39389762,0.051844556,4
5,Bwd Pkt Len Mean,0.260515,0.03428882,5
6,RST Flag Cnt,0.24653271,0.032448478,6
7,Fwd Pkt Len Std,0.2450375,0.03225168,7
8,Bwd Pkt Len Max,0.18255404,0.024027646,8
9,Flow IAT Min,0.17549746,0.023098864,9
10,Fwd IAT Min,0.16149926,0.02125643,10
11,Init Bwd Win Byts,0.13035962,0.01715785,11
12,Fwd Header Len,0.118299864,0.015570553,12
13,Flow IAT Mean,0.09109719,0.011990154,13
14,Bwd Pkts/s,0.08515123,0.011207551,14
15,Flow Pkts/s,0.0835809,0.011000865,15
16,Pkt Size Avg,0.08295243,0.010918146,16
17,ECE Flag Cnt,0.08237591,0.010842265,17
18,Fwd IAT Tot,0.081130065,0.010678288,18
19,Fwd Pkt Len Mean,0.07903959,0.01040314,19
20,Flow Duration,0.078429595,0.010322853,20
