Model,Rank,Feature,Mean signed attribution,Mean absolute attribution,Top-10 cases,Top-10 case rate,Positive attribution fraction,Mean reference sign consistency
CNN,1,Fwd Seg Size Min,1.2003824150581708,1.330345335392388,14,0.4375,0.71875,0.78125
CNN,2,RST Flag Cnt,-0.0463233314264607,0.8935485598991036,22,0.6875,0.28125,0.6201171875
CNN,3,ECE Flag Cnt,0.0832885080085177,0.8767856826144466,20,0.625,0.3125,0.61328125
CNN,4,Init Fwd Win Byts,0.6580927790636049,0.8618218399783608,13,0.40625,0.75,0.6181640625
CNN,5,Fwd Pkt Len Max,0.8004600375856296,0.8004600375856296,20,0.625,1.0,0.595703125
CNN,6,Bwd Pkt Len Std,0.1495743912544274,0.7878371004648946,15,0.46875,0.34375,0.5400390625
CNN,7,Bwd Pkt Len Max,0.1435179687831355,0.7256745956837478,21,0.65625,0.78125,0.6357421875
CNN,8,Fwd Pkt Len Std,-0.5668530393527648,0.6954242185793674,20,0.625,0.1875,0.580078125
CNN,9,Init Bwd Win Byts,0.4253152468383889,0.6750700650239243,14,0.4375,0.625,0.572265625
CNN,10,Pkt Size Avg,0.4344448670949005,0.6290465018447302,15,0.46875,0.84375,0.7109375
CNN,11,Dst Port,0.5316205118304391,0.5460458956823895,18,0.5625,0.9375,0.5458984375
CNN,12,ACK Flag Cnt,0.2882207013757532,0.535614881356325,9,0.28125,0.53125,0.7705078125
CNN,13,Pkt Len Max,0.2452553108635663,0.4676483752760114,16,0.5,0.625,0.673828125
CNN,14,Pkt Len Std,0.0862050732734245,0.4012048760969659,6,0.1875,0.40625,0.6748046875
CNN,15,Flow Duration,0.2132968721628673,0.3770584733543921,7,0.21875,0.90625,0.6875
MLP,1,Fwd Seg Size Min,2.261535034669788,2.300661038260822,16,0.5,0.8125,0.783203125
MLP,2,Fwd Pkt Len Max,1.6747483931144276,1.8527210673407688,29,0.90625,0.9375,0.7255859375
MLP,3,Bwd Pkt Len Std,-0.8746362527418776,1.4840706155966763,25,0.78125,0.125,0.6044921875
MLP,4,Init Fwd Win Byts,1.2485150794774889,1.399478621637978,25,0.78125,0.875,0.634765625
MLP,5,Fwd Seg Size Avg,-0.7648313627779054,0.9276478694531018,16,0.5,0.15625,0.6826171875
MLP,6,Fwd Pkt Len Std,-0.5473890370392936,0.9143048043788587,14,0.4375,0.3125,0.591796875
MLP,7,ECE Flag Cnt,-0.5875540909690237,0.90822459642349,24,0.75,0.125,0.6240234375
MLP,8,PSH Flag Cnt,-0.0785953350475181,0.8710696928890724,19,0.59375,0.40625,0.6162109375
MLP,9,Pkt Len Max,0.6156028911539795,0.8445353191166936,22,0.6875,0.84375,0.73046875
MLP,10,Dst Port,0.6413245790085343,0.8398454879489321,13,0.40625,0.71875,0.609375
MLP,11,Bwd Pkt Len Max,0.5191909133016808,0.8285865027264572,21,0.65625,0.84375,0.70703125
MLP,12,Bwd Pkts/s,0.7714877692524654,0.8020371527728845,3,0.09375,0.125,0.724609375
MLP,13,Init Bwd Win Byts,0.6427711705677391,0.7734300302987597,9,0.28125,0.875,0.5205078125
MLP,14,Pkt Len Mean,0.4879481812579217,0.6667966599501745,12,0.375,0.875,0.720703125
MLP,15,RST Flag Cnt,-0.3787898351764687,0.584838014761611,11,0.34375,0.15625,0.615234375
