Case,Model,Outcome,Traffic category,Attack probability,Mean reference cosine,Minimum reference cosine,Mean top-10 Jaccard,Mean top-10 sign agreement,Absolute completeness error,Normalized completeness error
CNN_FP_05,CNN,FP,Benign,0.8226411938667297,0.8560397879695828,0.569559195880189,0.405591804029304,0.890625,0.0115565400150492,0.0017110990917462
CNN_TN_06,CNN,TN,Benign,0.0009613521397113,0.7183413647040546,0.2521495921118764,0.4261993113096054,0.8062499999999999,0.0070210587866494,0.0040662100523474
CNN_TN_07,CNN,TN,Benign,7.909330452093855e-05,0.7184712258724066,0.2146930703220509,0.4229444983121453,0.71875,0.0066669637807654,0.0015778754050648
CNN_TP_03,CNN,TP,FTP-BruteForce,0.9999657869338988,0.7915781031660989,0.5571184382477958,0.4276740416446298,0.7,0.0099205366400862,0.0006399019058183
CNN_TP_08,CNN,TP,DoS attacks-GoldenEye,1.0,0.73052950837383,0.1056799817514025,0.5233348146951088,0.821875,0.0064740797981066,0.0002835383483988
MLP_FP_04,MLP,FP,Benign,0.6668856739997864,0.9726000412794992,0.7858543650452,0.4178601729153199,0.715625,0.0019339874803669,0.0003171065762224
MLP_TN_08,MLP,TN,Benign,2.6490785121069393e-09,0.900968480068032,0.5823188672906826,0.558927438982586,0.85,0.003107284753705,0.0002166211087322
MLP_TP_05,MLP,TP,DoS attacks-SlowHTTPTest,0.9999995231628418,0.8070269548600325,0.4834569915643258,0.484006342921784,0.8062499999999999,0.0001418359635074,7.07993586696247e-06
MLP_TP_06,MLP,TP,DoS attacks-SlowHTTPTest,1.0,0.829112194360876,0.5439945630123841,0.5188641015846898,0.8312499999999999,0.004466135670853,0.0001825117184303
MLP_TP_07,MLP,TP,FTP-BruteForce,1.0,0.829112194360876,0.5439945630123841,0.5188641015846898,0.8312499999999999,0.004466135670853,0.0001825117184303
