disagreement_case_id,holdout_position,original_row_index,y_true,attack_category,mlp_probability,cnn_probability,mlp_threshold,cnn_threshold,mlp_prediction,cnn_prediction,mlp_outcome,cnn_outcome,probability_difference
NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456786423921585,0.9984436631202698,0.5,0.5,0,1,TN,FP,0.9599868766963482
NEURAL_DISAGREE_02,10083,196830,0,Benign,0.0773177519440651,0.9696998000144958,0.5,0.5,0,1,TN,FP,0.8923820480704308
NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934186220169,0.9691232442855835,0.5,0.5,0,1,TN,FP,0.8799298256635666
NEURAL_DISAGREE_04,30716,257630,0,Benign,0.09903968125581741,0.9761539101600647,0.5,0.5,0,1,TN,FP,0.8771142289042473
NEURAL_DISAGREE_05,30033,174394,0,Benign,0.0722370445728302,0.9459136128425598,0.5,0.5,0,1,TN,FP,0.8736765682697296
NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,0.9438652396202087,0.5,0.5,0,1,TN,FP,0.8621132746338844
NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,0.9754863381385803,0.5,0.5,0,1,FN,TP,0.8346940875053406
NEURAL_DISAGREE_08,36588,230736,1,Infilteration,0.9197056889533997,0.12168426811695099,0.5,0.5,1,0,TP,FN,0.7980214208364487
NEURAL_DISAGREE_09,33433,299699,1,Infilteration,0.9129174947738647,0.12165848910808563,0.5,0.5,1,0,TP,FN,0.7912590056657791
NEURAL_DISAGREE_10,54590,151302,1,Infilteration,0.901373565196991,0.12159965932369232,0.5,0.5,1,0,TP,FN,0.7797739058732986
NEURAL_DISAGREE_11,18486,69394,1,DoS attacks-Hulk,0.22092920541763306,0.9984429478645325,0.5,0.5,0,1,FN,TP,0.7775137424468994
NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,0.12151267379522324,0.5,0.5,1,0,TP,FN,0.7664260044693947
