case_id,selected_for_model,selected_for_model_display,selected_outcome,within_group_rank,selection_reason,holdout_position,original_row_index,y_true,attack_category,selected_model_probability,selected_model_prediction,selected_model_threshold,distance_to_threshold,mlp_probability,cnn_probability,mlp_prediction,cnn_prediction,models_disagree,probability_difference
CNN_FN_01,cnn,CNN,FN,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,20087,116825,1,Bot,0.4791027307510376,0,0.5,0.020897269248962402,0.9578176140785217,0.4791027307510376,1,0,True,0.47871488332748413
CNN_FN_02,cnn,CNN,FN,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,33027,52627,1,Infilteration,0.22678396105766296,0,0.5,0.27321603894233704,0.28764763474464417,0.22678396105766296,0,0,False,0.0608636736869812
CNN_FN_03,cnn,CNN,FN,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,59238,97993,1,Infilteration,0.14705593883991241,0,0.5,0.3529440611600876,0.153103768825531,0.14705593883991241,0,0,False,0.006047829985618591
CNN_FN_04,cnn,CNN,FN,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,47635,98315,1,Infilteration,0.14154364168643951,0,0.5,0.3584563583135605,0.13920465111732483,0.14154364168643951,0,0,False,0.002338990569114685
CNN_FN_05,cnn,CNN,FN,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,37967,7008,1,Infilteration,0.13269147276878357,0,0.5,0.36730852723121643,0.11918310075998306,0.13269147276878357,0,0,False,0.013508372008800507
CNN_FN_06,cnn,CNN,FN,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,38938,217563,1,Infilteration,0.11685497313737869,0,0.5,0.3831450268626213,0.06934509426355362,0.11685497313737869,0,0,False,0.04750987887382507
CNN_FN_07,cnn,CNN,FN,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,30759,2183,1,Infilteration,0.07311134040355682,0,0.5,0.4268886595964432,0.10030370950698853,0.07311134040355682,0,0,False,0.0271923691034317
CNN_FN_08,cnn,CNN,FN,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,43696,95163,1,Infilteration,0.000996900605969131,0,0.5,0.49900309939403087,0.026205917820334435,0.000996900605969131,0,0,False,0.025209017214365304
CNN_FP_01,cnn,CNN,FP,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,11552,5487,0,Benign,0.500472366809845,1,0.5,0.0004723668098449707,0.15127763152122498,0.500472366809845,0,1,True,0.34919473528862
CNN_FP_02,cnn,CNN,FP,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,28212,191024,0,Benign,0.5659503936767578,1,0.5,0.06595039367675781,0.39232322573661804,0.5659503936767578,0,1,True,0.17362716794013977
CNN_FP_03,cnn,CNN,FP,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,22418,274755,0,Benign,0.5864103436470032,1,0.5,0.08641034364700317,0.39599713683128357,0.5864103436470032,0,1,True,0.1904132068157196
CNN_FP_04,cnn,CNN,FP,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,15047,164648,0,Benign,0.7018672227859497,1,0.5,0.2018672227859497,0.33391273021698,0.7018672227859497,0,1,True,0.3679544925689697
CNN_FP_05,cnn,CNN,FP,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,27791,135859,0,Benign,0.8226413130760193,1,0.5,0.3226413130760193,0.2519512176513672,0.8226413130760193,0,1,True,0.5706900954246521
CNN_FP_06,cnn,CNN,FP,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,43677,91644,0,Benign,0.9045252799987793,1,0.5,0.4045252799987793,0.19954630732536316,0.9045252799987793,0,1,True,0.7049789726734161
CNN_FP_07,cnn,CNN,FP,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,36683,288123,0,Benign,0.975613534450531,1,0.5,0.475613534450531,0.9828512668609619,0.975613534450531,1,1,False,0.007237732410430908
CNN_FP_08,cnn,CNN,FP,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,9969,15869,0,Benign,0.9999271631240845,1,0.5,0.4999271631240845,0.9897151589393616,0.9999271631240845,1,1,False,0.0102120041847229
CNN_TN_01,cnn,CNN,TN,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,36312,275065,0,Benign,0.49518492817878723,0,0.5,0.0048150718212127686,0.38604626059532166,0.49518492817878723,0,0,False,0.10913866758346558
CNN_TN_02,cnn,CNN,TN,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,14311,234281,0,Benign,0.14479905366897583,0,0.5,0.35520094633102417,0.14797820150852203,0.14479905366897583,0,0,False,0.0031791478395462036
CNN_TN_03,cnn,CNN,TN,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,2474,17871,0,Benign,0.13117465376853943,0,0.5,0.36882534623146057,0.14560376107692719,0.13117465376853943,0,0,False,0.014429107308387756
CNN_TN_04,cnn,CNN,TN,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,1071,233184,0,Benign,0.09360136836767197,0,0.5,0.40639863163232803,0.13296066224575043,0.09360136836767197,0,0,False,0.03935929387807846
CNN_TN_05,cnn,CNN,TN,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,34205,176021,0,Benign,0.050138697028160095,0,0.5,0.4498613029718399,0.055240944027900696,0.050138697028160095,0,0,False,0.005102246999740601
CNN_TN_06,cnn,CNN,TN,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,46318,107806,0,Benign,0.0009613512665964663,0,0.5,0.49903864873340353,0.00025111233117058873,0.0009613512665964663,0,0,False,0.0007102389354258776
CNN_TN_07,cnn,CNN,TN,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,30944,142297,0,Benign,7.909337728051469e-05,0,0.5,0.4999209066227195,2.573645360826049e-05,7.909337728051469e-05,0,0,False,5.33569236722542e-05
CNN_TN_08,cnn,CNN,TN,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,46572,2010,0,Benign,4.605491085385438e-06,0,0.5,0.4999953945089146,0.003534767311066389,4.605491085385438e-06,0,0,False,0.0035301618199810036
CNN_TP_01,cnn,CNN,TP,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,37481,34913,1,Infilteration,0.5117628574371338,1,0.5,0.011762857437133789,0.30361121892929077,0.5117628574371338,0,1,True,0.20815163850784302
CNN_TP_02,cnn,CNN,TP,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,17430,268473,1,DoS attacks-GoldenEye,0.9997719526290894,1,0.5,0.49977195262908936,0.9998703002929688,0.9997719526290894,1,1,False,9.834766387939453e-05
CNN_TP_03,cnn,CNN,TP,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,8397,164173,1,FTP-BruteForce,0.9999657869338989,1,0.5,0.4999657869338989,1.0,0.9999657869338989,1,1,False,3.421306610107422e-05
CNN_TP_04,cnn,CNN,TP,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,21953,279646,1,DoS attacks-SlowHTTPTest,0.999972939491272,1,0.5,0.499972939491272,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
CNN_TP_05,cnn,CNN,TP,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,36429,182234,1,DDOS attack-HOIC,0.9999734163284302,1,0.5,0.4999734163284302,0.9999257326126099,0.9999734163284302,1,1,False,4.76837158203125e-05
CNN_TP_06,cnn,CNN,TP,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,47278,243809,1,DoS attacks-Hulk,0.9999860525131226,1,0.5,0.49998605251312256,0.9999967813491821,0.9999860525131226,1,1,False,1.0728836059570312e-05
CNN_TP_07,cnn,CNN,TP,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,55228,264866,1,DDOS attack-HOIC,0.9999992847442627,1,0.5,0.4999992847442627,0.9999995231628418,0.9999992847442627,1,1,False,2.384185791015625e-07
CNN_TP_08,cnn,CNN,TP,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,59840,37799,1,DoS attacks-GoldenEye,1.0,1,0.5,0.5,0.9999978542327881,1.0,1,1,False,2.1457672119140625e-06
MLP_FN_01,mlp,MLP,FN,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,20443,75923,1,Infilteration,0.48850056529045105,0,0.5,0.01149943470954895,0.48850056529045105,0.4104548990726471,0,0,False,0.07804566621780396
MLP_FN_02,mlp,MLP,FN,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,27401,120018,1,Infilteration,0.24446575343608856,0,0.5,0.25553424656391144,0.24446575343608856,0.19801580905914307,0,0,False,0.046449944376945496
MLP_FN_03,mlp,MLP,FN,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,26960,19611,1,Infilteration,0.15843668580055237,0,0.5,0.34156331419944763,0.15843668580055237,0.1493547111749649,0,0,False,0.009081974625587463
MLP_FN_04,mlp,MLP,FN,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,32323,145644,1,Infilteration,0.14787237346172333,0,0.5,0.3521276265382767,0.14787237346172333,0.14528346061706543,0,0,False,0.002588912844657898
MLP_FN_05,mlp,MLP,FN,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,14694,34990,1,Infilteration,0.14002542197704315,0,0.5,0.35997457802295685,0.14002542197704315,0.1426357477903366,0,0,False,0.002610325813293457
MLP_FN_06,mlp,MLP,FN,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,31303,237610,1,Infilteration,0.131637305021286,0,0.5,0.368362694978714,0.131637305021286,0.08783484250307083,0,0,False,0.04380246251821518
