shared_case_id,holdout_position,original_row_index,y_true,attack_category,selected_for_models,selected_outcomes,selection_count,mlp_probability,cnn_probability,mlp_prediction,cnn_prediction,models_disagree,probability_difference
NEURAL_SHARED_01,1071,233184,0,Benign,cnn,TN,1,0.13296066224575043,0.09360136836767197,0,0,False,0.03935929387807846
NEURAL_SHARED_02,2474,17871,0,Benign,cnn,TN,1,0.14560376107692719,0.13117465376853943,0,0,False,0.014429107308387756
NEURAL_SHARED_03,3126,231855,0,Benign,mlp,TN,1,0.10520855337381363,0.10004523396492004,0,0,False,0.005163319408893585
NEURAL_SHARED_04,3207,105915,1,DoS attacks-SlowHTTPTest,mlp,TP,1,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
NEURAL_SHARED_05,4667,25012,0,Benign,mlp,FP,1,0.6361875534057617,0.31769222021102905,1,0,True,0.31849533319473267
NEURAL_SHARED_06,6668,76449,1,Infilteration,mlp,FN,1,0.10739779472351074,0.10284347832202911,0,0,False,0.004554316401481628
NEURAL_SHARED_07,6980,196556,1,DDOS attack-HOIC,mlp,TP,1,0.9999257326126099,0.9999734163284302,1,1,False,4.76837158203125e-05
NEURAL_SHARED_08,8397,164173,1,FTP-BruteForce,cnn,TP,1,1.0,0.9999657869338989,1,1,False,3.421306610107422e-05
NEURAL_SHARED_09,9672,51000,0,Benign,mlp,TN,1,0.4959760308265686,0.6031706929206848,0,1,True,0.10719466209411621
NEURAL_SHARED_10,9969,15869,0,Benign,cnn,FP,1,0.9897151589393616,0.9999271631240845,1,1,False,0.0102120041847229
NEURAL_SHARED_11,10547,257756,1,Infilteration,mlp,TP,1,0.5009243488311768,0.6271141767501831,1,1,False,0.12618982791900635
NEURAL_SHARED_12,11552,5487,0,Benign,cnn,FP,1,0.15127763152122498,0.500472366809845,0,1,True,0.34919473528862
NEURAL_SHARED_13,12608,250703,0,Benign,mlp,TN,1,0.05521911010146141,0.04992084205150604,0,0,False,0.005298268049955368
NEURAL_SHARED_14,12825,292510,0,Benign,mlp,TN,1,0.13501548767089844,0.13510218262672424,0,0,False,8.669495582580566e-05
NEURAL_SHARED_15,14311,234281,0,Benign,cnn,TN,1,0.14797820150852203,0.14479905366897583,0,0,False,0.0031791478395462036
