model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,baseline_id,baseline_display,integration_steps,feature_index,feature_name,raw_feature_value,scaled_feature_value,attribution,absolute_attribution,absolute_rank
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,0,Dst Port,51982.0,2.029167413711548,-6.031547629467294,6.031547629467294,1
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,1,Protocol,6.0,-0.4150773882865906,-0.08182609259314365,0.08182609259314365,44
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,2,Flow Duration,22569161.0,0.36975833773612976,-0.6771393722881046,0.6771393722881046,16
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,3,Tot Fwd Pkts,1.0,-0.033733732998371124,0.00597981634573287,0.00597981634573287,65
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,4,Tot Bwd Pkts,2.0,-0.03261594846844673,0.01588736962188573,0.01588736962188573,57
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,5,TotLen Fwd Pkts,0.0,-0.036053989082574844,-0.05145928920295541,0.05145928920295541,46
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,6,TotLen Bwd Pkts,238.0,-0.01960725523531437,-0.01843033392581243,0.01843033392581243,53
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,7,Fwd Pkt Len Max,0.0,-0.6599207520484924,1.5339039445026255,1.5339039445026255,7
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,8,Fwd Pkt Len Min,0.0,-0.2446633279323578,-0.29174729678809996,0.29174729678809996,25
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,9,Fwd Pkt Len Mean,0.0,-0.7370033860206604,-0.26729106940868386,0.26729106940868386,29
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,10,Fwd Pkt Len Std,0.0,-0.6824519038200378,-1.0368368652703526,1.0368368652703526,10
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,11,Bwd Pkt Len Max,238.0,-0.15858164429664612,0.19921483993046282,0.19921483993046282,34
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,12,Bwd Pkt Len Min,0.0,-0.3786987066268921,-0.002649937947848298,0.002649937947848298,66
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,13,Bwd Pkt Len Mean,119.0,0.12332050502300262,0.008599761981909367,0.008599761981909367,64
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,14,Bwd Pkt Len Std,168.2914139224,0.1922869235277176,0.3828103089613578,0.3828103089613578,23
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,15,Flow Byts/s,10.545363206,-0.06769456714391708,0.012959000308828768,0.012959000308828768,59
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,16,Flow Pkts/s,0.1329247463,-0.3643477261066437,0.42255826392041446,0.42255826392041446,21
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,17,Flow IAT Mean,11284580.5,0.750314474105835,-0.838622320375755,0.838622320375755,14
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,18,Flow IAT Std,15958028.9713317,2.7989683151245117,-0.9502041067511822,0.9502041067511822,13
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,19,Flow IAT Max,22568611.0,1.049683928489685,0.5929026341483419,0.5929026341483419,18
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,20,Flow IAT Min,550.0,-0.17871125042438507,0.22066005099153885,0.22066005099153885,33
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,21,Fwd IAT Tot,0.0,-0.3672982156276703,-0.23719650802734996,0.23719650802734996,31
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,22,Fwd IAT Mean,0.0,-0.24259880185127258,-0.28955030030724044,0.28955030030724044,27
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,23,Fwd IAT Std,0.0,-0.3030920922756195,0.09528200737445268,0.09528200737445268,40
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,24,Fwd IAT Max,0.0,-0.3346872627735138,0.18615474074820335,0.18615474074820335,35
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,25,Fwd IAT Min,0.0,-0.19227269291877747,-0.09048222314404242,0.09048222314404242,42
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,26,Bwd IAT Tot,22568611.0,0.6563389897346497,0.6489375487300268,0.6489375487300268,17
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,27,Bwd IAT Mean,22568611.0,2.8121845722198486,4.872528671341159,4.872528671341159,3
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,28,Bwd IAT Std,0.0,-0.23024432361125946,-0.34793080251511616,0.34793080251511616,24
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,29,Bwd IAT Max,22568611.0,1.736902117729187,-0.9790344292131452,0.9790344292131452,11
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,30,Bwd IAT Min,22568611.0,3.28910493850708,-2.272731120892501,2.272731120892501,4
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,31,Fwd PSH Flags,0.0,-0.1852944940328598,-0.18511598724906259,0.18511598724906259,36
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,32,Bwd PSH Flags,0.0,0.0,0.0,0.0,71
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,33,Fwd URG Flags,0.0,-0.02324415184557438,-0.009555050290051968,0.009555050290051968,61
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,34,Bwd URG Flags,0.0,0.0,0.0,0.0,72
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,35,Fwd Header Len,40.0,-0.03493262454867363,-0.001311591585265678,0.001311591585265678,69
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,36,Bwd Header Len,64.0,-0.0237740371376276,0.02430479807760499,0.02430479807760499,50
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,37,Fwd Pkts/s,0.0443082488,-0.3348708748817444,0.7486813340886935,0.7486813340886935,15
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,38,Bwd Pkts/s,0.0886164975,-0.3509836792945862,-0.5694926865242956,0.5694926865242956,19
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,39,Pkt Len Min,0.0,-0.24511286616325378,-0.27079266007453046,0.27079266007453046,28
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,40,Pkt Len Max,238.0,-0.3144305646419525,0.4001271425426566,0.4001271425426566,22
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,41,Pkt Len Mean,59.5,-0.18224701285362244,0.24705952684053722,0.24705952684053722,30
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,42,Pkt Len Std,119.0,-0.07368714362382889,0.020889498355586653,0.020889498355586653,52
