model,model_display,baseline_id,baseline_display,integration_steps,case_count,completeness_pass_count,completeness_pass_rate,mean_absolute_error,median_absolute_error,maximum_absolute_error,mean_normalized_error,median_normalized_error,p95_normalized_error,maximum_normalized_error,mean_signed_cosine,minimum_signed_cosine,mean_absolute_cosine,mean_top10_jaccard,minimum_top10_jaccard,mean_maximum_attribution_difference,maximum_attribution_difference
cnn,CNN,benign_median,Benign training median,16,12,2,0.16666666666666666,0.1649672021088515,0.11549653668555282,0.4862452308936014,0.06480667269304549,0.03916550922533176,0.2019162467448005,0.20440378177466087,0.9807524062269924,0.9416444652519765,0.9808350160178593,0.9545454545454546,0.8181818181818182,0.18566129973250947,0.30092612743867553
cnn,CNN,benign_median,Benign training median,32,12,6,0.5,0.09739084367716576,0.05140203241420027,0.2637320539843877,0.055342949107886806,0.016186424702445686,0.21550120164561634,0.21730962198119863,0.9981383753210892,0.9928920732998433,0.9981576256241255,1.0,1.0,0.07689826734011178,0.15375590652889748
cnn,CNN,benign_median,Benign training median,64,12,6,0.5,0.0530738657588401,0.044998082779866055,0.1341578982443392,0.030080052391687737,0.006865393667385493,0.12107627754004355,0.12481214302911751,0.9998857540260437,0.9994545172059912,0.9998900560834896,1.0,1.0,0.029502608153381644,0.09133244625342662
cnn,CNN,benign_median,Benign training median,128,12,8,0.6666666666666666,0.03390111400063043,0.018510717628558382,0.10330925700587557,0.013661315950206913,0.0032903875147301145,0.05756509507097973,0.06451066069856803,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,1.0,0.0,0.0
cnn,CNN,benign_reference_32,Mean IG over 32 benign training references,16,12,2,0.16666666666666666,0.1666603629421575,0.10842070611221022,0.46828932356793374,0.02133297415546621,0.01916860951043558,0.051189686386511085,0.05243106082457394,0.9996415295646335,0.9984827270821304,0.9996415305390296,0.9848484848484849,0.8181818181818182,0.08943972427897245,0.30190117720578336
cnn,CNN,benign_reference_32,Mean IG over 32 benign training references,32,12,3,0.25,0.06826836812440444,0.05340283942319468,0.1932900672298299,0.010543039624121895,0.00909971543422497,0.020689895905750315,0.02164132890004489,0.9999153378486647,0.9997964794535615,0.9999153378486647,0.9848484848484849,0.8181818181818182,0.04507983795894088,0.1149804150805096
cnn,CNN,benign_reference_32,Mean IG over 32 benign training references,64,12,10,0.8333333333333334,0.02178283504411564,0.013194855509340186,0.05524490859943576,0.003118843142674733,0.0031259973771393204,0.005976151536297896,0.006185383730203381,0.9999938394114398,0.999977026472305,0.9999938394114398,1.0,1.0,0.011097022336239167,0.03645138715896046
cnn,CNN,benign_reference_32,Mean IG over 32 benign training references,128,12,12,1.0,0.006224156985181121,0.004149250290144124,0.02711133449990477,0.0009402693836956001,0.000553267473610917,0.0028593598605957875,0.0033549092770213083,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
cnn,CNN,zero_scaled,Zero standardized vector,16,12,0,0.0,0.6863759370335755,0.5193115820128114,1.229606238074492,0.03369139924469825,0.02229659411406431,0.06710765946566419,0.06757684502127848,0.9998745284549072,0.9997455763010796,0.9998746108630526,1.0,1.0,0.2297747611796406,0.45983232035855526
cnn,CNN,zero_scaled,Zero standardized vector,32,12,4,0.3333333333333333,0.13910348852970422,0.1705434825634402,0.2798204665915378,0.006747633082398802,0.008109345843392096,0.012075041435498951,0.01216860948451807,0.9999751031799232,0.9999401891296853,0.9999751213635899,1.0,1.0,0.05801625951367561,0.11508170401221118
