model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,input_probability,input_logit,baseline_id,baseline_display,semantic_role,baseline_count,baseline_mean_logit,target_logit_difference,integration_method,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,16,-5.547888472268204,0.26696519594468704,0.26696519594468704,0.045910905274205265,False,40.22249030297421,10.680666768962853
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,32,-5.670857730991567,0.14399593722132398,0.14399593722132398,0.024763467051369326,False,40.708932224913006,10.80755295697465
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,64,-5.752409960346245,0.062443707866645326,0.062443707866645326,0.010738655077082358,False,40.48789534805774,10.780180160530268
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.814853668212891,Trapezoidal rule,128,-5.80647657013389,0.008377098079000334,0.008377098079000334,0.001440637814291707,True,40.534962565721784,10.800668782538857
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,16,0.027375220136109935,0.033060549573365794,0.033060549573365794,0.033060549573365794,False,20.537677886989147,6.072031716504874
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,32,0.05534904461434742,0.06103437405160328,0.06103437405160328,0.06103437405160328,False,20.433613792752368,5.98593607873138
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,64,-0.00012746011296638216,0.005557869324289477,0.005557869324289477,0.005557869324289477,True,20.434931865269334,5.97915522890202
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,-0.005685329437255859,Trapezoidal rule,128,0.011464557189394764,0.017149886626650623,0.017149886626650623,0.017149886626650623,False,20.35733857786471,5.9566591649070775
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,2.185719884932041,Trapezoidal rule,16,2.1903574723563666,0.004637587424325407,0.004637587424325407,0.002121766588800376,True,17.766789265031715,4.1271041014377285
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,2.185719884932041,Trapezoidal rule,32,2.1832227502922135,-0.002497134639827703,0.002497134639827703,0.0011424769738530992,True,17.79989218200297,4.133318424285274
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,2.185719884932041,Trapezoidal rule,64,2.181315402525913,-0.0044044824061280075,0.0044044824061280075,0.0020151175072760765,True,17.787637902909456,4.131141336398417
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.038456812500953674,-3.219003677368164,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,2.185719884932041,Trapezoidal rule,128,2.1860834961236613,0.0003636111916200946,0.0003636111916200946,0.00016635763536158708,True,17.77314433885613,4.128995005479946
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,16,-5.039707859959046,0.03550294974859547,0.03550294974859547,0.00699536454341699,True,42.363030698335514,13.562709546919754
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,32,-5.135673676429698,-0.06046286672205614,0.06046286672205614,0.011913370496138881,False,42.122111548873185,13.517058533326182
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,64,-4.971029025262342,0.10418178444529946,0.10418178444529946,0.020527577740421167,False,41.741692677686366,13.35119576389658
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.075210809707642,Trapezoidal rule,128,-5.0249685878418395,0.05024222186580207,0.05024222186580207,0.009899533979889259,False,41.92176360778819,13.417624299361396
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,16,0.26583356581206646,-0.4681239632559267,0.4681239632559267,0.4681239632559267,False,15.865242617732912,7.923754742907638
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,32,0.6009183282943222,-0.13303920077367093,0.13303920077367093,0.13303920077367093,False,15.683031988709129,7.737619861327805
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,64,0.6859270278278033,-0.048030501240189816,0.048030501240189816,0.048030501240189816,False,15.7258723658956,7.728842797637369
mlp,MLP,NEURAL_DISAGREE_02,10083,196830,0,Benign,0.07731778919696808,-2.479360818862915,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7339575290679932,Trapezoidal rule,128,0.7208519199129662,-0.01310560915502701,0.01310560915502701,0.01310560915502701,False,15.667878168145467,7.700159610376729
