model,model_display,case_id,baseline_id,baseline_display,integration_steps,reference_steps,signed_cosine_to_reference,absolute_cosine_to_reference,top10_jaccard_to_reference,maximum_absolute_attribution_difference,mean_absolute_attribution_difference
mlp,MLP,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,16,128,0.9997533564499504,0.9997534276755276,1.0,0.15626027747772664,0.013212356938516053
mlp,MLP,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,32,128,0.9998771953010197,0.9998771953010197,0.8181818181818182,0.08507208180863479,0.008608432568887547
mlp,MLP,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,64,128,0.9999911736355563,0.9999911736355563,1.0,0.03945298384739093,0.002412383442587963
mlp,MLP,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_01,benign_median,Benign training median,16,128,0.9997426873010828,0.9997426873010828,1.0,0.10365670533361415,0.007755759021607909
mlp,MLP,NEURAL_DISAGREE_01,benign_median,Benign training median,32,128,0.9999782853266062,0.9999782853266062,1.0,0.02728446962634612,0.002339277638872081
mlp,MLP,NEURAL_DISAGREE_01,benign_median,Benign training median,64,128,0.9999890940579951,0.9999890940579951,1.0,0.018935823807257446,0.0014403061110465525
mlp,MLP,NEURAL_DISAGREE_01,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999761534698907,0.9999761534698907,1.0,0.012184083892892217,0.0017019823207237966
mlp,MLP,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999947223806465,0.9999947223806465,1.0,0.005560898962128968,0.0008084729699704069
mlp,MLP,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999988622591598,0.9999988622591598,1.0,0.0026313629299371533,0.0004142570484211183
mlp,MLP,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,16,128,0.9999441471769424,0.9999443997724431,1.0,0.09698882445109547,0.012121310273600494
mlp,MLP,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,32,128,0.9999830399592519,0.9999831632376889,1.0,0.09739376382130516,0.00650893780682251
mlp,MLP,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,64,128,0.9999970422567203,0.9999970422567203,1.0,0.06316135693059621,0.003172398033436935
mlp,MLP,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_02,benign_median,Benign training median,16,128,0.9996482490636828,0.9996482490636828,1.0,0.29337996148820444,0.0069090581808429
mlp,MLP,NEURAL_DISAGREE_02,benign_median,Benign training median,32,128,0.999979336369574,0.999979336369574,1.0,0.051139030952565,0.0019839762558932286
mlp,MLP,NEURAL_DISAGREE_02,benign_median,Benign training median,64,128,0.9999973804217069,0.9999973804217069,1.0,0.027305263060053875,0.0010148462691076613
mlp,MLP,NEURAL_DISAGREE_02,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999811521989078,0.9999811521989078,1.0,0.01375972514884749,0.0012451105485356674
mlp,MLP,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999979673701784,0.9999979673701784,1.0,0.003638768752170396,0.0004543340700509303
mlp,MLP,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999995267922145,0.9999995267922145,1.0,0.0026944289635597585,0.00018977418451857707
mlp,MLP,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,128,128,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,16,128,0.9998967690283916,0.9998993897991136,1.0,0.05887667895123716,0.00942594028782344
mlp,MLP,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,32,128,0.9999640159272482,0.9999640159272482,1.0,0.049646961106571075,0.004246681132141485
mlp,MLP,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,64,128,0.9999906482599363,0.9999906482599363,1.0,0.019760271390502515,0.001979161607018038
mlp,MLP,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_03,benign_median,Benign training median,16,128,0.999541069609416,0.999541069609416,1.0,0.025665859310697314,0.0008538289641783175
mlp,MLP,NEURAL_DISAGREE_03,benign_median,Benign training median,32,128,0.999872753336702,0.999872753336702,1.0,0.014061721815705752,0.0003791339816719971
mlp,MLP,NEURAL_DISAGREE_03,benign_median,Benign training median,64,128,0.9999868818533301,0.9999868818533301,1.0,0.00310553199764918,0.00016033573462407566
mlp,MLP,NEURAL_DISAGREE_03,benign_median,Benign training median,128,128,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999748464748278,0.9999748464748278,1.0,0.00927337535664352,0.0017883070234051507
mlp,MLP,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999932315996525,0.9999932315996525,1.0,0.007047539143059889,0.0009281675933728591
mlp,MLP,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999976362742942,0.9999976362742942,1.0,0.003593240411314036,0.00043605162595379814
mlp,MLP,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,16,128,0.9998839035337527,0.9998839646338006,1.0,0.07023276325068928,0.010521624459543149
mlp,MLP,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,32,128,0.9999691912265047,0.9999691912265047,1.0,0.043012368386811994,0.005219286638120088
