case_id,model,model_display,selected_outcome,holdout_position,original_row_index,y_true,attack_category,selected_model_threshold,selected_model_prediction,input_probability,input_logit,archived_probability_difference,baseline_id,reference_count,mean_baseline_probability,mean_baseline_logit,target_logit_difference,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm,positive_attribution_sum,negative_attribution_sum,top10_absolute_concentration,mean_reference_cosine,minimum_reference_cosine,mean_reference_top10_jaccard,minimum_reference_top10_jaccard,mean_reference_top10_sign_agreement,mean_reference_completeness_error,maximum_reference_completeness_error
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,0.5,0,0.47910284996032715,-0.08363738656044006,1.1920928955078125e-07,benign_reference_32,32,0.06062055236432684,-5.219524258747697,5.135886872187257,128,5.138122724567522,0.0022358523802648023,0.0022358523802648023,0.0004353391022634819,True,8.492191531183279,2.193744483422227,6.815157127875401,-1.6770344033078795,0.7183106765930628,0.5419852748255642,0.2583357679077364,0.364704535660418,0.17647058823529413,0.7093750000000001,0.013585759529060205,0.06160297848993146
CNN_FN_02,cnn,CNN,FN,33027,52627,1,Infilteration,0.5,0,0.22678391635417938,-1.2265609502792358,4.470348352603182e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.992963308468461,128,3.9846743812363212,-0.008288927232139809,0.008288927232139809,0.0020758836462534654,True,12.573466044287994,2.8272415225683316,8.279070212762159,-4.2943958315258355,0.6294213179036642,0.6225230217234223,0.010327976551817563,0.3984217885872297,0.1111111111111111,0.76875,0.02041068516961266,0.09737312711542057
CNN_FN_03,cnn,CNN,FN,59238,97993,1,Infilteration,0.5,0,0.14705593883991241,-1.7578809261322021,2.7755575615628914e-17,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.4616433326154947,128,3.461671422530816,2.8089915321327652e-05,2.8089915321327652e-05,8.114618584955115e-06,True,10.293441958800646,2.292039740620115,6.877556690665731,-3.4158852681349146,0.5963812456655597,0.4302302138791582,-0.06974124701017864,0.30997802292306936,0.05263157894736842,0.59375,0.03314721332325916,0.13075608959630003
CNN_FN_04,cnn,CNN,FN,47635,98315,1,Infilteration,0.5,0,0.14154364168643951,-1.802527666091919,2.7755575615628914e-17,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.416996592655778,128,3.4164953257679755,-0.0005012668878023874,0.0005012668878023874,0.00014669809413324285,True,9.693213464910233,2.4534706706836773,6.554854395339104,-3.13835906957113,0.6598648066331029,0.4727760492642438,-0.26128252531684765,0.33079162839224757,0.05263157894736842,0.59375,0.02140877542464377,0.06481300696537673
CNN_FN_05,cnn,CNN,FN,37967,7008,1,Infilteration,0.5,0,0.13269148766994476,-1.8773679733276367,1.4901161249358807e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.34215628542006,128,3.336394898471041,-0.005761386949019176,0.005761386949019176,0.0017238532423372458,True,7.585147195018747,1.998955097821844,5.4607710467448936,-2.124376148273852,0.6915772328516993,0.607286244219353,-0.06849917167399013,0.387387326725562,0.1111111111111111,0.70625,0.01872917561873849,0.11416697401769405
CNN_FN_06,cnn,CNN,FN,38938,217563,1,Infilteration,0.5,0,0.11685504019260406,-2.022555112838745,6.705522546945897e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.1969691459089518,128,3.182533455275297,-0.014435690633654907,0.014435690633654907,0.0045154300760543,True,18.072307614265654,3.985593904416947,10.62742053477048,-7.444887079495182,0.581699929284625,0.4561640830672092,0.029217380046382836,0.28289305347645133,0.05263157894736842,0.54375,0.03880791297302278,0.1256844638797343
CNN_FN_07,cnn,CNN,FN,30759,2183,1,Infilteration,0.5,0,0.07311134785413742,-2.5398497581481934,7.450580624679404e-09,benign_reference_32,32,0.06062055236432684,-5.219524258747697,2.6796745005995035,128,2.6821146502879967,0.002440149688493154,0.002440149688493154,0.0009106142137588866,True,7.911978497338757,2.1543507964970185,5.297046573813376,-2.6149319235253805,0.6496617503276777,0.45503355792099254,-0.5394806294337458,0.23914489041230524,0.0,0.44062500000000004,0.017834885998730628,0.0553553956238102
CNN_FN_08,cnn,CNN,FN,43696,95163,1,Infilteration,0.5,0,0.000996902002952993,-6.909860610961914,1.3969838929314e-09,benign_reference_32,32,0.06062055236432684,-5.219524258747697,-1.6903363522142172,128,-1.6884338858658188,0.0019024663483984128,0.0019024663483984128,0.0011254957310160908,True,10.832728119374687,2.2516991586600756,4.572147116754435,-6.260581002620253,0.5706789882392813,0.39570878811881405,-0.10900686902169938,0.3157192448504368,0.05263157894736842,0.5375,0.0263130185153305,0.14569892792971428
CNN_FP_01,cnn,CNN,FP,11552,5487,0,Benign,0.5,1,0.5004724264144897,0.0018897578120231628,5.960464477539063e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,5.22141401655972,128,5.207462431702157,-0.013951584857562871,0.013951584857562871,0.0026719936042833236,True,16.044846808690146,3.499321953708344,10.626154620196154,-5.418692188493994,0.5883067999835824,0.5722918340871473,0.1443656277559722,0.34757552228043714,0.05263157894736842,0.625,0.034497742631100586,0.15695658303014337
CNN_FP_02,cnn,CNN,FP,28212,191024,0,Benign,0.5,1,0.5659505128860474,0.26534801721572876,1.1920928955078125e-07,benign_reference_32,32,0.06062055236432684,-5.219524258747697,5.484872275963426,128,5.488799902472504,0.003927626509078408,0.003927626509078408,0.0007160834950142051,True,13.811037710505923,3.1609469751358423,9.649918806489215,-4.16111890401671,0.5964323065176512,0.5726357370564856,-0.027742879015768118,0.312218316813905,0.0,0.60625,0.02023412777438005,0.0948668669974424
CNN_FP_03,cnn,CNN,FP,22418,274755,0,Benign,0.5,1,0.586410641670227,0.3491467535495758,2.980232238769531e-07,benign_reference_32,32,0.06062055236432684,-5.219524258747697,5.568671012297273,128,5.563215176227254,-0.005455836070018982,0.005455836070018982,0.0009797375456317822,True,13.985277525706342,3.2228214571829192,9.774246350966797,-4.211031174739545,0.6013162967786518,0.5736273539675578,-0.03399235492826756,0.31519450729009546,0.0,0.60625,0.02692966752454353,0.18457801456365353
CNN_FP_04,cnn,CNN,FP,15047,164648,0,Benign,0.5,1,0.7018671631813049,0.8562048077583313,5.960464477539063e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,6.075729066506028,128,6.050671004134548,-0.025058062371480005,0.025058062371480005,0.0041242889696347425,True,15.839323413477118,3.547891623055853,10.944997208805834,-4.894326204671286,0.638568477340575,0.5767901876569883,0.173119290154256,0.3601943265497832,0.05263157894736842,0.6375,0.04276435521475302,0.2139747309555089
CNN_FP_05,cnn,CNN,FP,27791,135859,0,Benign,0.5,1,0.8226411938667297,1.534345269203186,1.1920928955078125e-07,benign_reference_32,32,0.06062055236432684,-5.219524258747697,6.753869527950883,128,6.742312987935834,-0.011556540015049244,0.011556540015049244,0.0017110990917462224,True,22.847214208363887,6.5475406694318385,14.794763598149858,-8.052450610214027,0.6797378110857333,0.8560397879695828,0.569559195880189,0.40559180402930406,0.25,0.890625,0.03504537505327006,0.1982325331094632
CNN_FP_06,cnn,CNN,FP,43677,91644,0,Benign,0.5,1,0.9045253396034241,2.248549461364746,5.960464488641293e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,7.468073720112443,128,7.4751768418954505,0.007103121783007538,0.007103121783007538,0.0009511317173902496,True,15.824306670952787,3.552174759005873,11.64974175642412,-4.174564914528668,0.5675098422719398,0.4538960662313969,0.10670844503216742,0.305344012605042,0.17647058823529413,0.65,0.03790292913947886,0.24921577838585307
CNN_FP_07,cnn,CNN,FP,36683,288123,0,Benign,0.5,1,0.975613534450531,3.6890363693237305,0.0,benign_reference_32,32,0.06062055236432684,-5.219524258747697,8.908560628071427,128,8.91142391132734,0.002863283255912563,0.002863283255912563,0.0003214080675266642,True,24.784025601882437,6.689963319368286,16.84772475660489,-7.93630084527755,0.65660736544536,0.7467378323474236,0.6019745234255426,0.36026774491848024,0.1111111111111111,0.634375,0.03441463582917231,0.11256060015358749
CNN_FP_08,cnn,CNN,FP,9969,15869,0,Benign,0.5,1,0.9999271631240845,9.527901649475098,1.1102230246251565e-16,benign_reference_32,32,0.06062055236432684,-5.219524258747697,14.747425908222795,128,14.739145868401613,-0.008280039821181973,0.008280039821181973,0.0005614566143753419,True,25.83787786318787,6.361850751362033,20.288511865794746,-5.54936599739313,0.5983452605251722,0.6791156282129607,0.08007281548634096,0.37630863825716765,0.1111111111111111,0.75625,0.05193651232361618,0.14521080792746588
CNN_TN_01,cnn,CNN,TN,36312,275065,0,Benign,0.5,0,0.4951852858066559,-0.019259527325630188,3.576278687078549e-07,benign_reference_32,32,0.06062055236432684,-5.219524258747697,5.200264731422067,128,5.2047428510866185,0.004478119664551805,0.004478119664551805,0.0008611330183813963,True,14.59594625841147,3.953493785053784,9.900344554749044,-4.695601703662425,0.6579601453320796,0.5868666208062361,0.14302734833323644,0.3468525314984293,0.05263157894736842,0.625,0.02740974302588825,0.11680433410008462
CNN_TN_02,cnn,CNN,TN,14311,234281,0,Benign,0.5,0,0.14479905366897583,-1.7759895324707031,2.7755575615628914e-17,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.4435347262769938,128,3.442221251814842,-0.001313474462151909,0.001313474462151909,0.00038143203613688625,True,9.90915481858196,2.182852990349838,6.675688035198401,-3.2334667833835598,0.595644102629089,0.4156785998535882,-0.09576400322578361,0.3170025306006343,0.05263157894736842,0.615625,0.02479323513252929,0.08677585361934526
CNN_TN_03,cnn,CNN,TN,2474,17871,0,Benign,0.5,0,0.13117465376853943,-1.8906124830245972,2.7755575615628914e-17,benign_reference_32,32,0.06062055236432684,-5.219524258747697,3.3289117757230997,128,3.3327989854966678,0.0038872097735680455,0.0038872097735680455,0.001167711863653603,True,7.888162497331709,2.0166371412738413,5.610480741414189,-2.2776817559175213,0.6714707216808226,0.6362665942395339,-0.012624632083080786,0.35111649669989453,0.05263157894736842,0.6937500000000001,0.02012608319759316,0.08471708646413134
CNN_TN_04,cnn,CNN,TN,1071,233184,0,Benign,0.5,0,0.09360136836767197,-2.2704341411590576,6.938893903907228e-17,benign_reference_32,32,0.06062055236432684,-5.219524258747697,2.9490901175886393,128,2.94890410789271,-0.00018600969592919014,0.00018600969592919014,6.307358829756051e-05,True,7.832899042513898,2.42215724219188,5.390901575203303,-2.441997467310594,0.6697339484127196,0.5438015912804378,0.012301143723896749,0.2564081005209101,0.05263157894736842,0.5125,0.016779076434200107,0.0757124761932646
CNN_TN_05,cnn,CNN,TN,34205,176021,0,Benign,0.5,0,0.05013873428106308,-2.9415221214294434,3.7252903081763655e-08,benign_reference_32,32,0.06062055236432684,-5.219524258747697,2.2780021373182535,128,2.2679138290401246,-0.010088308278128899,0.010088308278128899,0.0044285771785996745,True,11.009201580788917,2.317394784458299,6.63855770491452,-4.370643875874396,0.5846648890348759,0.45969007878875034,0.001622221227484552,0.35310528985548334,0.0,0.60625,0.02308161801274724,0.09429716854623926
CNN_TN_06,cnn,CNN,TN,46318,107806,0,Benign,0.5,0,0.00096135213971138,-6.9462080001831055,8.731149800551841e-10,benign_reference_32,32,0.06062055236432684,-5.219524258747697,-1.7266837414354086,128,-1.719662682648759,0.007021058786649492,0.007021058786649492,0.004066210052347408,True,17.72539440757016,4.095384712597791,8.0028658624607,-9.722528545109459,0.6305334218340545,0.7183413647040546,0.2521495921118764,0.4261993113096054,0.1111111111111111,0.8062499999999999,0.017017272963437934,0.06493506502043234
