case_id,model,model_display,selected_outcome,holdout_position,original_row_index,y_true,attack_category,feature_index,feature_name,raw_feature_value,scaled_feature_value,attribution,absolute_attribution,absolute_rank,is_top10,reference_attribution_mean,reference_attribution_std,reference_attribution_minimum,reference_attribution_maximum,positive_reference_fraction,negative_reference_fraction,zero_reference_fraction,reference_sign_consistency
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,0,Dst Port,8080.0,-0.15347787737846375,0.5998095464846465,0.5998095464846465,5,True,0.5998095464846463,0.7176972885512415,-0.03864634256280624,2.071256121155082,0.875,0.125,0.0,0.875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,1,Protocol,6.0,-0.4150773882865906,0.07275548887592481,0.07275548887592481,21,False,0.07275548887592481,0.22982148413674128,-0.3212760052949985,0.6910450225733811,0.125,0.03125,0.84375,0.84375
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,2,Flow Duration,14041.0,-0.37668153643608093,0.3084053573738352,0.3084053573738352,9,True,0.3084053573738352,0.6094065227499929,-0.00043811260522479134,1.9874523941447992,0.625,0.375,0.0,0.625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,3,Tot Fwd Pkts,2.0,-0.033482640981674194,-5.2475293612744254e-05,5.2475293612744254e-05,64,False,-5.247529361274427e-05,0.00022986878662652741,-0.0008991710917883786,0.00016155223557338082,0.46875,0.3125,0.21875,0.46875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,4,Tot Bwd Pkts,11.0,0.07222635298967361,0.006842067248825956,0.006842067248825956,46,False,0.006842067248825955,0.031286664786366,-0.05535259500644091,0.07313927189118322,0.4375,0.5625,0.0,0.5625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,5,TotLen Fwd Pkts,0.0,-0.036053989082574844,-0.000419256082874938,0.000419256082874938,60,False,-0.0004192560828749379,0.0016062983073696733,-0.004212919758723513,0.0023105085688139605,0.46875,0.34375,0.1875,0.46875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,6,TotLen Bwd Pkts,129.0,-0.020503109320998192,-0.00465640232282458,0.00465640232282458,51,False,-0.004656402322824579,0.009669724120602277,-0.03835907204420884,0.00029253193405482823,0.3125,0.6875,0.0,0.6875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,7,Fwd Pkt Len Max,0.0,-0.6599207520484924,0.9140683369200848,0.9140683369200848,2,True,0.9140683369200848,1.7554968127982729,-1.2127475393075624,4.566026195176672,0.6875,0.125,0.1875,0.6875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,8,Fwd Pkt Len Min,0.0,-0.2446633279323578,0.005078429345639799,0.005078429345639799,48,False,0.0050784293456397995,0.01354446722064717,-0.0,0.046523756361404274,0.125,0.0,0.875,0.875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,9,Fwd Pkt Len Mean,0.0,-0.7370033860206604,0.26720600725412313,0.26720600725412313,12,False,0.26720600725412313,0.4970645879242204,-0.15453057915257776,1.5451667670729357,0.65625,0.15625,0.1875,0.65625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,10,Fwd Pkt Len Std,0.0,-0.6824519038200378,-0.5455507483015717,0.5455507483015717,6,True,-0.5455507483015717,1.1011499863989167,-4.3793577226453,0.2897887703455079,0.15625,0.53125,0.3125,0.53125
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,11,Bwd Pkt Len Max,112.0,-0.43702232837677,0.4339210250798902,0.4339210250798902,8,True,0.4339210250798902,0.6500449897139127,-0.06256560069629835,2.477439586896492,0.75,0.25,0.0,0.75
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,12,Bwd Pkt Len Min,0.0,-0.3786987066268921,-0.029574317959927376,0.029574317959927376,29,False,-0.029574317959927373,0.07843414906994785,-0.251879538583985,-0.0,0.0,0.125,0.875,0.875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,13,Bwd Pkt Len Mean,11.72727273,-0.5811445713043213,0.27705773721387844,0.27705773721387844,11,False,0.2770577372138784,0.420368030487009,-0.5237062716396287,1.5534689650212996,0.84375,0.15625,0.0,0.84375
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,14,Bwd Pkt Len Std,33.64547788,-0.5043004751205444,-0.47253389440727606,0.47253389440727606,7,True,-0.4725338944072761,0.9632053082168095,-3.7937300834640286,0.3368948531206161,0.375,0.625,0.0,0.625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,15,Flow Byts/s,9187.379816,-0.06504733115434647,-0.016470107280060448,0.016470107280060448,35,False,-0.016470107280060448,0.04430163836962302,-0.18505592768680734,0.004783361942849639,0.25,0.75,0.0,0.75
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,16,Flow Pkts/s,925.8599815,-0.3621446490287781,0.013236688965974016,0.013236688965974016,39,False,0.013236688965974013,0.050836489855724136,-0.00421140472046224,0.26026592171785373,0.375,0.625,0.0,0.625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,17,Flow IAT Mean,1170.083333,-0.230784073472023,0.13172945491620666,0.13172945491620666,17,False,0.1317294549162067,0.39838220495240656,-0.0001696524500362349,1.9333105160355686,0.65625,0.34375,0.0,0.65625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,18,Flow IAT Std,1792.769744,-0.24208688735961914,-0.07182833490100636,0.07182833490100636,22,False,-0.07182833490100637,0.20859899504655086,-0.9015502524927466,0.0728390219334039,0.5,0.5,0.0,0.5
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,19,Flow IAT Max,6733.0,-0.3442728817462921,0.13108424238606362,0.13108424238606362,18,False,0.13108424238606364,0.34358701308743833,-0.4414013844361593,1.3976971415464572,0.6875,0.3125,0.0,0.6875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,20,Flow IAT Min,14.0,-0.17875933647155762,-0.001979518192989726,0.001979518192989726,54,False,-0.0019795181929897253,0.1036338515596125,-0.3002633858454941,0.4543115889909162,0.40625,0.59375,0.0,0.59375
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,21,Fwd IAT Tot,353.0,-0.3672865331172943,-0.004677855917843685,0.004677855917843685,50,False,-0.0046778559178436915,0.3045580957352553,-0.7921621030332328,1.265339961399072,0.71875,0.28125,0.0,0.71875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,22,Fwd IAT Mean,353.0,-0.24257205426692963,-0.000793903592081231,0.000793903592081231,56,False,-0.0007939035920812311,0.041360497796245885,-0.1299046942195222,0.11926227988232119,0.65625,0.34375,0.0,0.65625
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,23,Fwd IAT Std,0.0,-0.3030920922756195,-0.1221428912549047,0.1221428912549047,19,False,-0.12214289125490471,0.3152598182216202,-1.524422061828269,0.02648227709346815,0.5,0.21875,0.28125,0.5
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,24,Fwd IAT Max,353.0,-0.33466535806655884,0.14027886236382633,0.14027886236382633,15,False,0.14027886236382633,0.22070143174546045,-1.6695907824552242e-05,0.6460193115456381,0.875,0.125,0.0,0.875
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,25,Fwd IAT Min,353.0,-0.19224581122398376,-0.04529410530966443,0.04529410530966443,24,False,-0.04529410530966444,0.1410650718352467,-0.5827546030006449,1.0254007434817858e-05,0.5,0.5,0.0,0.5
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,26,Bwd IAT Tot,13702.0,-0.27270036935806274,-0.037762904504476696,0.037762904504476696,25,False,-0.0377629045044767,0.21412199772413992,-1.1028270554581554,0.11558273015850337,0.5,0.5,0.0,0.5
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,27,Bwd IAT Mean,1370.2,-0.1601356416940689,0.030460833617287464,0.030460833617287464,28,False,0.030460833617287457,0.08099022026927856,-0.0021388821485662218,0.36192988647512014,0.5625,0.4375,0.0,0.5625
