model,model_display,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,global_absolute_rank
cnn,CNN,69,Fwd Seg Size Min,32,1.2003824150581708,1.330345335392388,0.2965726141081535,6.086317366610445,14,0.4375,0.71875,0.78125,1
cnn,CNN,46,RST Flag Cnt,32,-0.04632333142646077,0.8935485598991036,0.9170651575829347,3.0174812441865204,22,0.6875,0.28125,0.6201171875,2
cnn,CNN,51,ECE Flag Cnt,32,0.08328850800851775,0.8767856826144466,0.7054603393952474,3.582354633788702,20,0.625,0.3125,0.61328125,3
cnn,CNN,66,Init Fwd Win Byts,32,0.6580927790636049,0.8618218399783608,0.21371749075099405,4.002858076481064,13,0.40625,0.75,0.6181640625,4
cnn,CNN,7,Fwd Pkt Len Max,32,0.8004600375856296,0.8004600375856296,0.6562604469089984,2.4408468725886414,20,0.625,1.0,0.595703125,5
cnn,CNN,14,Bwd Pkt Len Std,32,0.14957439125442745,0.7878371004648946,0.43925230407397786,7.2883635710352355,15,0.46875,0.34375,0.5400390625,6
cnn,CNN,11,Bwd Pkt Len Max,32,0.14351796878313558,0.7256745956837478,0.6600877859383041,3.9746844608102774,21,0.65625,0.78125,0.6357421875,7
cnn,CNN,10,Fwd Pkt Len Std,32,-0.5668530393527648,0.6954242185793674,0.621795364823361,1.7372777853603045,20,0.625,0.1875,0.580078125,8
cnn,CNN,67,Init Bwd Win Byts,32,0.4253152468383889,0.6750700650239243,0.3788065608067587,2.290221044262544,14,0.4375,0.625,0.572265625,9
cnn,CNN,53,Pkt Size Avg,32,0.43444486709490054,0.6290465018447302,0.5755087758688371,2.0870200714003384,15,0.46875,0.84375,0.7109375,10
cnn,CNN,0,Dst Port,32,0.5316205118304391,0.5460458956823895,0.4224023071052885,1.709271081197314,18,0.5625,0.9375,0.5458984375,11
cnn,CNN,48,ACK Flag Cnt,32,0.28822070137575323,0.535614881356325,0.15095794077534247,2.749788368335081,9,0.28125,0.53125,0.7705078125,12
cnn,CNN,40,Pkt Len Max,32,0.24525531086356636,0.46764837527601144,0.3136879352782459,1.5440253899397671,16,0.5,0.625,0.673828125,13
cnn,CNN,42,Pkt Len Std,32,0.0862050732734245,0.4012048760969659,0.27208233518156033,1.2102602667911562,6,0.1875,0.40625,0.6748046875,14
cnn,CNN,2,Flow Duration,32,0.2132968721628673,0.3770584733543921,0.33504369473208184,1.756208644018146,7,0.21875,0.90625,0.6875,15
cnn,CNN,13,Bwd Pkt Len Mean,32,0.32667775405843785,0.36813591820603464,0.2751873286400762,1.937095803148539,6,0.1875,0.84375,0.6982421875,16
cnn,CNN,17,Flow IAT Mean,32,0.16596288035918724,0.35121108549992086,0.21045370933264407,2.10364406231266,6,0.1875,0.875,0.7080078125,17
cnn,CNN,55,Bwd Seg Size Avg,32,0.19487811206352607,0.3498821063382833,0.254565541959069,2.1473439785084016,5,0.15625,0.625,0.6474609375,18
cnn,CNN,24,Fwd IAT Max,32,0.09998582912506354,0.3365236063493202,0.2533611525962246,1.4422558680306177,4,0.125,0.78125,0.75390625,19
cnn,CNN,47,PSH Flag Cnt,32,0.08397808592394841,0.3264002987077672,0.22502972609289754,1.0271112175413242,8,0.25,0.59375,0.6005859375,20
cnn,CNN,25,Fwd IAT Min,32,0.008498851443295888,0.2896024854568105,0.13338289810928777,1.8259601430932764,3,0.09375,0.1875,0.6494140625,21
cnn,CNN,41,Pkt Len Mean,32,0.1727911084320332,0.28606111884217666,0.13331166802871644,1.0938566127665825,6,0.1875,0.59375,0.6630859375,22
cnn,CNN,20,Flow IAT Min,32,-0.036933424000507545,0.28134244204633085,0.15525424497667936,2.5409142797662816,4,0.125,0.15625,0.642578125,23
cnn,CNN,54,Fwd Seg Size Avg,32,0.1475495306758336,0.27263834259093517,0.19208841675853797,0.7855338286289747,4,0.125,0.59375,0.662109375,24
cnn,CNN,52,Down/Up Ratio,32,0.21155701248738007,0.2722024633198075,0.21436991201631647,1.2441565653166005,6,0.1875,0.8125,0.572265625,25
cnn,CNN,21,Fwd IAT Tot,32,-0.04015026422343347,0.22796277097738754,0.16469924577012524,0.9514528798209866,2,0.0625,0.5,0.7421875,26
cnn,CNN,9,Fwd Pkt Len Mean,32,0.1740320704300471,0.22206866419773774,0.17814777974099227,0.6555810506086052,1,0.03125,0.6875,0.640625,27
cnn,CNN,1,Protocol,32,0.11631775302224412,0.22143078364132643,0.15222072987803154,0.7807492830767276,3,0.09375,0.53125,0.822265625,28
cnn,CNN,74,Idle Mean,32,0.03847550453498267,0.20798473917375349,0.06296668068562061,2.685459392650052,2,0.0625,0.21875,0.7861328125,29
cnn,CNN,19,Flow IAT Max,32,0.10238263308739698,0.20470591834110907,0.169585170495537,0.6273794614323864,2,0.0625,0.71875,0.7060546875,30
cnn,CNN,22,Fwd IAT Mean,32,-0.06143773347681106,0.20357321518127997,0.11369472621206547,1.7441568727989891,1,0.03125,0.0625,0.69921875,31
cnn,CNN,12,Bwd Pkt Len Min,32,-0.0068665599314887485,0.19439719030459846,0.11915421633034676,1.4976384711613087,5,0.15625,0.21875,0.873046875,32
cnn,CNN,38,Bwd Pkts/s,32,0.17509833137972508,0.18669934591299892,0.007539150519713589,2.4946234398472775,3,0.09375,0.6875,0.6923828125,33
cnn,CNN,18,Flow IAT Std,32,-0.03001259415344936,0.17652209324582432,0.12024134893502347,0.9424250155994534,3,0.09375,0.125,0.6533203125,34
cnn,CNN,27,Bwd IAT Mean,32,-0.08065662229793732,0.17455296096820386,0.05553367079478799,3.908652049775421,1,0.03125,0.8125,0.6513671875,35
cnn,CNN,23,Fwd IAT Std,32,-0.07388123179695956,0.17146168692692956,0.12975052797431727,1.17570820321559,1,0.03125,0.09375,0.65625,36
cnn,CNN,26,Bwd IAT Tot,32,-0.1260722211982181,0.16825729383234614,0.15009990474911178,0.49396843660940076,0,0.0,0.09375,0.642578125,37
cnn,CNN,30,Bwd IAT Min,32,0.12754944108866897,0.12988707822448475,0.0012142259398534277,4.082763535880759,1,0.03125,0.75,0.6064453125,38
cnn,CNN,45,SYN Flag Cnt,32,0.05470244742816084,0.12659956563482896,0.02729763404541084,1.3470401307601703,2,0.0625,0.375,0.9677734375,39
cnn,CNN,31,Fwd PSH Flags,32,0.07688041365972129,0.11160205278945683,0.03484668069677481,0.7940040625134636,2,0.0625,0.53125,0.9541015625,40
cnn,CNN,77,Idle Min,32,-0.010602395432570369,0.10802054493795635,0.06911685093623748,0.9894127709585367,0,0.0,0.125,0.779296875,41
cnn,CNN,16,Flow Pkts/s,32,0.018096627141366776,0.08859717181166496,0.02698505681964615,1.0442961596377656,2,0.0625,0.71875,0.7119140625,42
cnn,CNN,8,Fwd Pkt Len Min,32,-0.0009410617630001731,0.08300358205762272,0.042087121078016085,0.4528427688865965,3,0.09375,0.28125,0.861328125,43
cnn,CNN,71,Active Std,32,0.06568407734654415,0.07979389840531968,0.007319476423805291,2.2286372147712874,1,0.03125,0.34375,0.869140625,44
cnn,CNN,37,Fwd Pkts/s,32,0.044164416334583914,0.07088018516845994,0.021499085827085325,0.7877711597328826,0,0.0,0.75,0.73046875,45
cnn,CNN,29,Bwd IAT Max,32,0.026126838535936777,0.06851331747230742,0.02749751009814842,0.8861385992650679,1,0.03125,0.375,0.642578125,46
cnn,CNN,43,Pkt Len Var,32,-0.0380555562107037,0.062037685818799794,0.04413906152206106,0.3278398669534884,0,0.0,0.28125,0.6943359375,47
cnn,CNN,70,Active Mean,32,0.001901839582953551,0.058484834938781,0.005673520501464847,0.8818565564030345,1,0.03125,0.8125,0.8359375,48
cnn,CNN,76,Idle Max,32,-0.02864113736460232,0.055422104542621586,0.04002442983241669,0.29803153965364254,0,0.0,0.21875,0.759765625,49
cnn,CNN,75,Idle Std,32,0.03891170578040321,0.042394943609942885,0.00055252947191727,1.2839001882051204,1,0.03125,0.53125,0.83984375,50
cnn,CNN,39,Pkt Len Min,32,0.008985313284117696,0.04175904999703213,0.025482164069887688,0.22194361765042772,0,0.0,0.4375,0.857421875,51
cnn,CNN,28,Bwd IAT Std,32,0.01926130428710571,0.03693053384415937,0.03199849457684662,0.14110442671214435,0,0.0,0.71875,0.5595703125,52
cnn,CNN,72,Active Max,32,0.008440169694960996,0.027811950578905214,0.014904264998105923,0.3309092033693137,0,0.0,0.3125,0.8291015625,53
cnn,CNN,73,Active Min,32,0.01183110839826377,0.02374383835197659,0.0004141338424614116,0.31366519120511915,0,0.0,0.71875,0.849609375,54
cnn,CNN,36,Bwd Header Len,32,-0.008372001609272477,0.02311608394709056,0.020143937569793657,0.09352903662668655,0,0.0,0.3125,0.7080078125,55
cnn,CNN,4,Tot Bwd Pkts,32,0.01642953340017104,0.02109977686944011,0.015351650257431262,0.055813886174344685,0,0.0,0.875,0.615234375,56
cnn,CNN,15,Flow Byts/s,32,-0.0032708496714880693,0.01723398102240994,0.011678610366360632,0.06362118084476298,0,0.0,0.28125,0.701171875,57
cnn,CNN,64,Subflow Bwd Pkts,32,0.00023566201731484247,0.0141038192524092,0.00846804010869865,0.04905948775470771,0,0.0,0.46875,0.66015625,58
cnn,CNN,65,Subflow Bwd Byts,32,0.0018001342776740898,0.004826679106554093,0.004127764626144717,0.020324697190935107,0,0.0,0.75,0.591796875,59
cnn,CNN,6,TotLen Bwd Pkts,32,-0.0022608282681168385,0.004613353573159237,0.0039570030616619175,0.027568740920724862,0,0.0,0.125,0.6318359375,60
cnn,CNN,5,TotLen Fwd Pkts,32,0.00018041747932502633,0.0008993296074211504,0.0005537177653601695,0.0030280883325387274,0,0.0,0.53125,0.6376953125,61
cnn,CNN,63,Subflow Fwd Byts,32,-0.0003098033587224291,0.000680160987006877,0.0004958702129661133,0.0026623077958720827,0,0.0,0.25,0.6572265625,62
cnn,CNN,35,Fwd Header Len,32,-9.65142153801266e-05,0.00032236733746509585,0.00016992618422691106,0.0015870212545274329,0,0.0,0.375,0.5947265625,63
cnn,CNN,68,Fwd Act Data Pkts,32,0.0001674861764516331,0.0002662517690725557,0.00010151393693325945,0.0009195778172775976,0,0.0,0.71875,0.583984375,64
cnn,CNN,3,Tot Fwd Pkts,32,-1.133019405388438e-05,0.00018352431018491875,0.0001578705865376065,0.0008629759311897326,0,0.0,0.5625,0.57421875,65
cnn,CNN,62,Subflow Fwd Pkts,32,1.1794336894137442e-05,8.322527532144398e-05,6.340402752949047e-05,0.0003865182148146003,0,0.0,0.65625,0.568359375,66
cnn,CNN,32,Bwd PSH Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,67
cnn,CNN,33,Fwd URG Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,68
cnn,CNN,34,Bwd URG Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,69
cnn,CNN,44,FIN Flag Cnt,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,70
cnn,CNN,49,URG Flag Cnt,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,71
cnn,CNN,50,CWE Flag Count,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,72
cnn,CNN,56,Fwd Byts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,73
cnn,CNN,57,Fwd Pkts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,74
