model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FN,46,RST Flag Cnt,8,-0.12010259623180602,0.7465599253867838,0.7265320525607246,1.1230024114619284,6,0.75,0.375,0.625,1
cnn,CNN,FN,7,Fwd Pkt Len Max,8,0.5632419592116179,0.5632419592116179,0.42204054505413047,1.5512921806298776,4,0.5,1.0,0.60546875,2
cnn,CNN,FN,51,ECE Flag Cnt,8,0.0012623553202290305,0.4955590365537996,0.4427530646893155,1.3266395604538264,5,0.625,0.375,0.5859375,3
cnn,CNN,FN,0,Dst Port,8,0.4824771010038608,0.4824771010038608,0.4504714753148249,1.1867932445133078,6,0.75,1.0,0.546875,4
cnn,CNN,FN,11,Bwd Pkt Len Max,8,0.25320308274897185,0.43040152498516326,0.4246295120866806,0.7823232756744601,5,0.625,0.875,0.671875,5
cnn,CNN,FN,66,Init Fwd Win Byts,8,-0.12874983019651476,0.4115343887574054,0.17572592444681334,2.1029534370818386,3,0.375,0.75,0.54296875,6
cnn,CNN,FN,67,Init Bwd Win Byts,8,0.03371905106695266,0.41092491234424655,0.2780611579084419,1.4779461705064945,3,0.375,0.5,0.5390625,7
cnn,CNN,FN,10,Fwd Pkt Len Std,8,-0.37375020472305054,0.40496238497158576,0.1911422331833944,1.307748267149012,4,0.5,0.25,0.56640625,8
cnn,CNN,FN,14,Bwd Pkt Len Std,8,-0.1535589531391915,0.3720945831913833,0.3917574975031861,0.6032669751158036,5,0.625,0.5,0.53515625,9
cnn,CNN,FN,12,Bwd Pkt Len Min,8,0.223088597528913,0.34985563600122455,0.09101369149937302,1.4976384711613087,3,0.375,0.375,0.87109375,10
cnn,CNN,FN,2,Flow Duration,8,0.26758213870162995,0.34199401439545535,0.3524020502994516,0.5290285659388859,4,0.5,0.875,0.671875,11
cnn,CNN,FN,69,Fwd Seg Size Min,8,0.2032573830975815,0.3368084695940299,0.15243476868399264,1.0734823410145244,3,0.375,0.625,0.7265625,12
cnn,CNN,FN,40,Pkt Len Max,8,0.12581914682415307,0.3325741636293238,0.2656086869998375,1.0044725982757312,5,0.625,0.625,0.7265625,13
cnn,CNN,FN,23,Fwd IAT Std,8,0.021142709307181734,0.2727843414967158,0.14813192735644298,1.17570820321559,1,0.125,0.125,0.65234375,14
cnn,CNN,FN,1,Protocol,8,0.17450773558996352,0.2570356583347695,0.16505584548961189,0.7807492830767276,2,0.25,0.75,0.796875,15
cnn,CNN,FN,53,Pkt Size Avg,8,0.14577743564381673,0.2533433119944194,0.20408494435159033,0.6250557584964604,2,0.25,0.625,0.63671875,16
cnn,CNN,FN,48,ACK Flag Cnt,8,0.07757053972562757,0.24996149598302778,0.10188318709590273,1.1487879822529883,2,0.25,0.5,0.75390625,17
cnn,CNN,FN,52,Down/Up Ratio,8,0.14603564766769128,0.23666067581180783,0.08322660885013443,1.2441565653166005,1,0.125,0.625,0.515625,18
cnn,CNN,FN,47,PSH Flag Cnt,8,0.14396440324206305,0.2262491942573128,0.20966961530489892,0.41612043608198024,3,0.375,0.625,0.57421875,19
cnn,CNN,FN,13,Bwd Pkt Len Mean,8,0.1069322605369259,0.2141864117747599,0.18216697494537992,0.46780388599320244,0,0.0,0.75,0.6953125,20
cnn,CNN,FN,21,Fwd IAT Tot,8,-0.059890372012644924,0.21141763351980045,0.12827912146708267,0.9514528798209866,1,0.125,0.625,0.70703125,21
cnn,CNN,FN,19,Flow IAT Max,8,0.20965669480444632,0.20965669480444632,0.17815341606485324,0.5237753804554387,1,0.125,1.0,0.71875,22
cnn,CNN,FN,24,Fwd IAT Max,8,0.20569650038080964,0.20569650038080964,0.1992173212239389,0.4064477345917043,1,0.125,1.0,0.73828125,23
cnn,CNN,FN,17,Flow IAT Mean,8,0.20132837024826858,0.20132837024826858,0.15308951001657267,0.4254169174045363,2,0.25,1.0,0.62890625,24
cnn,CNN,FN,45,SYN Flag Cnt,8,0.15034117622231344,0.18955966839624663,0.019340816545021546,1.3470401307601703,1,0.125,0.375,0.96875,25
cnn,CNN,FN,18,Flow IAT Std,8,-0.004594120349972627,0.17111643111147778,0.09150296513219822,0.6660892430460206,1,0.125,0.125,0.6640625,26
cnn,CNN,FN,54,Fwd Seg Size Avg,8,0.03265770167402653,0.16945088006521472,0.13540830910886076,0.457912611967496,0,0.0,0.375,0.66015625,27
cnn,CNN,FN,26,Bwd IAT Tot,8,-0.08635072106173879,0.16717244769224654,0.11044591135806939,0.3557075860862051,0,0.0,0.125,0.6875,28
cnn,CNN,FN,42,Pkt Len Std,8,0.03326194101725782,0.14676025422696118,0.11508158161938334,0.42742576907670315,0,0.0,0.375,0.6484375,29
cnn,CNN,FN,29,Bwd IAT Max,8,0.1012568350396295,0.1456063026189522,0.0319944766185564,0.8861385992650679,1,0.125,0.5,0.66796875,30
cnn,CNN,FN,9,Fwd Pkt Len Mean,8,0.08916289403103471,0.1404772806330032,0.09974981872937928,0.3688510920485525,0,0.0,0.5,0.58984375,31
cnn,CNN,FN,41,Pkt Len Mean,8,0.01211724826446176,0.13966369507059187,0.07136064251460225,0.5738516239915198,1,0.125,0.25,0.67578125,32
cnn,CNN,FN,20,Flow IAT Min,8,-0.1366394838337196,0.1366394838337196,0.08807479048973407,0.3981007941029828,1,0.125,0.0,0.60546875,33
cnn,CNN,FN,31,Fwd PSH Flags,8,0.10652967088229004,0.1282748903961778,0.021158147499396724,0.7201610725716815,1,0.125,0.625,0.9375,34
cnn,CNN,FN,8,Fwd Pkt Len Min,8,0.08252539311142132,0.12242763146651811,0.04917333223273621,0.4115460426187038,2,0.25,0.75,0.859375,35
cnn,CNN,FN,55,Bwd Seg Size Avg,8,-0.03926258771508684,0.11132235436729851,0.08814456610427254,0.21862173969055138,0,0.0,0.375,0.59765625,36
cnn,CNN,FN,25,Fwd IAT Min,8,-0.08741258906519288,0.10395444525937095,0.043347245464674514,0.27764184717326534,0,0.0,0.25,0.60546875,37
cnn,CNN,FN,22,Fwd IAT Mean,8,-0.10224069256302482,0.10224069256302482,0.0837316520213755,0.2673118641834556,0,0.0,0.0,0.6484375,38
cnn,CNN,FN,77,Idle Min,8,-0.015017068644881247,0.06733518852686442,0.04870578540990789,0.20927247952793268,0,0.0,0.125,0.76953125,39
cnn,CNN,FN,74,Idle Mean,8,0.015169440935734952,0.05838699064235707,0.015894333871574125,0.29295207508812254,0,0.0,0.25,0.76171875,40
cnn,CNN,FN,27,Bwd IAT Mean,8,0.01742700081806775,0.055186885222240606,0.04176448931173241,0.14988508018342248,0,0.0,0.75,0.66015625,41
cnn,CNN,FN,39,Pkt Len Min,8,0.015696979523360865,0.0395748803864336,0.025374962482833115,0.11752130406025435,0,0.0,0.5,0.81640625,42
cnn,CNN,FN,76,Idle Max,8,-0.018931522352783878,0.03830383714878524,0.04002442983241669,0.07192262940602914,0,0.0,0.25,0.73828125,43
cnn,CNN,FN,43,Pkt Len Var,8,0.015134985086978548,0.03592312556024798,0.03473906772128192,0.07963516163767116,0,0.0,0.5,0.7265625,44
cnn,CNN,FN,37,Fwd Pkts/s,8,-0.002021574661518484,0.026663726932172102,0.013666735477754696,0.11120471180299107,0,0.0,0.625,0.71875,45
cnn,CNN,FN,36,Bwd Header Len,8,0.004875814995044938,0.026167086601692497,0.02133889853775489,0.09352903662668655,0,0.0,0.375,0.75390625,46
cnn,CNN,FN,28,Bwd IAT Std,8,0.015309247223676587,0.026125509825881306,0.022141568513250894,0.06077732271006036,0,0.0,0.875,0.578125,47
