model,comparison_baseline,baseline_agreement_class,case_count,mean_signed_cosine,minimum_signed_cosine,mean_absolute_cosine,mean_top10_jaccard,minimum_top10_jaccard,mean_primary_top10_sign_agreement
cnn,benign_median,Moderate baseline agreement,5,0.739950456676409,0.7132563701268227,0.8546389375341462,0.5641025641025641,0.5384615384615384,0.6199999999999999
cnn,benign_median,Strong baseline agreement,2,0.9291203781436497,0.9169418204293938,0.9349745029884424,0.5384615384615384,0.5384615384615384,0.8500000000000001
cnn,benign_median,Weak baseline agreement,5,0.689874444755961,0.4754277380114033,0.7052211466448846,0.23529411764705882,0.17647058823529413,0.74
cnn,zero_scaled,Moderate baseline agreement,5,0.6937765433225087,0.6384160620968248,0.7925707514842611,0.3904761904761905,0.3333333333333333,0.78
cnn,zero_scaled,Strong baseline agreement,5,0.8636373677969816,0.8409979958946994,0.879674913788703,0.5944055944055944,0.5384615384615384,0.9199999999999999
cnn,zero_scaled,Weak baseline agreement,2,0.5413453679074852,0.5379372843768181,0.7351289756194908,0.42857142857142855,0.42857142857142855,0.7
mlp,benign_median,Moderate baseline agreement,1,0.73791273683299,0.73791273683299,0.776382937154363,0.42857142857142855,0.42857142857142855,0.7
mlp,benign_median,Strong baseline agreement,4,0.8951200109673523,0.8813841869200438,0.9132814326384291,0.8181818181818182,0.8181818181818182,0.9
mlp,benign_median,Weak baseline agreement,7,0.3977947965843092,0.24296894246187373,0.4744296265830183,0.27947845804988664,0.1111111111111111,0.5714285714285714
mlp,zero_scaled,Moderate baseline agreement,5,0.6674465476410191,0.6365452769962361,0.7320048553417559,0.4344322344322344,0.3333333333333333,0.9400000000000001
mlp,zero_scaled,Strong baseline agreement,6,0.8521642887478619,0.8119203146193786,0.8637946065943946,0.6666666666666666,0.6666666666666666,1.0
mlp,zero_scaled,Weak baseline agreement,1,0.45823418951121814,0.45823418951121814,0.4682970456335094,0.17647058823529413,0.17647058823529413,1.0
