case_id,model,model_display,selected_outcome,holdout_position,original_row_index,y_true,attack_category,selected_model_threshold,selected_model_prediction,input_probability,input_logit,archived_probability_difference,baseline_id,reference_count,mean_baseline_probability,mean_baseline_logit,target_logit_difference,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm,positive_attribution_sum,negative_attribution_sum,top10_absolute_concentration,mean_reference_cosine,minimum_reference_cosine,mean_reference_top10_jaccard,minimum_reference_top10_jaccard,mean_reference_top10_sign_agreement,mean_reference_completeness_error,maximum_reference_completeness_error,reference_reliability_class,recommended_reporting_role,has_negative_reference_cosine,reference_cosine_range_warning
CNN_FP_05,cnn,CNN,FP,27791,135859,0,Benign,0.5,1,0.8226411938667297,1.534345269203186,1.1920928955078125e-07,benign_reference_32,32,0.0606205523643268,-5.219524258747697,6.753869527950883,128,6.742312987935834,-0.0115565400150492,0.0115565400150492,0.0017110990917462,True,22.847214208363887,6.547540669431839,14.794763598149858,-8.052450610214027,0.6797378110857333,0.8560397879695828,0.569559195880189,0.405591804029304,0.25,0.890625,0.03504537505327,0.1982325331094632,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
CNN_TN_06,cnn,CNN,TN,46318,107806,0,Benign,0.5,0,0.0009613521397113,-6.9462080001831055,8.731149800551841e-10,benign_reference_32,32,0.0606205523643268,-5.219524258747697,-1.7266837414354086,128,-1.719662682648759,0.0070210587866494,0.0070210587866494,0.0040662100523474,True,17.72539440757016,4.095384712597791,8.0028658624607,-9.72252854510946,0.6305334218340545,0.7183413647040546,0.2521495921118764,0.4261993113096054,0.1111111111111111,0.8062499999999999,0.0170172729634379,0.0649350650204323,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
CNN_TN_07,cnn,CNN,TN,30944,142297,0,Benign,0.5,0,7.909330452093855e-05,-9.44480323791504,7.275957614183426e-11,benign_reference_32,32,0.0606205523643268,-5.219524258747697,-4.225278979167342,128,-4.218612015386577,0.0066669637807654,0.0066669637807654,0.0015778754050648,True,17.03938249248099,4.632801802045011,6.410385238547203,-10.628997253933775,0.7577295762258783,0.7184712258724066,0.2146930703220509,0.4229444983121453,0.1111111111111111,0.71875,0.0210739115230445,0.1253158659991848,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
CNN_TP_03,cnn,CNN,TP,8397,164173,1,FTP-BruteForce,0.5,1,0.9999657869338988,10.283690452575684,1.1102230246251563e-16,benign_reference_32,32,0.0606205523643268,-5.219524258747697,15.50321471132338,128,15.513135247963469,0.0099205366400862,0.0099205366400862,0.0006399019058183,True,25.29271960754652,7.758813709568496,20.402927427754992,-4.889792179791525,0.7662739794656627,0.7915781031660989,0.5571184382477958,0.4276740416446298,0.1764705882352941,0.7,0.0272033614219063,0.0751239404617436,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
CNN_TP_08,cnn,CNN,TP,59840,37799,1,DoS attacks-GoldenEye,0.5,1,1.0,17.6136474609375,0.0,benign_reference_32,32,0.0606205523643268,-5.219524258747697,22.8331717196852,128,22.839645799483304,0.0064740797981066,0.0064740797981066,0.0002835383483988,True,36.744052307276114,8.780432720842033,29.791849053379707,-6.9522032538964105,0.6333840833543397,0.73052950837383,0.1056799817514025,0.5233348146951088,0.1764705882352941,0.821875,0.0386519577032992,0.1061200623483742,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
MLP_FP_04,mlp,MLP,FP,23816,126825,0,Benign,0.5,1,0.6668856739997864,0.6941328644752502,5.960464477539064e-08,benign_reference_32,32,0.0607254018256497,-5.404723562300205,6.098856426775456,128,6.0969224392950885,-0.0019339874803669,0.0019339874803669,0.0003171065762224,True,6.739820751796199,3.92515922737378,6.418371595545645,-0.3214491562505552,0.910728681918809,0.9726000412794992,0.7858543650452,0.4178601729153199,0.1764705882352941,0.715625,0.0286284470308004,0.094024157442889,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
MLP_TN_08,mlp,MLP,TN,31251,106205,0,Benign,0.5,0,2.6490785121069393e-09,-19.749053955078125,0.0,benign_reference_32,32,0.0607254018256497,-5.404723562300205,-14.34433039277792,128,-14.341223108024217,0.003107284753705,0.003107284753705,0.0002166211087322,True,37.555168702189455,11.333368706727398,11.60697279708262,-25.94819590510684,0.7538631003637682,0.900968480068032,0.5823188672906826,0.558927438982586,0.1764705882352941,0.85,0.0121102593234203,0.0570190153855172,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
MLP_TP_05,mlp,MLP,TP,45967,44631,1,DoS attacks-SlowHTTPTest,0.5,1,0.9999995231628418,14.628786087036133,0.0,benign_reference_32,32,0.0607254018256497,-5.404723562300205,20.033509649336334,128,20.03336781337283,-0.0001418359635074,0.0001418359635074,7.07993586696247e-06,True,74.41991368528642,18.76853822550927,47.22664074932963,-27.1932729359568,0.66155156758532,0.8070269548600325,0.4834569915643258,0.484006342921784,0.1764705882352941,0.8062499999999999,0.0197911561000144,0.0813674848445664,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
MLP_TP_06,mlp,MLP,TP,3207,105915,1,DoS attacks-SlowHTTPTest,0.5,1,1.0,19.06568145751953,0.0,benign_reference_32,32,0.0607254018256497,-5.404723562300205,24.470405019819736,128,24.465938884148883,-0.004466135670853,0.004466135670853,0.0001825117184303,True,89.20592020789195,23.011066245357284,56.83592954602041,-32.36999066187153,0.6829806227165497,0.829112194360876,0.5439945630123841,0.5188641015846898,0.1764705882352941,0.8312499999999999,0.026110794706225,0.0778683705389298,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
MLP_TP_07,mlp,MLP,TP,32090,132657,1,FTP-BruteForce,0.5,1,1.0,19.06568145751953,0.0,benign_reference_32,32,0.0607254018256497,-5.404723562300205,24.470405019819736,128,24.465938884148883,-0.004466135670853,0.004466135670853,0.0001825117184303,True,89.20592020789195,23.011066245357284,56.83592954602041,-32.36999066187153,0.6829806227165497,0.829112194360876,0.5439945630123841,0.5188641015846898,0.1764705882352941,0.8312499999999999,0.026110794706225,0.0778683705389298,Reference-robust,Eligible for direct case-level presentation,False,No negatively oriented reference attribution was observed
