model,model_display,feature_index,feature_name,stable_top10_case_count,mean_absolute_attribution,mean_attribution,positive_case_fraction,mean_reference_sign_consistency,scope,selected_outcome,available_case_count,stable_top10_case_rate,dominant_direction
cnn,CNN,12,Bwd Pkt Len Min,3,0.856899128380261,0.6687943266267768,0.6666666666666666,0.8645833333333334,Model and outcome,FN,8,0.375,Direction varies across cases
cnn,CNN,40,Pkt Len Max,3,0.3687089515681934,0.018684403941966576,0.6666666666666666,0.8854166666666666,Model and outcome,FN,8,0.375,Direction varies across cases
cnn,CNN,69,Fwd Seg Size Min,2,1.0182005903568911,1.0182005903568911,1.0,0.75,Model and outcome,FN,8,0.25,Predominantly increases attack logit
cnn,CNN,11,Bwd Pkt Len Max,2,0.5713573970123278,-0.1374363719324376,0.5,0.828125,Model and outcome,FN,8,0.25,Direction varies across cases
cnn,CNN,53,Pkt Size Avg,2,0.47739716904775553,0.47739716904775553,1.0,0.78125,Model and outcome,FN,8,0.25,Predominantly increases attack logit
cnn,CNN,2,Flow Duration,2,0.4396605400479693,0.4396605400479693,1.0,0.8125,Model and outcome,FN,8,0.25,Predominantly increases attack logit
cnn,CNN,8,Fwd Pkt Len Min,2,0.38998333812504693,0.38998333812504693,1.0,0.8125,Model and outcome,FN,8,0.25,Predominantly increases attack logit
cnn,CNN,53,Pkt Size Avg,6,0.9373469397467672,0.9373469397467672,1.0,0.7708333333333334,Model and outcome,FP,8,0.75,Predominantly increases attack logit
cnn,CNN,40,Pkt Len Max,4,1.0798591294392748,1.0798591294392748,1.0,0.765625,Model and outcome,FP,8,0.5,Predominantly increases attack logit
cnn,CNN,69,Fwd Seg Size Min,2,4.414084940598324,4.414084940598324,1.0,0.953125,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,66,Init Fwd Win Byts,2,2.1552416575828928,2.1552416575828928,1.0,0.9375,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,25,Fwd IAT Min,2,1.468347043970113,1.468347043970113,1.0,0.953125,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,13,Bwd Pkt Len Mean,2,0.9134292877327429,0.9134292877327429,1.0,0.75,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,41,Pkt Len Mean,2,0.9077687220751902,0.9077687220751902,1.0,0.8125,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,42,Pkt Len Std,2,0.8116818414471045,0.24895127350768803,0.5,0.828125,Model and outcome,FP,8,0.25,Direction varies across cases
cnn,CNN,54,Fwd Seg Size Avg,2,0.475608723499342,0.475608723499342,1.0,0.78125,Model and outcome,FP,8,0.25,Predominantly increases attack logit
cnn,CNN,67,Init Bwd Win Byts,3,1.0243066865008008,0.30748866867725866,0.3333333333333333,0.84375,Model and outcome,TN,8,0.375,Direction varies across cases
cnn,CNN,14,Bwd Pkt Len Std,3,0.91126415921069,-0.36390681809106407,0.3333333333333333,0.8229166666666666,Model and outcome,TN,8,0.375,Direction varies across cases
cnn,CNN,40,Pkt Len Max,3,0.6500494898171671,0.2831808845264208,0.6666666666666666,0.8125,Model and outcome,TN,8,0.375,Direction varies across cases
cnn,CNN,11,Bwd Pkt Len Max,2,1.316833320786671,-0.48690580614029655,0.5,0.828125,Model and outcome,TN,8,0.25,Direction varies across cases
cnn,CNN,2,Flow Duration,2,1.0947178016993209,-0.661490842318825,0.5,0.890625,Model and outcome,TN,8,0.25,Direction varies across cases
cnn,CNN,10,Fwd Pkt Len Std,2,1.031544897618368,-1.031544897618368,0.0,0.84375,Model and outcome,TN,8,0.25,Predominantly decreases attack logit
cnn,CNN,12,Bwd Pkt Len Min,2,0.42062890915123885,0.21772572503637766,0.5,0.859375,Model and outcome,TN,8,0.25,Direction varies across cases
