split,attack_category,row_count,split_rate
train,Benign,115200,0.598152580831079
train,Bot,12845,0.06669505122200703
train,Brute Force -Web,370,0.0019211497821831531
train,Brute Force -XSS,138,0.00071653694578723
train,DDOS attack-HOIC,12594,0.06539178474814765
train,DDOS attack-LOIC-UDP,215,0.00111634379234967
train,DoS attacks-GoldenEye,10170,0.052805657526493695
train,DoS attacks-Hulk,1016,0.005275373455940766
train,DoS attacks-SlowHTTPTest,11692,0.06070833311698764
train,DoS attacks-Slowloris,2656,0.013790740058049877
train,FTP-BruteForce,12860,0.06677293567263608
train,Infilteration,12779,0.06635235963923923
train,SQL Injection,58,0.0003011532090989808
validation,Benign,28800,0.5981432636191821
validation,Bot,3157,0.06556730150158882
validation,Brute Force -Web,107,0.0022222683752518226
validation,Brute Force -XSS,42,0.0008722922594446406
validation,DDOS attack-HOIC,3082,0.06400963675258053
validation,DDOS attack-LOIC-UDP,64,0.0013292072524870714
validation,DoS attacks-GoldenEye,2512,0.05217138466011755
validation,DoS attacks-Hulk,265,0.00550374877982928
validation,DoS attacks-SlowHTTPTest,2959,0.06145506656420694
validation,DoS attacks-Slowloris,701,0.014558973187397455
validation,FTP-BruteForce,3190,0.06625267399115246
validation,Infilteration,3254,0.06758188124363954
validation,SQL Injection,16,0.00033230181312176785
holdout,Benign,36000,0.59814574818064
holdout,Bot,3998,0.06642740836739441
holdout,Brute Force -Web,134,0.0022264313960057157
holdout,Brute Force -XSS,50,0.0008307579835842222
holdout,DDOS attack-HOIC,3970,0.06596218389658724
holdout,DDOS attack-LOIC-UDP,75,0.0012461369753763334
holdout,DoS attacks-GoldenEye,3141,0.05218821652876084
holdout,DoS attacks-Hulk,347,0.005765460406074502
holdout,DoS attacks-SlowHTTPTest,3721,0.06182500913833782
holdout,DoS attacks-Slowloris,820,0.013624430930781245
holdout,FTP-BruteForce,3950,0.06562988070315355
holdout,Infilteration,3967,0.06591233841757219
holdout,SQL Injection,13,0.00021599707573189778
