feature_index,feature_name,dtype,training_unique_count,training_missing_count,training_minimum,training_maximum,training_mean,training_std,dominant_value_fraction,constant_feature,near_constant_feature,integer_like,low_cardinality_numeric_candidate,validation_mean_shift_in_train_std,holdout_mean_shift_in_train_std,suspicious_target_name
0,Dst Port,int64,19117,0,0.0,65527.0,11167.073143883734,20114.123787989352,0.20953513367567878,False,False,True,False,-0.0034598084522168434,-0.005775775456781179,False
1,Protocol,int64,3,0,0.0,17.0,7.735291521498705,4.180645859297447,0.8210215324544505,False,False,True,True,0.003653605337749297,0.011186651694929701,False
2,Flow Duration,int64,99215,0,1.0,119999998.0,11396199.885442358,30216926.98256154,0.06575005322104126,False,False,True,False,-5.620948676349751e-05,-0.0010785674507844028,False
3,Tot Fwd Pkts,int64,503,0,1.0,242760.0,135.34714138104707,3982.5753658939193,0.29965263535019443,False,False,True,False,0.004758748772241206,0.003406771070043476,False
4,Tot Bwd Pkts,int64,375,0,0.0,26355.0,4.799857731070184,85.84321295472354,0.3279350755219556,False,False,True,False,0.002539554192829348,0.007183844833769259,False
5,TotLen Fwd Pkts,int64,3370,0,0.0,8737314.0,4740.375268052318,131479.90880990296,0.3678482603209878,False,False,True,False,0.0052229993595069,0.007125993694351426,False
6,TotLen Bwd Pkts,float64,5896,0,0.0,38400000.0,2623.647162669464,121671.65541872702,0.42749736490942036,False,False,True,False,0.002683563122734628,0.005451823858495499,False
7,Fwd Pkt Len Max,int64,1214,0,0.0,64440.0,257.56972994864816,390.30401398848534,0.3678482603209878,False,False,True,False,0.0005704366769521884,0.004691839269074503,False
8,Fwd Pkt Len Min,int64,101,0,0.0,1460.0,8.815320390668404,36.03041180034835,0.8285607472753423,False,False,True,False,0.007393895134266982,0.0061978158008758315,False
9,Fwd Pkt Len Mean,float64,7489,0,0.0,16529.3138401559,63.85670939374015,86.6437127409402,0.3678482603209878,False,False,False,False,0.004556712451338339,0.006680112254334065,False
10,Fwd Pkt Len Std,float64,10086,0,0.0,18401.5827717299,104.72581356219627,153.4552283527392,0.5367121338781783,False,False,False,False,-0.001091848505727042,0.00018398757603028983,False
11,Bwd Pkt Len Max,int64,786,0,0.0,11584.0,309.76137242786604,452.5200498932002,0.42749736490942036,False,False,True,False,0.002684534500056948,0.001048931490531572,False
12,Bwd Pkt Len Min,int64,263,0,0.0,949.0,15.74831899394059,41.58535117734373,0.8433639851915697,False,False,True,False,0.00055545752781471,0.003802325517796786,False
13,Bwd Pkt Len Mean,float64,8312,0,0.0,1955.963636,100.221316132153,152.27543968396014,0.42749736490942036,False,False,False,False,0.0050738372536921145,-0.0015841971704338282,False
14,Bwd Pkt Len Std,float64,9333,0,0.0,2316.3292799888,131.12356937493792,193.293676412096,0.5814541546162114,False,False,False,False,0.0004898931908501619,-0.0009431455935811447,False
15,Flow Byts/s,float64,109934,0,0.0,422631578.947368,234678.53152474895,3466570.2626112476,0.3670798004081145,False,False,False,False,0.01434916611026448,0.0027086911230068088,False
16,Flow Pkts/s,float64,108156,0,0.0166691137,3000000.0,153097.66199235016,420196.18756014644,0.06573447633091545,False,False,False,False,0.002581817253861938,-0.0018324588012399875,False
17,Flow IAT Mean,float64,102166,0,0.5,119982384.0,2655369.634049206,11500791.961616395,0.06574486092433265,False,False,False,False,-0.005686784106374948,-0.00184867797367865,False
18,Flow IAT Std,float64,99318,0,0.0,83649152.5378194,1272008.2745683398,5246940.651581055,0.45510480650906315,False,False,False,False,-0.004009570386164083,-0.003449044867574673,False
19,Flow IAT Max,float64,81921,0,1.0,119982384.0,5578959.503232204,16185492.98234172,0.06573447633091545,False,False,True,False,-0.004314838886384586,-0.0037898868652709943,False
20,Flow IAT Min,float64,25172,0,0.0,119982384.0,1992301.0286718623,11145079.343782838,0.08858058184876917,False,False,True,False,-0.0047069971498173435,-0.0015118643106783024,False
21,Fwd IAT Tot,float64,84363,0,0.0,120000000.0,11075354.250232356,30153574.115267523,0.2997720581744923,False,False,True,False,0.0003817718026989607,-0.0012619212797711666,False
22,Fwd IAT Mean,float64,92017,0,0.0,119982384.0,3202338.747976388,13200142.605628673,0.2997720581744923,False,False,False,False,-0.006785421826840348,-0.0025241067124671312,False
23,Fwd IAT Std,float64,80089,0,0.0,84095115.5923256,1094291.6242174904,3610426.1794285653,0.5028791285249204,False,False,False,False,0.0032496739003595606,-0.002029653934530174,False
