run_id,candidate_id,seed,threshold,accuracy,precision,recall,f1,f2,fpr,fnr,true_negative,false_positive,false_negative,true_positive
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.05,0.5844324038588609,0.40457494025264595,0.9974747474747475,0.5756618897255282,0.7713839343835438,0.5782706406808386,0.0025252525252525255,11447,15696,27,10665
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.055,0.5869433064622703,0.406016755521706,0.9971941638608305,0.5770729595150466,0.7722953004577852,0.5746601333677192,0.0028058361391694723,11545,15598,30,10662
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.06,0.588661292454077,0.4070029401657184,0.9969135802469136,0.5780212033296277,0.7728729498093013,0.5721548833953506,0.0030864197530864196,11613,15530,33,10659
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.065,0.5917272366856086,0.40879972380988916,0.9967265245043023,0.5797992437637713,0.7740749887415197,0.5678075378550639,0.0032734754956977178,11731,15412,35,10657
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.06999999999999999,0.5923880005286111,0.40919213638457996,0.9967265245043023,0.5801938153310104,0.7743562169389061,0.5668864900711049,0.0032734754956977178,11756,15387,35,10657
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.07499999999999998,0.592625875512092,0.4093335893988861,0.9967265245043023,0.5803359925940045,0.7744575091202419,0.5665549128688796,0.0032734754956977178,11765,15378,35,10657
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.07999999999999999,0.5928637504955728,0.4094681832154934,0.9966329966329966,0.5804553872970912,0.774508663798116,0.5661864937552961,0.003367003367003367,11775,15368,36,10656
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.08499999999999999,0.5932866393550945,0.40972008612734545,0.9966329966329966,0.580708446866485,0.7746888449459114,0.5655970231735622,0.003367003367003367,11791,15352,36,10656
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.08999999999999998,0.5937359587683362,0.40997421787816984,0.9964459408903853,0.5809318683715478,0.7747800159988365,0.5648970268577533,0.003554059109614665,11810,15333,38,10654
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.09499999999999997,0.5958239725122241,0.41121747857639157,0.9963524130190797,0.5821629597245751,0.7756210501791071,0.5619496739490845,0.003647586980920314,11890,15253,39,10653
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.09999999999999998,0.5972776529668297,0.4120855739100159,0.996258885147774,0.5830163378123204,0.7761924887418569,0.5598865269130162,0.0037411148522259632,11946,15197,40,10652
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.10499999999999998,0.599444958371878,0.41339698063414443,0.996258885147774,0.584327600866727,0.7771211789596557,0.5568654901816307,0.0037411148522259632,12028,15115,40,10652
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.10999999999999997,0.6005021805206819,0.4140330417881438,0.9961653572764684,0.5849465908778866,0.7775247105543633,0.5553549718159378,0.0038346427235316123,12069,15074,41,10651
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.11499999999999998,0.6009514999339236,0.414306830558581,0.9961653572764684,0.5852197802197803,0.7777177405222268,0.5547286593228457,0.0038346427235316123,12086,15057,41,10651
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.11999999999999997,0.601823708206687,0.4148327036185876,0.9960718294051627,0.58572803519868,0.7780424014844902,0.5534760343366614,0.003928170594837262,12120,15023,42,10650
