stage,run_id,candidate_id,seed,epoch,training_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate,improved_best_checkpoint,best_epoch_after_epoch,epochs_without_improvement,epoch_seconds
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,41,0.3263396463660441,0.3304737689891453,0.9541008413835252,0.9279348472539141,0.000125,True,41,0,19.505876085000637
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,42,0.3250742214475088,0.3308270264746287,0.9537326531348932,0.9279044415083292,0.000125,False,41,1,19.560491404001368
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,43,0.32464347987268516,0.33220218121178385,0.9537340176501286,0.927282173150626,0.000125,False,41,2,19.13778803799869
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,44,0.3225685867060193,0.33037132172457245,0.953663167953122,0.9279566737323112,6.25e-05,True,44,0,19.139362583000548
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,45,0.32060002272316757,0.3288800810946803,0.9543507423562441,0.9286538567903602,6.25e-05,True,45,0,19.143531161000283
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,46,0.3204292650482828,0.3281332520137647,0.9541109081291327,0.9284113299903101,6.25e-05,False,45,1,19.131793253998694
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,47,0.3190829461181577,0.33640817781412824,0.9526382343867515,0.926439401566543,6.25e-05,False,45,2,19.297506208000414
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,48,0.3188243298871485,0.3309114354485736,0.9534770890793726,0.9278346451490455,3.125e-05,False,45,3,19.143315118000828
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,49,0.31788810056127315,0.33152498157663673,0.953022362654271,0.9271436730913929,3.125e-05,False,45,4,19.136109929000668
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,50,0.3174289666694131,0.3273003357734708,0.9547162015744053,0.9291636892316072,3.125e-05,True,50,0,19.14681488899987
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,51,0.3171115857085235,0.33132373249812785,0.9532823975646352,0.9273591941627946,3.125e-05,False,50,1,19.140301981999073
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,52,0.31754395954224485,0.3317780527127093,0.9530357218097458,0.9270110749722332,3.125e-05,False,50,2,19.198305528001583
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,53,0.31749034996775194,0.3265905750220024,0.9546383449538345,0.9290732082051244,1.5625e-05,False,50,3,19.267094073000408
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,54,0.3163928424074527,0.3323343457650426,0.9532765932062661,0.927376418851125,1.5625e-05,False,50,4,19.162024518998805
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,55,0.31658873965851086,0.3303772744421003,0.9539508532486055,0.9282081529068923,1.5625e-05,False,50,5,19.16492524000023
15.4B,FT_BALANCED_seed_7,FT_BALANCED,7,56,0.3164818071559783,0.33104777287598786,0.953481242925626,0.9276082596464433,1e-05,False,50,6,19.150713707998875
