case_id,confusion_state,selection_slot,selected_sorted_group_rank,confusion_group_size,validation_position,original_row_index,true_label,ensemble_probability,frozen_prediction,absolute_threshold_margin,frozen_threshold
TP_01,TP,1,0,8246,6850,54341,1,0.7323849320411682,1,0.0023849320411681862,0.73
TP_02,TP,2,549,8246,23403,186870,1,0.9996144890785217,1,0.2696144890785217,0.73
TP_03,TP,3,1099,8246,31713,252924,1,0.9997515082359314,1,0.2697515082359314,0.73
TP_04,TP,4,1649,8246,27819,221789,1,0.999827241897583,1,0.269827241897583,0.73
TP_05,TP,5,2198,8246,28330,225698,1,0.9998638510704041,1,0.2698638510704041,0.73
TP_06,TP,6,2748,8246,31557,251640,1,0.9998713970184326,1,0.26987139701843266,0.73
TP_07,TP,7,3298,8246,10513,82803,1,0.9998821020126343,1,0.2698821020126343,0.73
TP_08,TP,8,3847,8246,5764,45929,1,0.999885892868042,1,0.269885892868042,0.73
TP_09,TP,9,4397,8246,12036,94474,1,0.9998859167098999,1,0.2698859167098999,0.73
TP_10,TP,10,4947,8246,27122,216478,1,0.9998859167098999,1,0.2698859167098999,0.73
TP_11,TP,11,5496,8246,19137,152718,1,0.9998867750167847,1,0.2698867750167847,0.73
TP_12,TP,12,6046,8246,910,7398,1,0.9998894453048706,1,0.2698894453048706,0.73
TP_13,TP,13,6596,8246,32223,256633,1,0.9998894691467285,1,0.2698894691467285,0.73
TP_14,TP,14,7145,8246,35882,285616,1,0.9998967409133911,1,0.2698967409133911,0.73
TP_15,TP,15,7695,8246,13485,106224,1,0.9998973608016968,1,0.2698973608016968,0.73
TP_16,TP,16,8245,8246,33693,267918,1,0.9998974323272705,1,0.2698974323272705,0.73
TN_01,TN,1,0,27044,22829,181956,0,0.724444317817688,0,0.0055556821823119495,0.73
TN_02,TN,2,1802,27044,28828,229655,0,0.38616837859153746,0,0.3438316214084625,0.73
TN_03,TN,3,3605,27044,28095,223881,0,0.28990177512168885,0,0.44009822487831113,0.73
TN_04,TN,4,5408,27044,8278,65234,0,0.28078195452690125,0,0.44921804547309874,0.73
TN_05,TN,5,7211,27044,28786,229279,0,0.27353107929229736,0,0.4564689207077026,0.73
TN_06,TN,6,9014,27044,9252,73111,0,0.2565264880657196,0,0.4734735119342804,0.73
TN_07,TN,7,10817,27044,13974,110259,0,0.20947796404361724,0,0.5205220359563827,0.73
TN_08,TN,8,12620,27044,32641,259674,0,0.16655881432816386,0,0.5634411856718361,0.73
TN_09,TN,9,14422,27044,25133,201004,0,0.11847137375734747,0,0.6115286262426525,0.73
TN_10,TN,10,16225,27044,10150,80031,0,0.018195253386511467,0,0.7118047466134885,0.73
TN_11,TN,11,18028,27044,20813,165845,0,0.00027156902651768176,0,0.7297284309734823,0.73
TN_12,TN,12,19831,27044,18313,146276,0,0.0001912448220537044,0,0.7298087551779463,0.73
TN_13,TN,13,21634,27044,17568,139910,0,0.00016472936258651316,0,0.7298352706374135,0.73
TN_14,TN,14,23437,27044,4966,39300,0,0.00015582705673296006,0,0.729844172943267,0.73
TN_15,TN,15,25240,27044,33110,263548,0,0.0001531273403088562,0,0.7298468726596912,0.73
TN_16,TN,16,27043,27044,25340,202464,0,0.00014183275197865441,0,0.7298581672480213,0.73
FP_01,FP,1,0,99,13124,103257,0,0.7322550654411316,1,0.0022550654411316318,0.73
FP_02,FP,2,6,99,25962,207455,0,0.7578497648239135,1,0.027849764823913548,0.73
FP_03,FP,3,13,99,24065,192372,0,0.7864508390426636,1,0.05645083904266357,0.73
FP_04,FP,4,19,99,31488,251074,0,0.8050776600837708,1,0.07507766008377081,0.73
FP_05,FP,5,26,99,18957,151342,0,0.8168289422988891,1,0.08682894229888916,0.73
FP_06,FP,6,32,99,14375,113621,0,0.8271771222352982,1,0.09717712223529817,0.73
FP_07,FP,7,39,99,32585,259296,0,0.8452201128005982,1,0.11522011280059818,0.73
FP_08,FP,8,45,99,11230,88347,0,0.8576305270195007,1,0.12763052701950073,0.73
FP_09,FP,9,52,99,6302,49965,0,0.8755870699882508,1,0.14558706998825077,0.73
