seed_a,seed_b,spearman,cosine,top5_jaccard,top10_jaccard,top20_jaccard
7,29,0.4506167439419123,0.978566188928807,0.42857142857142855,0.42857142857142855,0.42857142857142855
7,101,0.5962557956434258,0.9602620898720672,0.6666666666666666,0.42857142857142855,0.48148148148148145
7,313,0.5526200682355,0.984815386575843,0.42857142857142855,0.42857142857142855,0.48148148148148145
7,997,0.35900621118012416,0.9734209801079292,0.42857142857142855,0.42857142857142855,0.48148148148148145
29,101,0.40621118012422364,0.9550243109536695,0.42857142857142855,0.5384615384615384,0.42857142857142855
29,313,0.4888636164814977,0.9824163292102382,0.42857142857142855,0.25,0.48148148148148145
29,997,0.4422885136908406,0.9713871582926268,0.42857142857142855,0.42857142857142855,0.42857142857142855
101,313,0.4888986090455778,0.9657766668072255,0.42857142857142855,0.25,0.3333333333333333
101,997,0.2637564517540023,0.9550320248263333,0.42857142857142855,0.3333333333333333,0.3333333333333333
313,997,0.4363047852331379,0.9796797135342438,0.42857142857142855,0.3333333333333333,0.48148148148148145
