rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation,seed_min,seed_max
1,61,Fwd Seg Size Min,0.03372973210387297,0.005840007904201809,0.028488996322266757,0.04353108207578771
2,58,Init Fwd Win Byts,0.02885676627658831,0.007967667666210291,0.020857947863987647,0.04039287561317906
3,0,Dst Port,0.02380290190946343,0.004005906050604263,0.018492225877707824,0.028913406538777053
4,35,Fwd Pkts/s,0.018822922284208125,0.008982858774427588,0.013696230875211768,0.03482326737139374
5,46,ACK Flag Cnt,0.01879467834679463,0.0017615093830254263,0.01677191036287695,0.020377516935695894
6,14,Bwd Pkt Len Std,0.018763916241196197,0.0027014279225332414,0.016865023266291246,0.02341537832398899
7,7,Fwd Pkt Len Max,0.018360121098708656,0.0028314094463451163,0.01436498026305344,0.02194963424699381
8,9,Fwd Pkt Len Mean,0.018200159413576188,0.0025252110392345404,0.015775924272020347,0.021703318692743778
9,50,Down/Up Ratio,0.017555285676095645,0.0024922402704626425,0.013283222520840354,0.019703426733030938
10,10,Fwd Pkt Len Std,0.01739170318196083,0.0019669386434588557,0.014876738481689245,0.01977441909548361
11,52,Fwd Seg Size Avg,0.016988845542246306,0.001277183953642265,0.015561206309939735,0.01833916181931272
12,59,Init Bwd Win Byts,0.016879666099147518,0.0021408829336576835,0.014861527975881472,0.020127547104493715
13,12,Bwd Pkt Len Min,0.015297435718977188,0.0028004618518911034,0.012295423133764416,0.018280438758665696
14,36,Bwd Pkts/s,0.015229126831555338,0.00135051765667175,0.013707955571589991,0.01723084789409768
15,13,Bwd Pkt Len Mean,0.015203399227330263,0.0049324896328556325,0.011174941719218623,0.023441252415068448
16,2,Flow Duration,0.015182618683475126,0.0014119049654512735,0.013529268209822476,0.017164624339784496
17,49,ECE Flag Cnt,0.014894394768786531,0.003215949247943904,0.011385006437194534,0.01821120295790024
18,45,PSH Flag Cnt,0.014755865722113655,0.0027842712066578883,0.011780238128267229,0.01901278118020855
19,38,Pkt Len Max,0.01466727645617018,0.0024554407080104677,0.012990891351364553,0.018913047373644076
20,16,Flow Pkts/s,0.014594842255031347,0.0023658732070941497,0.011979417729889974,0.017157560781924985
21,51,Pkt Size Avg,0.014502849502753119,0.002241415595041685,0.012441055587260053,0.017375973708112724
22,44,RST Flag Cnt,0.01441446578552263,0.0016588720311186377,0.012802348341210745,0.016767459135735407
