group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
TP,16,1,58,Init Fwd Win Byts,0.044999141032605286,0.004419516164954076
TP,16,2,61,Fwd Seg Size Min,0.033977772737562036,0.008688506484071174
TP,16,3,0,Dst Port,0.023950397780453242,0.004561066967995708
TP,16,4,14,Bwd Pkt Len Std,0.02125202399850076,0.004886279364490255
TP,16,5,35,Fwd Pkts/s,0.019548841399453017,0.011210837998428045
TP,16,6,10,Fwd Pkt Len Std,0.01873347176046109,0.0028484590750564717
TP,16,7,9,Fwd Pkt Len Mean,0.017757512782181312,0.005493797711179508
TP,16,8,7,Fwd Pkt Len Max,0.017722205375655612,0.001448833005424654
TP,16,9,46,ACK Flag Cnt,0.017113326711943478,0.003564555756716033
TP,16,10,44,RST Flag Cnt,0.015549994948640943,0.0021852204708903067
TP,16,11,49,ECE Flag Cnt,0.015388014936893568,0.003987028367373693
TP,16,12,50,Down/Up Ratio,0.015356241285983282,0.0028198816793054914
TP,16,13,52,Fwd Seg Size Avg,0.01530651209446878,0.0016440790899516953
TP,16,14,51,Pkt Size Avg,0.015037565808315964,0.0018162985181738205
TP,16,15,13,Bwd Pkt Len Mean,0.014834885336366274,0.004620495503963039
TP,16,16,38,Pkt Len Max,0.014642492824090877,0.0015781822068627884
TP,16,17,11,Bwd Pkt Len Max,0.014474416538897838,0.0028803763890734298
TP,16,18,59,Init Bwd Win Byts,0.014453279253121797,0.002057937156267435
TP,16,19,39,Pkt Len Mean,0.014376157893022436,0.0038427139178956906
TP,16,20,2,Flow Duration,0.014331322771449403,0.0017024385954870895
TP,16,21,45,PSH Flag Cnt,0.014309099249900968,0.002207813407512127
TP,16,22,16,Flow Pkts/s,0.01429338935078462,0.0016852530779019853
TP,16,23,34,Bwd Header Len,0.014281793197001496,0.0027380576034018787
TP,16,24,18,Flow IAT Std,0.014184186772623954,0.002856387867933316
TP,16,25,36,Bwd Pkts/s,0.014009921744942002,0.0009054791956301293
TP,16,26,17,Flow IAT Mean,0.01363549066266565,0.0023542144846295824
TP,16,27,40,Pkt Len Std,0.01354944764513258,0.0027143781931628784
TP,16,28,53,Bwd Seg Size Avg,0.013497276258268402,0.0018095768899850382
TP,16,29,5,TotLen Fwd Pkts,0.01339623977297718,0.0007693109022697279
TP,16,30,30,Bwd IAT Min,0.013297377397075642,0.00309137943743603
TP,16,31,24,Fwd IAT Max,0.013184074548912163,0.0009178560483397667
TP,16,32,54,Subflow Fwd Pkts,0.012983235743535092,0.0015690559088909208
TP,16,33,64,Active Max,0.012922516747604303,0.0023117763612799623
TP,16,34,15,Flow Byts/s,0.012903637593959532,0.002020705621470596
TP,16,35,12,Bwd Pkt Len Min,0.012901287541515719,0.0021628277526327916
TP,16,36,33,Fwd Header Len,0.012848356858787751,0.0016672430491557115
TP,16,37,43,SYN Flag Cnt,0.012847446723247582,0.0026423351937455526
TP,16,38,4,Tot Bwd Pkts,0.012737775889518231,0.0033025372725200984
TP,16,39,26,Bwd IAT Tot,0.012620351345031595,0.0019679837576579953
TP,16,40,31,Fwd PSH Flags,0.012561747976793299,0.0014345948367568639
TP,16,41,63,Active Std,0.012525349678653482,0.0028571001857350315
TP,16,42,42,FIN Flag Cnt,0.012451066964843473,0.0018466707921324654
TP,16,43,28,Bwd IAT Std,0.012439320601470617,0.0011181049098117617
TP,16,44,41,Pkt Len Var,0.01240531528951812,0.0023910858350547092
TP,16,45,62,Active Mean,0.012334238113997111,0.0035915863603396335
TP,16,46,19,Flow IAT Max,0.012306798742842368,0.0014864589790428194
TP,16,47,22,Fwd IAT Mean,0.012303027369592621,0.0014856204892544165
TP,16,48,8,Fwd Pkt Len Min,0.012292598599178505,0.0009730929561903877
TP,16,49,1,Protocol,0.012184155195738476,0.001737182602116257
TP,16,50,68,Idle Max,0.012137068009162021,0.0029720193192895364
TP,16,51,69,Idle Min,0.012096176207466103,0.0016717407605668047
TP,16,52,23,Fwd IAT Std,0.01201072746587626,0.000867278151386861
TP,16,53,32,Fwd URG Flags,0.011960368305354713,0.0018055375573002275
TP,16,54,25,Fwd IAT Min,0.011933390393525298,0.0014843307238702273
TP,16,55,21,Fwd IAT Tot,0.011925520845776803,0.002013108923596514
TP,16,56,57,Subflow Bwd Byts,0.011875052795176502,0.0007100916458296451
TP,16,57,47,URG Flag Cnt,0.011858919219665698,0.002975150814513818
TP,16,58,29,Bwd IAT Max,0.011857430670191932,0.0010765815993455771
TP,16,59,60,Fwd Act Data Pkts,0.011740305820211142,0.0018770033442132975
TP,16,60,56,Subflow Bwd Pkts,0.01169213102421963,0.002828049115867968
TP,16,61,6,TotLen Bwd Pkts,0.01152741972307608,0.001496033384552672
TP,16,62,55,Subflow Fwd Byts,0.011477783909085666,0.00034777401067318843
TP,16,63,67,Idle Std,0.011327548620974135,0.0016543404443470128
TP,16,64,37,Pkt Len Min,0.011230654204707282,0.0012455226456264982
TP,16,65,48,CWE Flag Count,0.011165395564777103,0.0018122994016557612
TP,16,66,27,Bwd IAT Mean,0.01112151455543465,0.0015337149761515429
TP,16,67,3,Tot Fwd Pkts,0.011074706521093604,0.0015509535284176739
TP,16,68,66,Idle Mean,0.011064635996382355,0.0009125773190444046
TP,16,69,65,Active Min,0.010987313806892952,0.0021543366241170677
TP,16,70,20,Flow IAT Min,0.010923835494770296,0.0009780541926683213
TN,16,1,61,Fwd Seg Size Min,0.030944035864554107,0.004293724558461639
TN,16,2,0,Dst Port,0.028669648600517798,0.0074260490253200235
TN,16,3,46,ACK Flag Cnt,0.021420079838938476,0.004112857061333521
TN,16,4,58,Init Fwd Win Byts,0.02080158491010912,0.009532720289174507
TN,16,5,7,Fwd Pkt Len Max,0.020447203324783274,0.0037403925856656054
TN,16,6,14,Bwd Pkt Len Std,0.020192216439430723,0.004174293151435746
TN,16,7,10,Fwd Pkt Len Std,0.01948453469224062,0.002791798665249794
TN,16,8,35,Fwd Pkts/s,0.018901279416647862,0.008820524661021506
TN,16,9,9,Fwd Pkt Len Mean,0.01840588085419244,0.0027313122728069242
TN,16,10,12,Bwd Pkt Len Min,0.01808995351435692,0.0050847140073897
TN,16,11,59,Init Bwd Win Byts,0.017157417938947733,0.00333716953491889
TN,16,12,50,Down/Up Ratio,0.01692406385544112,0.0009021152433450326
TN,16,13,36,Bwd Pkts/s,0.01642830628492383,0.0012773060861936737
